chunk_id,window_start,window_end,text,,,,,,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
Noting that a quorum is present, I hereby call this regular board meeting of the Board of Trustees
of Katie Independent School District to order. Today is Monday, October 27, 2025, and the time is 5
o'clock P.M. Dr. Gororski, will you verify that we are in compliance with the provisions of the
Texas Open Meetings Act with regard to the notice for this meeting? Mr. Redmond, I do confirm we're
in compliance with the provisions of the Texas Open Meeting Act for a meeting tonight. Thank you.
And you'll take over introducing our

[00:30–01:00]
Pledges of Allegiance. I will. We've got uh many special guests with us here today, but we're gonna
start with our special guest from Holland Elementary, Jack Genesee, fifth grader. Uh see his
principal is out there, Principal Griffith, and maybe even more importantly, Bonnie Holland as well,
one of our namesakes. Uh parents named Chad and Lorena Genesee, and has a sibling, Margaret, as
well. Uh, we've introduced a lot of kids here, but this might be the first one who enjoys studying
zoology. His favorite animal is the tree monitor, a lizard that is found in trees.

[01:00–01:30]
Jack has three pet turtles that are red-eared sliders. And he enjoys studying science. And from
Gretchen Hollier, Jack's fifth grade language arts teacher, Jack is one-of-kind kid. He makes
learning fun for others and is extremely intelligent. Jack is a fun fact, joke making voice of a
professor, big hearted kid. My life is better because he's in it. And from Ashley Power, Jack's
former fourth grade math and science teacher, Jack is a passionate student with a deep love for
science and animals. Hopes to become a zoologist one day. Jack is a joy to have in science class.

[01:30–02:00]
and I always appreciate how eagerly he shares his knowledge and enthusiasm with others. But before
we bring Jack up to do our pledges, I'm going to go ahead and introduce over to my left over here
the Pay Paito High School choir, who will be doing our national anthem tonight. The principal is Dr.
David Paz, and the group is the Chamber Corral Ensemble Forte, meaning this is what we do best.
Music director Sarah Prudien and Roland Rodriguez. And the student group here tonight, Rowan
Anderson, Zach Savellos, Taylor.",,,,,,0,5
1,0:02:00,0:04:00,"[02:00–02:30]
Taylor Curry, Antonella Du Malin, Jasine Galdemez, Amani Ivey, Alex Jordan, Quentin Lambert, Daniel
Mendoza, Hayden Wynne, Semroth New, Andrea Ramirez, David Teagle, Stephanie, Timi Nini, Eddie Veles
Reyes, and Melissa Ziharovic from Wolf from Peito High School, and a quote from Music Director,
Without Music, I would have never been able to.

[02:30–03:00]
meet the people that mean the very most to me in my life, singing calms the mind and soothes the
soul, and these children continue to bring me so much joy every day. So, with that, let's go ahead
and bring our pledge leader up.

[03:00–03:30]
Is a republic for which it stands one nation under God, one invisible one date and justice for all.
Honor the Texas flag and pledge allegiance to the Texas, one state under God, one and invisible, and
I think that's a good idea.",,,,,,0,5
2,0:04:00,0:06:00,"[04:30–05:00]
We will life Whose shrikes and price toss to the government spirits or the robots with horse was
given to shreaming and the rockers were still.

[05:30–06:00]
Jack, you can come on back up to the microphone and share your remarks with us, and then we'll do
some photos right after that. Good evening, President Redmond, board members, and Superintendent
Grigorski. My name is Jack Genesee. I am a fifth grade student at Bonnie Hall and Elementary.",,,,,,0,5
3,0:06:00,0:08:00,"[06:00–06:30]
Bonnie Holland Elementary. I've been at Bonnie Holland Elementary since fourth grade. It takes a
little time getting used to going to a new school, but eventually you get to find your place. I
enjoy the T PE teachers'cause they're pretty funny. We have the house system at and I am the blue
house, which is the house of dreamers, and gives me my identity. I have great interest in zoology
and the study of animals. I find reptiles most interesting. I hope that everyone is having a
wonderful day and continues to. Thank you for giving me.

[06:30–07:00]
this opportunity.",,,,,,0,5
4,0:08:00,0:10:00,"[09:00–09:30]
Mr President Mr. President. May I say something real quick? I want to get a shout out to uh Sarah
Prudion, the choir director, because she was with me at Taylor, well with my kids, and I know from
personal experience she is an awesome teacher. And I enjoyed going to Disney World with you on the
twenty hour bus drive. That was fun. Do we have any oh let's go.

[09:30–10:00]
We move on to three recognitions. And I'll start us off with the presenter. For those of you who
have uh turned it, tuned into our board meetings recently, you've noticed a new tradition that we
started this year. At each regular board meeting, trustees are showing their school spirit by
wearing the colors of one of our ten high schools. And tonight we're proudly representing May Creek
High School and sporting their bold green and white. Go Rams. Um trustee Dawn Champagne tonight. Uh
she serves as our KDICD board liaison for May Creek High School. And I'd like to invite her to share
a few words. Ms. Champagne.",,,,,,0,5
5,0:10:00,0:12:00,"[10:00–10:30]
Thank you, President Redmond. I'd like to take a moment to recognize the incredible educators,
coaches, fine arts directors, and staff members who've helped shape the proud legacy of May Creek
High School. Many of you are here tonight, and let me also add, I know y'all are called the Creek,
right? Founded in 1984, May Creek serves more than 2,700 students and offers a rich academic that
includes advanced placement, honors, dual credit, international business, and a wide range of career
and technical education courses.

[10:30–11:00]
The Rams have built a remarkable tradition of excellence, earning UIL, marching, band honors,
demonstrating outstanding leadership in naval JROTC, and producing athletes who have gone to compete
professionally and even in the Olympics. Yep. With its strong academics, celebrated arts program,
spirited athletics and impressive alumni, May Creek High School truly lives up to its motto, Ram
Pride Never Dies. And I just want to add a little thing. I was assigned uh to you all in 2018, 2019
school year in my first

[11:00–11:30]
I think school year my first year as a trustee and now I'm assigned to you again. And when you when
I walk into that yaw school, I mean you can feel the energy. And you know, Mr. Edwards was there
when I started, and now Mrs. Herring is there, and it it's it's the same energy, and I appreciate
the service that you give to our children. And uh let's give a round of applause to May Creek
Educators. Thank you, Ms. Champagne. If we could invite up all our May Creek educators here to

[11:30–12:00]
Educator's here to take a photo with the board. We'll take that real quick and then continue on in
our meeting.",,,,,,0,5
6,0:12:00,0:14:00,"[13:00–13:30]
Do we have any scouts in the audience tonight? Seeing none, we will continue on uh to section four
public comment.

[13:30–14:00]
Or public comment. At this time, the Board of Trustees will give members of the public an
opportunity to speak in accordance with KDICD Board Policy BED local. As defined by Board Policy,
speakers who signed up by 2 p.m. on Monday, October 27th, will be allowed to address the board.
Speakers who signed up to speak on posted agenda items will be allowed three minutes to speak.
Speakers that signed up to speak on non agenda items will be allowed 90 seconds to speak. If a
speaker is not finished speaking at the end of their allotted time, the audio will turn off. The
board shall not tolerate disruption of the meeting by members of the audience. If after at least one
warning from the presiding officer, any",,,,,,0,5
7,0:14:00,0:16:00,"[14:00–14:30]
person continues to disrupt this meeting by his or her words or actions, the presiding officer or
his or her designee may request assistance from law enforcement officials to have the person removed
from the meeting. If speakers wish to share written material with the board, please provide 10
copies to the Secretary for Board Services before the board meeting begins. For board members, the
superintendent, the chief communications officer, and permanent record. If a speaker is not
attempted to solve the matter administratively through proper channels as stated in board policy,
the presiding officer's designee shall advise the speaker to seek resolution through the appropriate
policy. Finally, pursuant to Texas Government Code Section

[14:30–15:00]
Government code sections 551.074 and 551.0821, the Board will not permit the presentation of
personally identifiable information regarding a student and will not discuss the appointment,
employment, evaluation, reassignment, duties, discipline, or dismissal of a public officer or
employee, or to hear a complaint or charge against an officer or employee. Should a speaker wish to
address one of these issues, they must do so through the appropriate local grievance policies FNG
local, DGBA local, CKE local, or GF local. Our speakers will be called forward in the order that.

[15:00–15:30]
they signed it to speak. We'll start with agenda items tonight. And that first speaker tonight will
be Tamara McFarland, followed by Trevor Anderson. Good evening, trustees, superintendent, and KDISD
leadership. First, as a mom, I'd like to thank you all for implementing resolution SB 12. Um, and
and for years, Kusella and Cal.

[15:30–16:00]
Kusell and Calhoun have worked to protect the physical safety and students and also to remove
explicit and gender ideology content, and those efforts are now fortified in state law. So thank
you. Regarding the security agenda, years ago I had requested metal detectors, starting at high
schools. Our schools already have amazing officers and security measures, and this would be the next
logical step. Even in small claims court, you have to go through a metal detector.",,,,,,0,5
8,0:16:00,0:18:00,"[16:00–16:30]
before you enter the court. And I noticed that you installed one here today or at some point. I was
at the Fort Bend County Commissioner's Court the other day, and they were just installing a new
metal detector. And so this inexpensive security feature we see in public facilities such as courts
and airports would be wise for our public schools to enhance the safety of all students and staff.
And I know that it would bring parents peace of mind. So I don't know if this is in the works, but
if it isn't, I would appreciate consideration.

[17:00–17:30]
Consideration. I also heard the news report October 10th of a felon that made online gun threats
against a KDISD high school. And in court documents, it did show that he did say that, but he didn't
call the school, but he said that to a family member. Police pulled him over in a police chase and
he had a loaded gun and lots of ammunition. So hopefully he would have never acted on that. But I
just think when you hear these stories, and then also students that have brought firearms over the
years, you know, very rare, obviously.

[17:30–18:00]
Well obviously, but um I would be grateful if you would uh consider uh metal detectors. So um I know
that each and every one of you care about this district and its children. Thank you so much.
Appreciate you. Thank you. Next is Trevor Anderson, followed by Bonnie Glenn.",,,,,,0,5
9,0:18:00,0:20:00,"[18:00–18:30]
And community members. My name is Trevor Anderson, and I'm a student of KDASD. I'm here tonight
because I care deeply about the safety and security of our schools, and I want to talk about a
student's right to stay on their ground and defend themselves. Every day, students in KDASD walk
into their schools trusting that they're entering a safe place to learn, grow, and be themselves.
Sometimes that safety is broken. Conflicts happen, someone gets shoved, hit, or cornered. And in
that moment, when a student is attacked or threatened, their instinct isn't or shouldn't be to run
away, but it should be to protect themselves, not exactly to hurt the other person.

[18:30–19:00]
but stand their ground and stay safe. The problem is that under our current discipline policies,
students who defend themselves are often punished the same as those who start the fights. Same
consequences, the same record, no matter the situation. That may seem fair on paper, but in reality
it punishes students who are just trying not to be hurt. The policy today tells students to flee,
inform, and tell. Sometimes running away is impossible or safe. Sometimes the only thing the student
can do is stand their ground, block a hit, or strike someone to stop the attack. The current

[19:00–19:30]
policy doesn't protect those students. It teaches them that defending themselves will get them in
trouble. That isn't justice. It's fear, it's causes fairness. Let me be clear. Violence should never
be encouraged or excused. But there is a difference, a big difference, between being the aggressor
and being the victim. A student who refuses to be a victim, who stands firm and defend themselves
reasonably, should not be treated like a troublemaker. They should be respected for their courage
and their right to stay safe. Across Texas and across the country.

[19:30–20:00]
other other districts have begun updating their codes of conduct to recognize self defense and
standing one's ground as valid considerations when valid considerations when disciplined decisions
are made. They look at the full context who started it, tried to walk away, and who was just
protecting themselves. KDISD has always been a good leader in academics, in athletics, and in
student character. We can lead fairness and safety too. I'm asking the board to review our
discipline policies and add a clear language that protects the students' right to use whatever means
necessary to defend themselves when it's",,,,,,0,5
