chunk_id,window_start,window_end,text,,,,,,binary_hit
0,0:00:00,0:02:00,"[00:00–00:30]
Okay. I call this special meeting of the Spring Branch Independent School District Board of Trustees
to order. Let the record show that the time is now 9 03 and a quorum of board members is present.
Shannon Mahan is joining us via Zoom. This meeting has been duly called and the notice for this
meeting has been posted in accordance with the Texas Open Meetings Act, Texas Government Code
Chapter 551.041. Dr. Blaine, do you have any opening remarks? Um we're just excited to have Dr.
Moses with us here for team building.

[00:30–01:00]
And so we'll do that the first half of the day, and then we'll recess for lunch, and then we'll come
back and in the afternoon we'll have our work session with the topics that are on the agenda. So
looking forward to it. The first item is public comment on agenda items. Since no one has signed up
to speak, we will now move on to the next agenda item. The next item on the agenda is a team
building for effective board leadership at a pivotal moment in Texas education. I'd like to to
welcome Dr. Mike Moses.

[01:00–01:30]
to our meeting. Glad to see you again. For the public, this is a required exercise by Texas law. And
so we do this once a year. So welcome Dr. Moses. I'm going to turn it over to you. Thank you very
much, Matt. I better turn that on. Thank you, Madam President. It is really good to see all of you
today. Shannon, it's good to be with you. And um, Mr. Slattery, it's nice to have the opportunity to
be here with you uh for the first time as well. Um it's um

[01:30–02:00]
It's uh uh Jennifer asked me this morning if my wife had come with me, and I said no, I couldn't let
her get that close to uh the galleria or uh to any of the the shopping. But uh anyway, it is it's
really, really good to uh be with you this morning. We'll do uh what we usually do. We'll we'll take
a couple of segments here uh for an hour, iron fifteen minutes, and then uh we we probably won't do
a full three hours. Uh I I think we'll uh probably have good discussions and maybe pose some
questions and do",,,,,,0
1,0:02:00,0:04:00,"[02:00–02:30]
some thinking out loud. Um I have had the pleasure uh to watch a lot of your board meetings,
particularly for the last few months. Um, and I've um certainly followed some of the work that you
do and certainly the work that Jennifer does. Um it has been a I I don't want to hear you talk about
it, but I would say it's been a very interesting and challenging year, particularly with the budget
and particularly with the steps and some of the things that that you've had to do that uh boards
have to have to get involved with.

[02:30–03:00]
With and maybe we'll talk about that a little bit. I thought we would maybe first start with just
kind of a uh maybe a big 50,000-foot view of education and think very broadly about, you know, um
what you have to think about as trustees, I think, and what Jennifer has to think about is um where
are we going to be in three months, six months, year, two years. Uh you are you're you're
anticipating what is what is going to take place. We've obviously

[03:00–03:30]
had a national election uh a little over a month ago. Um things are about to change, things are
about to change at the federal level. Uh what is that gonna mean? What's that what's it gonna mean
for education at at the national level? What's that gonna mean for Texas? What's that gonna mean for
Spring Branch? And what what do we need to be doing and anticipating uh and thinking about? Um I
think there were signals that were s that were sent by the voters. There always are when we have
elections. Uh

[03:30–04:00]
elections about um what their thoughts are. You know um how bond issues and tax rate uh issues fared
in Texas. It was a mixed bag this last election. Um and so you have to think in terms of well what
are the the messages. So some questions that I just I thought it would I'd be interested hearing
your comments on today is as you think through your role as a trustee and and where where things are
and and where they need to move in 2025.",,,,,,0
2,0:04:00,0:06:00,"[04:30–05:00]
And beyond. I would love to hear anyone talk about what you see as the general current condition of
education. I call this education in Texas at a pivotal time. Is this a pivotal time? Are we at at a
inflection point? We all know what's about to happen with the legislature, and maybe we'll talk
about that in a minute, but I'd kind of like to hear the big the big view of education and

[05:00–05:30]
Education in America. Education and maybe where you think the Federal Government is gonna go, are we
gonna have a Department of Education? And we don't know the answer to that, but uh if if there were
big changes in that area, how would that impact this state? And how do you think that might impact
Spring Branch? Anybody wanna offer and you know there's no right or wrong answers here. Uh it's this
is just a uh a learning time for all of us, especially me.

[05:30–06:00]
But I'd welcome any anyone's contributions on that. Okay, I won't be shy. Um I I think potentially,
I guess at the federal level um doing away with the wasted money in the Department of Education
could be a good thing. Um as you know I'm a conservative so I think uh we've gone off the rails with
with how we're spending our money um on on",,,,,,0
3,0:06:00,0:08:00,"[06:00–06:30]
a federal level. So you know, I've heard rumors that they're going to redirect uh money directly to
the states. Ordinarily I would say that that's a good thing. However, for some strange reason,
conservatives in Texas of late have not been acting very conservative in that they want all the
control to be in Austin instead of in our ISDs. So I really don't know then how that might look for
us.

[06:30–07:00]
because you know they want to tell us exactly how to spend the money without regard to the different
unique characteristics that that the ISDs have. So it it's I I but I think the overarching thing and
we've talked about this a lot over the last year is that with vouchers likely coming, we have to be
more competitive as an ISD. So that means of course academic excellence

[07:00–07:30]
Excellence. That means facilities. That means athletics. That in every respect, we are going to have
to, I think, what the future is, is we're going to have to compete for kids. And so we can either
choose to embrace that and change how we need to change, or we can stay stuck in how education used
to be 30 years ago, and we probably aren't going to be very competitive. And so I think I think
that's what we we as a board and Dr. Blaine are.

[07:30–08:00]
trying to do is change and so that we can grow. Okay. Any good thoughts? Other thoughts about and
and I'm gonna get the take this into Texas and we'll take this into Spring Branch ISD. Those are all
relevant comments, but any other thoughts about education at the national level, the federal level?
What you what you are seeing, observing, what what you like, what you don't like, what concerns you,
John? Sure.",,,,,,0
4,0:08:00,0:10:00,"[08:30–09:00]
Yeah, I guess. All right. Now it's on. Sorry, I was hitting the wrong button, my bad user error. Um
I guess what I'll throw out there is you asked um kind of where are we? Is this a pivotal moment? I
think that's what you asked, right? Is this a pivotal moment? I think uh it is, and I I guess for me
the pivot is a lot of people are asking what role should education play in my family's life or my
students' life, and they're also asking, what is education? I know that sounds maybe

[09:00–09:30]
a little crazy, but I think there are a lot of folks out there asking, well, today in our society,
you know, what has developed to be education? Um, and when you start looking at stats regarding the
number, both in higher and lower, the number of uh professors and teachers that ascribe to a certain
ideology, it begs the question of well, what has our educational system become as far as you know
the goals of the system with respect to production? Right? At the end of the day, we're trying to
produce

[09:30–10:00]
something with our educational system. My concern, and I think this is what folks are asking, even
at the national level, but it bleeds down into the state level and maybe gets to what uh President
Alpi was saying. The unfortunate reality of bureaucracies, whether federal or state, you can pick
any bureaucracy, right? The unfortunate reality of bureaucracy is they tend to be funded to protect
the system. They tend to be then developed to protect the system. You even hear people say the
system, right?",,,,,,0
5,0:10:00,0:12:00,"[10:00–10:30]
It would be great if we focused more on the students, right? And we focused on developing a system
that was really focused on these student outcomes, and student outcomes aligned with bedrock
foundational ideologies of our country. And I think somewhere along the way, we lost that. And I
think that's what folks are grappling with. And so the question I think that I've been asking, even
as a board trustee, and especially third-year-old: for a system that's been designed and developed.

[10:30–11:00]
to protect itself, how do you drive it? How does a board of trustees, how does an admin system that
have been raised in the system itself, how do they even begin to say, I'm going to course correct
significant paradigm shift towards excellence focused on student outcomes? For me, that is the big
thing that I think folks are beginning to really question. And so when you look at state
governments, because I think folks are beginning to say, hey, maybe this is a state's right issue,
Department of Education

[11:00–11:30]
Shouldn't maybe have that role it has today. Um you begin to sit there and go, well, what is the
state looking to do with school choice? And I think that's part of the conversation here. It's not
to kill rural schools, it's not to kill pub education, it's not it's not to kill that, right? But it
is there, I think, to provide that external push to a paradigm shift. And I I can appreciate that.
And from a pub ed space, as a trustee, I sit there and go, we should be looking to prepare ourselves
to compete as well as possible. That doesn't mean we turn into a private.

[11:30–12:00]
school system or a home school system, but I think we have to really take a hard look at what has to
change for us to be the most competitive educational service in a potentially free market
educational space. That's my take on things. If you look at who voted in the last election and you
look at the voters who supported those that won, many do not have a college.",,,,,,0
6,0:12:00,0:14:00,"[12:00–12:30]
education. Many are questioning the value of college education. Fortunately, I think schools have
and Spring Branch has done this, have spent a lot of effort on their career in technology programs
recognizing that. But is is is I mean y'all actually y'all have your T24, but who's are you
prepared? A we still preparing kids to go to college? Is that is that still one of the important
goals? I I'm I'm just looking

[13:00–13:30]
I I'm I've just looked at the people who voted and what they had to say about education and in some
ways it concerned me, in other ways it kinda speaks to your your observations. What is what is what
is education? What is education gonna look like? Um and how how do you want it to look in in Spring
Branch? And and how can you maybe get the state to be a partner and how you want it to look. But
what what what is what is important you think in America

[13:30–14:00]
you think in American education is is are are our efforts um headed in the right direction as far as
preparing kids for college, military service, community college. Are we on point? Are we are we off?
You're thinking, Courtney. Yeah, I am thinking. Because I agree with both of what Lisa and Jonna
both said and what you just said about",,,,,,0
7,0:14:00,0:16:00,"[14:00–14:30]
our you know, how are we preparing our kids and um I may have a unique perspective because I have a
freshman in college this year who went through the system, through our system, and I've watched her
and her friends, and I've watched her friends from other schools and other districts, and I've just
been kind of taking it all in and um seeing how prepared were these kids. And across the state from
the kids and the parents that I've met and talked with uh from, you know, small towns.

[14:30–15:00]
and Dallas, Austin, San Antonio, like gosh, our Spring Branch kids are doing great things. And not
just at UT, but because she's in she's in Austin. But talking to the parents with their kids at
Texas AM, friends at TCU, SMU, like our kids in Spring Branch all seem to be doing great things. And
the rigor from the schools seemed to have um translated over. And the kids are they're the Spring
Branch kids are are super successful.

[15:00–15:30]
and they're by far the least stressed kids because I think of you know the preparedness coming from
the from the high schools. So I guess I'm proud of what Spring Branch is doing. We can always be
better and do better. And that's kind of having grown up here, that's always been Spring Branch's
motto is excellence in everything, whether it's academics or athletics or mental health. We're
trying to our goals have always pushed towards excellence in all areas, so we are constantly
changing, and I think.

[15:30–16:00]
we are pretty introspective. And I think that comes from leadership is looking at, I mean, every
time you hear Dr. Blaine talk about her three goals, she always says, and we can be better. And
which is, you know, that's exciting to me, is always pushing and going forward and making it better.
I am frustrated because I am a conservative and I do believe in in vouchers and school choice, but
what I'm frustrated with is uh public education.",,,,,,0
8,0:16:00,0:18:00,"[16:00–16:30]
not being not really being allowed to be one of the choices. And they say we are, and but not
really, because at every turn they tie one or both hands behind our back. They give us new hurdles
to jump through, but nobody else has those hurdles. So for me as a conservative stepping back and
looking at all of it, I'm I'm I'm frustrated and I'm trying to reevaluate the the best way to go
forward and the best way to compete. Because Spring Branch does compete, and we're not afraid of
competing. We will continue to push for.

[17:00–17:30]
excellence and do our best, but how do we do that? So those are just my random thoughts. I
understand the frustration. I understand the um how's higher education doing? Your your desi your
your eyes are on public education in Spring Branch, but you're preparing kids for um whatever the
next step is, whatever it is, it's community college or whether it's um certified work or whether
it's military service or four-year school, but how how is higher education doing?

[17:30–18:00]
We're just talking again the current condition of American education. And there's no right or wrong
answers, just observations. I was go ahead. No, go ahead. I was I was very prepared and very worried
about what we were going to see, especially sending my daughter to the University of Texas in
Austin. I thought, you know, especially during an election year, I thought, oh boy, she's about to
get the biggest education of her life. And I was pleasantly surprised that.",,,,,,0
9,0:18:00,0:20:00,"[18:00–18:30]
The everything that we'd heard is there. It's out there and it's there, but um I was pleasantly
surprised in the kids have been raised, and not just in Houston, but other cities. They've I've I'm
seeing they've been raised in their convictions, and and they're not afraid to say their
convictions. So I was I was pleasantly surprised and excited by that. But that's just one
experience. Okay. John, were you gonna say something? Sure. So uh you know both my wife and I are
pretty active. She's involved with mechanical engineering and business side over at AM.

[18:30–19:00]
site over at AM, goes out there, presents, works with advisory boards. I actually teach at Rice in
the spring, uh pretty active there. Um and the feedback we've gotten directly from universities is
while our kids are perhaps prepared because they've made it through a high school curriculum, the
college experience has changed and they may not necessarily be prepared for that, right? For
example, uh they claim, you know, and I'm just saying they claim I this is what I've heard, uh the
college experience is very much more social today than academic. Academic is almost secondary to the
social life that these ex

[19:00–19:30]
That these colleges are trying to create. Because it's all about business. They have to get someone
there to be a paying customer. And so, especially on the engineering side, they say that the
engineering industry has taken a real hit, and we've gotten feedback at rise from the uh companies,
companies like Shell, that our engineers just aren't coming out of our higher ed universities the
way they should be. And when you talk to someone at AM, right, the feedback we've gotten there is
the attention span in a classroom has gone from 15-minute segments to five. And so a professor that
used to have to create a class, maybe

[19:30–20:00]
an hour long class, with 15 minute learning increments, maybe changing their look and feel and you
know throwing in a survey here or there's or switching their persona every 15 minutes to every five,
they're actually saying they are losing professors. People just don't want to be that entertainer in
the classroom that's uh having to you know keep these folks interested. So uh I think what's also
become interesting is a lot of universities have succumbed to the well, let's not have classes on
Friday, so everyone can have a three day weekend. So now they're compressing the",,,,,,0
