transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL Spring_Branch_ISD-2025-03-24-Board_Meetings - Spring_Branch_ISD-2025-03-24-Board_Meetings,14,RELABEL Spring_Branch_ISD-2025-03-24-Board_Meetings - Spring_Branch_ISD-2025-03-24-Board_Meetings.csv,0:28:00,0:30:00,"[28:30–29:00]
Last month, Wilchester Elementary and Westchester Academy for International Studies were recognized
by local education nonprofit Children at Risk, with both schools ranking in the organization's top
five in the elementary and high school category, respectively.

[29:00–29:30]
The rankings are based on star scores and year over year student growth, among other factors. This
time we'd like to invite Wilchester Principal Liz Goodman and Westchester Academy for International
Studies Director, Valerie Hernandez, and any members of their team who are here this evening to come
forward at this time as we congratulate the administration, staff, teachers of both schools on this
special recognition.",1,0.4940625106320434,0
RELABEL Spring_Branch_ISD-2025-06-23-Board_Meetings - Spring_Branch_ISD-2025-06-23-Board_Meetings,2,RELABEL Spring_Branch_ISD-2025-06-23-Board_Meetings - Spring_Branch_ISD-2025-06-23-Board_Meetings.csv,0:04:00,0:06:00,"[04:30–05:00]
Bay and House Bill 2, which we are grateful for. Our teachers deserve every penny and then some. And
this is referred to as the teacher retention allotment. And you're going to hear more about this
later on tonight. Basically, the teacher retention allotment allocates monies for years of
experience. So for zero to two years of experience, there's no money allocated in that allotment,
and we'll talk about how we're going to take care of those teachers later on. With three to four
years of experience, those teachers are receiving a $2,500 pay increase. And with five years and
above, those teachers are receiving a $5,000 pay increase. And I just was asked recently is

[05:00–05:30]
that a one time pay just for this year? But no, that's that's now in legislation forevermore. So
that's a very nice bump in pay for our teachers, and we're really grateful for that. A second
allocation of money in House Bill 2 is called the Supplemental Retention Allotment. This allotment
is $45 per program ADA, and it's to be used for auxiliary professionals. And auxiliary professionals
are professionals like bus drivers, custodians, student nutrition service staff, paraprofessionals,
and professional staff that are not administrators.

[05:30–06:00]
Administrators. This allotment is about $1.2 million. There's a third allotment of money in House
Bill 2, and it's called the ABC Allotment, the allotment for basic costs. Not the basic allotment,
but the allotment for basic costs. This allotment is $3.5 million. It can be used for costs
associated with like benefits, utilities, increases in basic costs for district operations. So
that's helpful. Another notable pieces of legislation, there's Senate Bill 260, which is the safety
allotment, and it raises the per ADA school safety allotment from",1,0.4940394119814117,0
RELABEL_Houston_ISD-2025-10-09-Board_Meetings - Chunk_Houston_ISD-2025-10-09-Board_Meetings,34,RELABEL_Houston_ISD-2025-10-09-Board_Meetings - Chunk_Houston_ISD-2025-10-09-Board_Meetings.csv,1:08:00,1:10:00,"[01:08:30–01:09:00]
also. More effective principals, the more effective you're gonna retain uh exemplary teachers or
good effective teachers. The other the last point I would make about retention, remember I said
there's retaining effective teachers, and the other is uh teachers coming into the the district.
This year we had only two vacancies at the start of the school year. Ten thousand five hundred
teachers, only two vacancies. We actually had about eighty to a hundred we call them excess
teachers, but they're not excess'cause we hire them purposely

[01:09:00–01:09:30]
Purposely. In each division, they have about 20 to 25 additional teachers at the start of the school
year, anticipating that we will have some people who leave during the first couple months and they
will fill them, or because of leveling, there might be a need for a different certification, et
cetera. I don't remember if it's welding or something like that, but none of these other 80 to 100
teachers could fit those two vacant positions.

[01:09:30–01:10:00]
We're the only large district with that low vacancy rate. Last year it was 28 at the start of the
school year, and the year before it was zero. So we're at consistently low. And again, just to put
it in perspective for especially for the new board members, the year before the intervention there
was 544 teacher vacancies at the start of the school year. Most of them could, or only half of them
or so, could be filled by uh substitute teachers. Finally, uh tonight I want to just talk about
closing the closing the gap. This",1,0.48391388826519083,0
RELABEL Spring_Branch_ISD-2025-03-24-Board_Meetings - Spring_Branch_ISD-2025-03-24-Board_Meetings,41,RELABEL Spring_Branch_ISD-2025-03-24-Board_Meetings - Spring_Branch_ISD-2025-03-24-Board_Meetings.csv,1:22:00,1:24:00,"[01:22:00–01:22:30]
Awesome, and we really understood everything and felt like we were part of the process. And I know
Annie meets with parents, and she met with people from LCAT, and she's I've seen emails where she
picks up the phone and calls any parents that have concerns, and I feel like the transparency has
definitely been there. So the first three LCAT meetings took place prior to a board presentation in
February of 2024, and we brought the results of the audit back to the board, and we did mention in
that February presentation.

[01:22:30–01:23:00]
that our next step included beginning to search for new resources. And that's really kind of when it
kicked off early of 2024. To answer your question, President Alpe, there were many considerations.
I'd say probably over 40 resources. There were over 20 meetings that Melissa and the humanities team
conducted using these rubrics from TEA and also aligning with our new EFA policy that we had just
updated. They were also following that Texas Reads list of steps of the best practices for
selection.

[01:23:00–01:23:30]
It took them, I mean, we we presented in February, we came back in October of 2024. And that's when
we also brought back to you an update that the investigation of the new potential resources had been
completed by the humanities team. We were compiling information at that time to narrow it down, and
we brought that back. So just a couple of points about transparency February, and then again in
October. We also mentioned in October let's get the LCAT back together, let's get them to see the
finalist resources and kick off the public viewing with them, and we did that in November.

[01:23:30–01:24:00]
November. But it was ours. So to make appointments, to see demos, to have the team weigh in. They
brought their notes to me and brought their finalists to me, and I scrutinized it, right? And asked
lots of questions just to make sure like, are we sure that these are the these are the final two?
They also had used some of the feedback we had from teachers and those literacy instructional
specialists that we had last year. What were the needs on the campuses? What were the things we knew
our system needed the most? And then also what approach did we want to take around.",1,0.4809993359276087,0
RELABEL Spring_Branch_ISD-2025-03-24-Board_Meetings - Spring_Branch_ISD-2025-03-24-Board_Meetings,48,RELABEL Spring_Branch_ISD-2025-03-24-Board_Meetings - Spring_Branch_ISD-2025-03-24-Board_Meetings.csv,1:36:00,1:38:00,"[01:36:00–01:36:30]
tell me, what do you think's best? And and they wouldn't they wouldn't go there. And so, which was
fine. I I accepted it. And um the one thing sorry, uh don't don't mean to interrupt, but then
couldn't they at least provide that comparison matrix to say, hey, on this criterion, you fly is
moderate, someone is exceptional, someone is weak. Because that to me would then allow me, and it
maybe Texas Reeds can take this and when you do this again, that I think that's that's a great
thing. I mean, as a trustee, I would love that, right? You'd like to see the their rubrics that our
team did.

[01:36:30–01:37:00]
I guess I would just like to see a matrix. Well, that okay that kind of says on fauna construction,
you fly explicit, systematic, mastery based, HMH systematic but less intensive. Or on equity focus
on UFLY, minimal neutral, skill based, on amplified, moderate, diverse text, some social themes, but
on HMH, high social justice themes present. On CRT, on HMH, CRT adjacent themes. I didn't actually
go read Yeah, what study we only we only got excerpts of what study is that?

[01:37:00–01:37:30]
This is simply AI going out and reading everything it can on HMH. You can't dismiss A. I mean, I
have worked this over and over again. I've got to be able to spend hours doing AI on the side. I
really have. The only way it shifts is on dyslexics and dysgraphics. Right. That actually does shift
the results. Annie, let's let Annie talk to us about the rubrics that you guys used, your humanities
teams, in comparing all of because y'all didn't just go and say, Oh, I like this and I like this.
Can you speak to the rubrics that you used? What were the factors you were

[01:37:30–01:38:00]
looking for in comparing all the different things. And it it's part of our EFA policy. Anytime we're
going out to look for a new resource for an adopted material for a major course like this or major
courses, we look to the state's uh guidance to start with. And so they they do have really great
comprehensive rubrics as part of their EMRA process, for example, and then a couple others. They're
overwhelming. So we we did take those rubrics and make it something that a teacher could then use
easily as they're looking through with their with their PLC teams.",1,0.4705946245458805,0
RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings,13,RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings.csv,0:26:00,0:28:00,"[26:00–26:30]
Okay. Thank you. Okay. I think that concludes our student speakers for the evening. Um we're gonna
turn over then to the uh speakers to agenda item one, which is the monitoring report, and I'm gonna
call them in um uh alphabetical order for those folks that are present. The first speaker I have is
Book Brooke Bailey. Are are these folks identified by numbers so that they can come forward or

[26:30–27:00]
Okay, so if your name last name begins up to a C, uh A B or C, please come forward and have a seat
here. And uh Miss Bailey, is that you, ma'am? Please come on. Hello, my name is Brooke Bailey. I'm a
concerned citizen, a writer and artist, and I worked as a teaching artist in HISD for many years.
I'm writing a statement by a certified educator with over 21 years of experience and a master's
degree. They chose to

[27:00–27:30]
leave their non-NES school. Their words, as the Montessori specialist, my position was no longer
about making the Montessori program authentic. I was used in a lower paid role. The demoralizing
climate and continuous gotcha culture was not how I wanted to finish my career. Thank you. Thank
you. Our next speaker is Amher Barger. Yes, ma'am.

[27:30–28:00]
Hello, I'm Dr. Amber Barger, a concerned community member. For this agenda item about increasing the
percentage of students meeting the TSI criteria, the research shows school leader and teacher
retention have a large impact on student success. Unfortunately, given the current climate in HISD,
principal and teacher turnover have soared, with about 50% of principals and 40% of teachers having
left the district since the takeover. And now one in five teachers are uncertified.",1,0.4229348810710702,0
RELABEL Spring_Branch_ISD-2025-03-24-Board_Meetings - Spring_Branch_ISD-2025-03-24-Board_Meetings,43,RELABEL Spring_Branch_ISD-2025-03-24-Board_Meetings - Spring_Branch_ISD-2025-03-24-Board_Meetings.csv,1:26:00,1:28:00,"[01:26:00–01:26:30]
Not necessarily an indictment of the product proposed or selected, it's just really I think more of
an indictment on the process and not so much whether it was opaque or transparent. You know,
recently I bought a computer and it took me months to spec up my computer. But in buying my
computer, what I did is like, you know, what do I want on my computer? Uh which brand. I created a
comparison matrix, I talked to folks, super users, um, you know, Power BI, you know, I'm probably
gonna be doing some more heavier.

[01:26:30–01:27:00]
uh AI data set analysis. And I guess along the way, I kept kind of creating and modifying this
comparison matrix. And I think I was expecting that type of interaction uh not just with the board,
but certainly with the trustees that were on the team and with all the members of LCAT. Um kind of
along the way, uh, for example, UFLY, I understand what you're saying about UFLI, um, but initially
when the charter was set out, it was K through two. Um, UFLY would certainly stay in the running uh.

[01:27:00–01:27:30]
The running a bit differently if you didn't expand it to K through A. And I'm not here to say
there's one size that fits all, because I think what I've realized in my research is there really
isn't. And where I've landed is I don't understand why we can't, and I'm not saying dismiss this
work, that's not what I'm saying. But why can't we adopt more of a hybrid approach where, for
example, something like UFLY that demonstrably works better for all students, including dyslexics
and dysgraphics? Uh, because when you actually throw dyslexics and dysgraphics in your analysis.

[01:27:30–01:28:00]
Graphics in your analysis, that is the one differentiator I found that really shifts the analysis.
Okay, when I kind of look at everything, it's when you throw in all students, not dismissing a
subset. And so when you throw in dyslexics and dysgraphics, UFLY really rises for K through two, and
then it throws actually it throws out Amplify as probably the one that works next best when you
start going three through eight. And I understand that you don't like Amplify because we keep
hearing about wokeism and things like that. But what was interesting is, you know, I was taking
people's word for that. No, the reason.",1,0.42139798674445744,0
RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings,15,RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings.csv,0:30:00,0:32:00,"[30:00–30:30]
Thank you. Our next speaker is Kelly Blicker. I believe she's in the overflow. Is she here? Oh,
good. Okay. Yes, ma'am. Good evening. Can you hear me? No, I don't know why it's not. Well, try it
again. Start timer. Can you hear me? Yes, no. Okay. Good evening. Kelly Blickery, H I S D parent.
How do you all plan to prepare students for the workforce in college when you continue?

[30:30–31:00]
to riff and run off experienced teachers and replace them with uncertified staff and AI generated
packets. Today I'm here to read a statement by a certified teacher with three plus years of
experience. They accepted a job with another district after being part of a reduction in force. They
say, I helped make the first convocation happen and can say with confidence that Miles almost
bankrupted the district trying to get the location moved. He also threw a party for admin while we
were at PD.

[31:00–31:30]
Massey described it as a spa day. Thank you. Thank you. Our next speaker is Diana Candida. Hi, my
name is Diana Candida here to speak on agenda item one and tell you again that data is being cherry
picked and strategically being used to mislead the public. Board of Managers, you're being led to
believe that NES is working and that the $4.4 billion bond will help Houston. Houston needs a bond,
but the bond

[31:30–32:00]
proposed by Mr. Miles will not help Houston's children. It will not fulfill our community's vision
and values. Only 39% of voters support a property tax increase to fund the bond. The claim that it
won't increase taxes is false. In addition, not only has Mr. Miles created a toxic work environment
for teachers and precipitated the decline in student enrollment, but he has a track record of
mismanaging public funds. Board of Managers, if you truly care about Houston and our children, I
urge you to fire Mike Miles and in November ask that you follow the recommendations of both.",1,0.4179018643748311,0
RELABEL_Chunk_Katy_ISD-2025-05-12-Board_Meetings - Chunk_Katy_ISD-2025-05-12-Board_Meetings,65,RELABEL_Chunk_Katy_ISD-2025-05-12-Board_Meetings - Chunk_Katy_ISD-2025-05-12-Board_Meetings.csv,2:14:00,2:16:00,"[02:14:00–02:14:30]
We do have some oversight by the Navy. The Navy has a government service civilian who is based out
of uh downtown Houston. It's the area manager, and we're in Area 17. Uh that individual is a former
SNSI from uh HISD, and he provides government oversight for all of the Houston units, Beaumont
units, and now three units in western Louisiana. And he ensures that the instructors are following
the program guidance set by the Navy as well as creative.

[02:14:30–02:15:00]
As well as curriculum and the proper disposition of any government funds that are transferred and
used for the program. Every year he comes once a year to every unit in his area and does the area
manager's inspection. It's an inspection of myself and my instructor, but they find that out by
talking to the cadets, observing the cadets, interviewing with the staff officers, making sure that
they know how to do their functional area, which shows that we have helped instruct them on the
proper way of doing it. So every year that happens at May Creek, and our area manager.

[02:15:00–02:15:30]
is always very pleased and brags about this unit across the entire area. Now we have several reports
that we have to provide the Navy. Most importantly is in October, the enrollment report. On 1
October, we take a snapshot and we send it to the Navy, and we have to show at least 100 cadets
enrolled in the program or 10% of the school's population, whichever is the smaller number. For us,
it's 100 cadets. And in the entire history of the unit, we have always met that goal. Any unit that
does not meet that goal will go on probation from the

[02:15:30–02:16:00]
Navy is required to develop a plan to get well and then recurring reports on how they're achieving
that goal. Subsequent uh probationary periods over one or two years may result in units losing uh
their status and being removed from uh active service. Uh speaking of enrollment, uh, we've done
very well this year. We've had less attrition this year than any past year. As of today, this is the
enrollment in your KDISD NJR.",1,0.393563148188652,0
RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings,50,RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings.csv,1:40:00,1:42:00,"[01:40:00–01:40:30]
part of one of the things we observed right at the start of this work. And so within one pathway,
there's two issues, right? As students move between campuses, one campus might have a pathway that
another campus doesn't. That's one of the reasons we put the foundational programs of study into
place to have some consistency across comprehensive high schools. But the second problem is even
within one program, there's a lot of different course offerings. So we're also standardizing and
streamlining okay, when we say the level one course, here

[01:40:30–01:41:00]
Here is the course that we can choose. So even within one program, students don't get stuck if
they're moving around from one to another. So the streamlining of courses and the selection of the
foundational programs of study really helps with our mob with the mobility issue. While
acknowledging we still wanted to allow high schools to offer the many programs that they did,
because that's a big part of what made them unique as a canvas. Thank you. Okay, any other
questions? Yes, Ann. Thank you, Chair.

[01:41:00–01:41:30]
Thank you, Chief Hole. Um I I feel like we kind of talked about this last month where it's it's the
um I'm I'm really honing in on the the biology and the algebra in middle school. I guess that's my
thing. So you know the trend has shown for a while a decrease in the the number of middle school
students that are taking those courses. How are we going to turn that around? Like wha what does
that look like um successfully for us to change that trend? Um

[01:41:30–01:42:00]
Um I would say a couple things. One is that focus on ensuring that we have that new opt-in policy
where whenever students are prepared and ready for that next more advanced course, we're creating
systems to make sure that they're able to enroll in that course. So before we actually create our
schedule, every campus will get a list of you know all of the students who are ready for that next
course, and that helps us build the schedule appropriately so that there's space for all of the
students who are ready. So that's really important.",1,0.3905518701500915,0
