transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
Chunk_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings,24,Chunk_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings.csv,0:48:00,0:50:00,"[48:00–48:30]
college and succeed beyond the classroom. We must remember that school is where our children are
supposed to fall in love with learning. They develop this love by visits to the library, reading
novels, and engaging in lessons that encourage questions and further discussion. This has been
stripped from our schools and replaced with PowerPoint slides, excerpts from books, worksheets, and
quiz after quiz, none of which are fun or engaging. We cannot expect our children to succeed if they
aren't given the tools to do so. Bring back libraries, librarians, literacy programs, and allow our

[48:30–49:00]
children to read novels. Show them you care about their progress and not just a measly test score.
No books, no. Thank you, ma'am. Our next speaker is Lee Kiefer. Lee Kiefer? Miss Kiefer? I believe
she was here. Lee Kiefer. Last call. Okay. Oh, okay, thank you. All right. Yen Lee.

[49:00–49:30]
My name is Dr. Yenshi Li. I am a mother of an HISC student who luckily scores high on your test
scores and receives special education services. I share a statement by a certified special education
teacher with more than 21 years of experience and a master's degree who left their NES elementary
school for private school. They shared the spot scores were always low since it's impossible to stop
every four minutes.

[49:30–50:00]
for one, two, or three minutes. The strategies became the lesson and the content got lost. In my
words, when the measurement system is flawed and not based on evidence, the data is flawed. It is
fake news. Without good data and valid measurement, there can be no trust. No trust, no bond.",0,0.9597547023094196,1
Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting,46,Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting.csv,1:32:00,1:34:00,"[01:32:00–01:32:30]
11th graders who qualify for college credit. That metric can still be closely tied to TSI because
the rigor of college credit courses really can still support students being prepared for college.
But we knew we were adding new goal progress measures, so we wanted it to pose to the board as
thoughts and opinions on if they wanted to keep 3.3. But it's a it's a great measure, and I'm really
glad we've been tracking it to date. And then the 3.4 and 3.5 I think are equally really important
to pay attention to. For 3.4, one of the

[01:32:30–01:33:00]
things we did here is we looked at the baseline and then we increased the target 2% each year. One
of the things we did to help think about how much we would increase the target is actually look at
the state data. Even if we look at last year from 23 to 24, what reading language arts students did
in three through eight, English one and two, we saw one percentage point increase from 23 to 24. And
what we're proposing is we actually have a two percentage point increase across all of those grades
combined.

[01:33:00–01:33:30]
So it does become more rigorous because again you have to do that across fourth through eighth. And
then we're setting almost double what we would see across the state every year, which is I think
pretty rigorous from that perspective. We did the same thing for see if that was that was reading in
language arts. We did the same thing for math. We looked at our baseline. From our baseline, we
recommended a two percentage point increase each year. When we look at the state data, we actually
saw math go down. So we're recommending that our",0,0.9265081417581351,1
Chunk_Spring_Branch_ISD-2026-01-27-Board_Meetings - Chunk_Spring_Branch_ISD-2026-01-27-Board_Meetings (1),13,Chunk_Spring_Branch_ISD-2026-01-27-Board_Meetings - Chunk_Spring_Branch_ISD-2026-01-27-Board_Meetings (1).csv,0:26:00,0:28:00,"[26:00–26:30]
star performance, college readiness, graduation data, and attendance data. The district again
received an A superior rating for 2025 from the Financial Integrity Rating System of Texas, or first
rating from the Texas Education Agency. The 2025 state accountability rating for the district was a
B. In 2025, the special education program again received the highest of four determination status
levels, with meets requirements from the results driven accountability system, or RDA.

[26:30–27:00]
RDA. And finally, the district received an accredited status for the 2425 school year. Moving into
the district profile, the three bar sets in this chart represent from left to right the state,
region four, and the district. Enrollment is captured each school year on the last Friday of
October, which is known as the PEM snapshot date. This is also the accountability subset. Enrollment
for the 2425 school year was down 737 students compared to the previous year.

[27:00–27:30]
The last set of columns shows the rate of emergent bilingual English learners. Spring branch
population of EBL students is considerably higher than the state in the region. It's also worth
noting that historically, more than 80% of this population is also economically disadvantaged. Can I
stop and ask you a question? Certainly, please. Why do you think that last um bit of data? Why do
you think that we have a higher percentage than the rest of Region 4? So compared to Region

[27:30–28:00]
four, to just so that everybody can see the slide, so it's um the region is 29.1% and we are 37.5
percent. Um a lot of it has uh to do with the high concentration of multifamily complexes, um, also
lower rent available in some areas. Uh that's a high preponderance, plus being in the Houston area
in general and being an urban um area makes the the likelihood of um getting employment and um
affording the um to stay in Spring Branch more likely.",0,0.9200186431808034,1
Chunk_Houston_ISD-2026-01-15-Board_Meetings,38,Chunk_Houston_ISD-2026-01-15-Board_Meetings.csv,1:16:00,1:18:00,"[01:16:00–01:16:30]
to communicate with families across the district. I just wanted to quickly highlight the fantastic
rates of participation we had from across the district. Here were our five highest schools that had
the most participation. But I would highlight that even our campuses that had the lowest
participation still outperformed our district average in our May survey. Nearly 91% of our families
across the district indicated on their survey that they had an overall positive sentiment.

[01:17:00–01:17:30]
Sentiment. Now you might say, what does that mean? And ultimately, what we did is we looked at each
one of those surveys and we aggregated their responses. And we said, if the majority of their
responses were favorable, that is a favorable survey. If the majority were unfavorable, that would
be an unfavorable survey. More than 91% of our families had more positive things to say about their
school and the district than not. We evaluated a survey across five domains that were represented on
every single survey, and then for families who had a student that

[01:17:30–01:18:00]
participates in special education, they received two additional questions as part of a special
education and support domain. Across each of these, we can see strong participation and strong
results indicating overall positive sentiment here in the district. In the interest of time, I'm
going to move quickly through the domain-specific slides, calling out overall favorability. In your
packets, you have this information in addition to the question level detail broken down for each
domain. If you have questions, I'm happy to answer them as we move through.""
39,01:18:00,01:20:00,""",0,0.9039408804134507,1
Chunk_Spring_Branch_ISD-2026-01-27-Board_Meetings - Chunk_Spring_Branch_ISD-2026-01-27-Board_Meetings (1),12,Chunk_Spring_Branch_ISD-2026-01-27-Board_Meetings - Chunk_Spring_Branch_ISD-2026-01-27-Board_Meetings (1).csv,0:24:00,0:26:00,"[24:00–24:30]
Members of the board, Dr. Blaine, the Texas Education Code requires that the Board of Trustees hold
an annual hearing for public discussion on the Texas Academic Performance Report or Taper. The taper
report includes student achievement and other indicators. These data are compiled from PEAMS data
and student assessment data from the State Text Testing Program, College Board, ACT, and the Texas
Higher Education Coordinating Board. The taper includes comparative data of the region and the

[24:30–25:00]
state. TEA also makes this data available online through the Texas Performance Reporting System, or
TPRS. The annual report includes data and reports from numerous categories, based on data from
different school years and data sources, some of which are outside of the TAPER report. Lagging data
from the 23-24 school year determines the district's accreditation status for 24-25. Attendance,
graduation rates, college readiness, and data used in the report from the Texas Higher Education
Coordinating Board.

[25:30–26:00]
are also lagging data from 23 24 or earlier. The district profile, star performance and ratings, as
well as the report on violent or criminal incidences, are all from the 24 25 school year. The campus
safety policies and procedures and the campus performance objectives are from this current school
year. As a reminder, the campus performance objectives were presented and approved by the board in
October 2025. The presentation will begin with the district's most recent accreditation statuses and
demographic profile. This will then be followed by an overview of",0,0.902307223348158,1
Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting,35,Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting.csv,1:10:00,1:12:00,"[01:10:00–01:10:30]
likely to be meets or masters they've included the the learning loss of the students in the study.
Thank you. Anybody else? Go ahead. Thank you. Something that this discussion has helped me wonder is
the targets that you're proposing here in 1.3 do they do they assume or take into account the impact
or how do I want to ask this? What about the impacts of um improving our evaluation system for
teachers and what assumptions do we

[01:10:30–01:11:00]
have in these targets with that evaluation system? Or really, or was the thinking done separately?
Because if we think about this over five years, did we think about what impact an evaluation system
improvement would have on our on our student outcomes? Yeah, this is a separate process, but I can
tell you that ensuring that the evaluation system has NWA as part of it, that teachers will do
better on the NWA assessment.

[01:11:00–01:11:30]
Uh assessment or their students will do better on the NWA because of the connection, the tight
alignment between evaluation and assessment. But these uh progress monitoring targets was not part
of that system. So it would help us sort of ensure, provided like assurance that we would be helping
to make sure we're pushing towards these targets with it's a benefit, but it's not um a dependency
here. We're aiming for these targets anyway. That's right. These these progress monitoring t uh
targets are mostly

[01:11:30–01:12:00]
mostly the boards and mine. Um the the teachers have uh different ones. For example they have met
expected growth and um the percentile versus this. Thank you. Adam just one last note. Um as as
you've clarified the two thousand students um one thing that I would just caution you with is it's a
different set of students but um",0,0.8877994508464081,1
Chunk_Katy_ISD-2025-02-24-Board_Meetings,44,Chunk_Katy_ISD-2025-02-24-Board_Meetings.csv,1:28:00,1:30:00,"[01:28:00–01:28:30]
2023-2024 school year. There are eight components of the report, with the largest being the taper or
Texas Academic Performance Report. The timing of the annual performance report is driven by the
release of the taper. TEA releases that in January, which is why we come to you now. Many of these
requirements are brought to you in updates throughout the year, including updates on STAR and EOC
performance, financial reports, House Bill 3 progress measures. Because you've seen the updated
information throughout the year, we won't go back in time to review the old data.

[01:28:30–01:29:00]
but I will be able to answer questions should you have them. This full report is on the KDIC website
under the Research Accountability and Assessment website, and you'll see annual performance report
there on the bottom left. Section one is the Texas Academic Performance Report, which is compiled by
TEA for each campus and district in the state of Texas. This document includes data from PEMs and
reports on state assessment data, student group performance, staff, and programs. Typically, you
would find an accountable

[01:29:00–01:29:30]
You would find an accountability rating here, but ratings are still on hold pending the lawsuits
against TEA. Section two is our financial standard report. This report is given to us by TEA and is
a year behind the annual performance report. But with frequent updates from our finance department,
you are aware that KDISD earned a first rating of an A, which is superior achievement. Section three
is the district accreditation status, and because student performance is a key indicator in the",0,0.8794750471180991,1
Chunk_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings,25,Chunk_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings.csv,0:50:00,0:52:00,"[50:00–50:30]
All right. Good evening. My name is Brooke Longoria, and I'm speaking to the progress measures. As
I've said before, any of these gains come at way too high a cost. I want to ask have any of y'all
looked at enrollment? It is currently down 5%. Mr. Miles Ego told you it would be 2.5 or 3%. It
won't be that. And it's significantly worse at NES schools. And Miss Linder, I'd like to speak to
you because one of the schools closest to both you and I is Browning Elementary. Enrollment there
has declined 14% this year.

[51:00–51:30]
This is much higher than normal. This is more than anyone expected. And the only and the easiest
reason to look to is NES. Those who can opt out have. They've opted out with their feet. More will
next year. Your actions are destroying HISD. I will also be leaving HISD at the end of this year. My
two beautiful children deserve an education that is more than test prep. At their their they have
their school has adopted Mr. Miles' policies, and it's not working for our family. Thank you. Our
next speaker is Sarah Mahler.

[51:30–52:00]
Our next speaker is Sarah Mahler, and if folks with um last names starting with M through uh R
wouldn't mind coming forward. Yes, ma'am. Hi, my name is Sarah Mahler, a parent to a kinder and
second grade students in HISD. At the beginning of the school year, kindergarten teachers in HISC
were told to start giving the percentage scores to their kindergartners. This replaced a 1, 2, 3
system based on the TEAKS learning objectives that have been used for decades. Many of these
objectives were measured.",0,0.8749906496887825,1
Chunk_Katy_ISD-2025-07-28-Board_Meetings - Chunk_Katy_ISD-2025-07-28-Board_Meetings (1),30,Chunk_Katy_ISD-2025-07-28-Board_Meetings - Chunk_Katy_ISD-2025-07-28-Board_Meetings (1).csv,1:00:00,1:02:00,"[01:00:00–01:00:30]
And then utilize that distribution to support additional student attendance incentives, engagement,
academic success that they have with students on their campuses. They may be provided at a whole
campus level, grade level, or at individual classroom levels. And so really looking at how can we
incentivize what that looks like in order to continue to keep it right at the forefront, even more
so for our campuses. It starts really with branding and messaging. So just to give you some examples
of things, that poster right in the middle.

[01:00:30–01:01:00]
the attend today achieve tomorrow, is a poster on behalf of our communications department. And that
poster hangs in each of our campuses. It also hangs here at the ESC. You may have seen that around.
Just keeping that message at the forefront because we know that when students are not in the
classroom, every day that they are missing class is compounded with academic achievement loss. So we
want to make sure that we're keeping that at the forefront of that conversation. You'll see some
messages that campuses have put out incentivizing that.

[01:01:00–01:01:30]
That recognizing students for their attendance, keeping those totals at the forefront of
conversation. As well as you'll see some different strategies from some of our campuses with how do
they recognize students for perfect attendance. You'll see there, Kilpatrick, recognizing that as of
September 6th, you know, their daily attendance being over 97%, and just having opportunities to
really make sure we're recognizing those students who are in attendance and our families who are
helping make sure that happens as well.

[01:01:30–01:02:00]
Good evening. I'm just going to talk a little bit about how the attendance incentive works. And I
know we've we've presented this uh to this body over the last couple of years, but just going into a
little bit of detail um about how it has worked and then what we're gonna do moving forward. Um each
campus uh for the past two years receives an ADA improvement plan, which is essentially a piece of
paper and it's really got kind of three main components to it. It's got their historical ADA or
attendance rates.",0,0.871936272367689,1
Chunk_Houston_ISD-2026-01-15-Board_Meetings,39,Chunk_Houston_ISD-2026-01-15-Board_Meetings.csv,1:18:00,1:20:00,"[01:18:00–01:18:30]
those results. Our first domain, academic challenge and quality, 87% of our families believe that
their child is learning as much as they expect and what is being taught meets their needs. In our
safety and belonging domain, nearly 91% of families indicated that they believe their child is
physically safe at school and feels welcomed and included. We take our students safely seriously and
are always working to ensure that our students are safe.

[01:18:30–01:19:00]
Matthew, can you on this slide can you just say a word about the breakdown and then you don't have
to say it again for the the next one? Absolutely. Uh which breakdown would you like to say? Um I
mean you can go back one or you can do this one, just so people know what they're looking at.
Absolutely. Happy to. So as we look at this slide, um, all of these are the aggregated totals of
favorable, neutral, or unfavorable responses on each of these questions. And so you'll see in our
total responses, there are 21,000 there. That's more than our allowance.

[01:19:00–01:19:30]
That's more than our 11,000 surveys, and it is because we are aggregating two questions. I'm at the
next slide. The next slide. Because you didn't explain this type of slide. Absolutely. So on this
slide, what we have is the overall perception there on the left in yellow, and then we have it
broken down by race-ethnicity groups across the district. For our races and ethnicities that have
smaller representation or smaller representation in the population, we group those into others so
that we would be able to glean statistical insight from those smaller groups while still protecting.

[01:19:30–01:20:00]
anonymity at the lower levels. Our school progress domain, nearly 83% of families responded that
their child is being well prepared, they would recommend their school, and that they believe that
their child school is improving. We know that there is no higher uh admonition than being able to
say to your friends and loved""
40,01:20:00,01:22:00,""",0,0.8713967216249099,1
