transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL_Houston_ISD-2025-08-14-Board_Meetings - Chunk_Houston_ISD-2025-08-14-Board_Meetings,66,RELABEL_Houston_ISD-2025-08-14-Board_Meetings - Chunk_Houston_ISD-2025-08-14-Board_Meetings.csv,2:12:00,2:14:00,"[02:12:00–02:12:30]
the school year, they are trying to pacify a long list of supervisors who are scared of the
superintendent. Chaos from the third floor of Hattie Mae White leads to chaos throughout the feeder
patterns, and that chaos then seeps into classrooms. That's not good for our schools, it's not
supportive of our teachers, and it's simply not fair to our kids. I implore the Board of Managers to
change course and lead through a sense of community, not chaos.

[02:13:00–02:13:30]
Hi, I'm Mindan Tran. I'm a HISC teacher speaking on teacher stuff. Um, in the first year of the
takeover, HISC bled away over 40% of its 10,000 teachers. This past year, Miles' favorite
publication, The Chronicle, reported a loss of more than 30% of teachers and staff. I bet this
number would have been higher if the compensation manual had been released with enough time before
the deadline for teachers to resign without penalty. Now teachers are trapped in this dictatorship
because we weren't given enough time to find new positions in districts that actually value our
profession. If this board truly believed in professional teachers, it wouldn't sell.

[02:13:30–02:14:00]
It wouldn't celebrate the closure of teaching positions. It wouldn't celebrate the positions filled
with inexperienced teachers instead of with veterans who fled the district. The board would not try
to remove consultation with the unions. If the board truly believed in certification, Miles would
get his. We know what teachers need, and we'll keep fighting for our members. Thank you. Thank you.
Thank you. Kids, grandchildren, thank you. So Miles believes children who can't read can't enjoy
libraries, which shows how little he knows about.",1,0.34776491000743687,0
RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings,17,RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings.csv,0:36:00,0:38:00,"[36:00–36:30]
Forty-one thousand students are in music classes and are taught by certified music specialists.
These classes provide a foundation of music training that enables students to continue into the
secondary level. The total enrollment of students currently receiving music instructions in grades K
through twelve is over fifty-six thousand. In the area achievement, our programs are excelling at
the highest level as well as providing unparalleled learning experiences supporting the district
mission statement. This list of honors is an overall.

[36:30–37:00]
Is an overview of the accolades earned through the high level of instruction by our music staff. I
would like to highlight the Texas Music Educators Honor Group distinction. This honor is equal to a
state champion as it is a head-to-head competition with programs across the state. The American
Prize in Orchestra performance is awarded to the best orchestra in the public school division across
the nation. And lastly, the Sudler Shield is an international award given by the John Phillips Sousa
Foundation for Excellence and

[37:00–37:30]
For excellence in marching band performance. Another achievement to share is from this past year's
2025 UIL State Music Chamber Contest. Ensembles from across the state submit a 10-minute video
recording, and the top 10 string ensembles and the top 10 wind chamber groups are selected to
compete in a live final round of competition and perform a program 15 to 20 minutes in length. KDISD
had four of the six possible metal placements as well in the UIL State Instrumental Chamber goal.

[37:30–38:00]
Middle Chamber Gold Medalist was won by KDI Steve. From the district level, KDI Ste has earned the
distinction as a best community in music education for the past 22 years from the National
Association of Music Merchants Foundation. The rubric to earn this award evaluates data regarding
staffing, facilities, funding, scope of music offerings, student enrollment, community engagement,
and supporting all levels of music education.",1,0.33923867148803766,0
RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings,26,RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings.csv,0:52:00,0:54:00,"[52:00–52:30]
should be eloquent with care, respect, and love. It has been made clear that there is no respect for
the community or the leaders at our schools. The policy which resulted in the sudden removal or
shuffling of multiple school leaders recently undermines the stability needed for effective
learning. Research has shown that high principal turnover leads to decreases in teacher attention,
loss of community trust, and has a negative impact on student achievement. The actions in
disregarding community input already cost our children much-needed resources.

[52:30–53:00]
Needed resources and a failed bond. We are not opponents, we are not noise. We are parents, and we
are asking you to listen to those who are here to take in the time to show up and speak and to do
better for our children and our thank you. Speaker number 10, please. Hi there, I'm a first time
speaker and a former educator. My name is Shannon Knight. My kids have been in an Ivy program from
the time we started in HISD. I'm a single mom.

[53:00–53:30]
and I can't afford private school. They're in high school and they are thriving. They write
PowerPoint presentations, they read novels, they write comparative essays, they work in groups. My
daughter was student of the year of her middle school. She's learned lifelong skills being in an IV
program. I'm here to support IB. There is no room for NES in an IB school. And you know what, board
members? We're parents. We are not politicians. All we want is for you to listen to us. My daughter
last week came home from high school.

[53:30–54:00]
I came home from high school. Mom, I'm terrified. What's going on? I haven't seen my geometry
teacher for five days. Rumor has it, she's getting fired. I can't imagine what happens when teachers
leave children who are struggling. My kids are A and B students, and now she has a C in geometry.
Where's her teacher? Why are we breaking up this leadership? Stop the madness. You deserve our we
deserve better, and you need to work harder and listen to the parents. Thank you. Speaker number 11,
please.",1,0.33570251082008823,0
RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings,32,RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings.csv,1:10:00,1:12:00,"[01:10:00–01:10:30]
Our kids experience every day. Pizza or a version of cheesy bread is a main entree served 10 days
out of just 18 this month at my kids' school. The remaining days consist of mac and cheese, nachos,
fried chicken nuggets, corn dogs, and entirely refined carb pasta dishes. Kellogg's rice crispy
treats and General Mills fruit roll-ups should not be advertised to children or sold in our
cafeterias. Two Fridays a month for ice cream is more than sufficient. Current policy, which allows
everyday sale.

[01:10:30–01:11:00]
of ultra processed snacks in our schools seems downright criminal when our state of Texas currently
maintains child obesity rates of 25% for ages 11 to 17 year olds. I urge the board to put this issue
on the February agenda. At a minimum, this board should care about compliance and should resolve the
problem that our district is failing to meet federal nutrition standards. We have amazing students
in our athletics, arts, and academics programs, of course. I'd like to see us.

[01:11:00–01:11:30]
Thank you. Next is Soshia Huff, followed by Brandy Aguilar. No Huff. All right, Brandy Aguilar.
Next, followed by Kimberly Missail. Good evening, board members. My name is Brandy Aguilar. I am a
KDIC resident and the parent of

[01:11:30–01:12:00]
a student at Hudson Elementary. I'm here tonight because serious concerns regarding student safety,
communication, and administrative accountability remain unresolved despite repeated attempts to
address them at the campus level. I've exha exhausted all avenues internally to rectify the issues.
I want to be very clear, my concerns are not with the administrators. This the failures rely or the
failures lie squarely on campus administrative leadership. Since December, my child has been
physically assaulted twice by the same student. She was punched in the stomach, the chest, and face.",1,0.3307171166484743,0
RELABEL_Katy_ISD-2025-04-22-Board_Meetings - Katy_ISD-2025-04-22-Board_Meetings,50,RELABEL_Katy_ISD-2025-04-22-Board_Meetings - Katy_ISD-2025-04-22-Board_Meetings.csv,1:42:00,1:44:00,"[01:42:30–01:43:00]
So Trustee Champaign, are you interested in trying to do anything to help your planning topic? Yes
or no? I am interested in finding out, like it may be a survey, to see how many teachers are
actually unhappy with this. And I know that the Aft, the AAFT, it has done s sort of an unofficial
survey themselves, and they said that they've talked to, I don't know, so many schools and they know
the numbers, but they've talked to so many teachers at so many schools, and they have done some sort
of survey. But

[01:43:00–01:43:30]
But I don't know, I can't remember all the numbers of it, but I know that they've reached out to a
bunch of people. But that's not really like I appreciate their effort, but I don't know if that's
just an official official survey. So is your conclusion um that you don't think that many teachers
have a problem with the other thing? I I think that this has been an ongoing problem, as Mrs.
Calhoun has said. But it may

[01:43:30–01:44:00]
for example, the books is a good example. That may have been an issue for a long time, and then you
know, people started bringing it up more, and then it becomes more of an issue. Just like this
teacher planning time. I've been on the board seven years. I never heard people complaining about it
like this until just recently. But that's it's it's not it's not that it wasn't there, it's just
that it wasn't brought up at that time. Well, we we know that teachers and this is we're not gonna
solve this exactly, but teachers work a lot of hours at home and and they burn out and they're get
frustrated, and if we can do something to help",1,0.32899798185987816,0
RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings,95,RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings.csv,3:10:00,3:12:00,"[03:10:00–03:10:30]
I think we should not have it in our budget. Be closer to a balanced budget. And then again, what
I've seen our administration do is when there is money left over. 2019, I believe it was, we got a
late uh insurance payment. Maybe in 2020 it came in from Harvey or somewhere along those lines. And
we ended up doing a return to school August bonus. Oh sorry, not bonus, a one-time lump sum payment.
Uh and we did a

[03:10:30–03:11:00]
uh end-of-the-year payment because anytime those dollars have been there and it has been financially
responsible, our district, uh our financial office, this board has a history of doing the right
thing with that money, not just sitting it popping it in the bank account. We we wisely look at it
and and say, what is this best use for? Is our fund balance growing? Are we are we hitting those
buckets that allow us next time uh we run into some type of hyperinflation, we're able to run that
the way we have been.

[03:11:00–03:11:30]
Right? Because we've made wise decisions in the past, it's allowed us these past three years to
operate in a healthy way that we haven't had to add to fund balance, that we haven't had to make all
these super tough decisions. We we've made some tough decisions, but we haven't had to shut schools
down. Right? And so that that's why I would be uh in support of as it's written. Um but as we're
looking at that, unless anybody else has anything to add, Mr. President, Ms. Gazilla? Thank you. Um
so but as Mr. Smith uh presented last week, our projection.

[03:11:30–03:12:00]
Our projected fund balance as a percentage of expenses is less than the last two years, less than
the last two budgets. Okay, it's it's 27%. So it's it's gone down. Great. So we're in a really good
position. Of expenses. Excuse me. Am I looking at this correctly? Um balance. Yeah. The fund balance
as percent of expenses was 35.6%.",1,0.3237751528710365,0
RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings,10,RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings.csv,0:20:00,0:22:00,"[20:00–20:30]
party when I read 40 books. I learned that I like fantasy books and poetry books through the 40 book
challenge. This year I'm on the name that book team for my school. My librarian and my teacher
taught me how to do reset research and site references. This summer I saw pictures of the school
library at SQ before it had books on the shelf and looked like my library at Harvard. Then H ISD
closed the library there.

[20:30–21:00]
There and at 27 other schools. Now the library at ASCU looks sad. Kids have to go there to do extra
work, teams. It isn't fair that some kids in HISD don't have a library at school. According to the
National Center for Education Statistics, more than 50 years of research across more than 60 studies
show that students with access to read well resourced school libraries.

[21:30–22:00]
With certified librarians, perform better academically. If you want students to improve
academically, please put libraries and librarians back into the schools that you took them out of.
Books and libraries are important for kids. It's not a library if it doesn't have a library. It's
just a room with books. Thank you. Thank you, Pearson. Rose Walter, please. William Rigley.",1,0.3162251630942933,0
RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings,81,RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings.csv,2:42:00,2:44:00,"[02:42:30–02:43:00]
Years. Is that do you find that about accurate? Is that correct? Well actually there was a fine arts
review last year. Right. And some of those stipends were adjusted. I don't have all that with me
tonight, but I can get that for you. Okay, because that seems ought you know, that's something we
need to address if that's the case. Uh perhaps certain fine arts stipend changed last year, but
maybe not the ones that needed to or just wanted to provide that. Then the um athletic stipends we
didn't really talk about stipends last week. Um I know you you presented them, Mr. Shush.

[02:43:00–02:43:30]
thank you for that. But we as a board didn't really talk about them. And I was able to talk to a few
coaches before this meeting tonight. And just overall, you know, before I say all this, I want to
say that I love my great state of Texas. I'm a sixth generation Texan. My my dad played football at
AM, so I I know what Texas football is and I appreciate it. But these stipends that we are
presenting, all assistant for this is one data point. The assistant coaches of all non-football

[02:43:30–02:44:00]
sports make less than the football assistant coaches. Okay. So let's let's come up with an example
that's fairly fair, I think. The volleyball season is very similar to the length of the football
season, right? But the the volleyball assistant coach per stipend, his or her stipend, is uh less
than half of the football varsity first assistant coach. It's uh it's less than any football
assistant coach.",1,0.315294732584136,0
RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings,13,RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings.csv,0:26:00,0:28:00,"[26:00–26:30]
with companies like Inframark. This new exciting opportunity is geared towards supporting community
by ensuring clean water is available. The communications department has prepared a promotional video
for you guys right now. ISD's water operations licensing program takes you through the fundamentals
of career opportunities in clean water. Certified professionals keep water systems running safely
and efficiently. Hands on training and mentorship from industry experts offers career ready you can
put to work right away. Guided by professionals, you'll gain a

[26:30–27:00]
real world understanding of water solutions. Jumpstart your career with KDISD's water operations
licensing program now enrolling. Find out more at KDISD.org, Dr. Grooms. Our dual credit real estate
license program was new this past year. This program is a two year requirement that culminates in a
practicum course where students work directly with industry experts at real estate offices to learn
the real

[27:00–27:30]
world implications of the coursework they have completed over the past year and a half. In just our
first year, we had over 20 students successfully complete the first year, and over 80 students are
currently signed up to start this coming fall. Students, after setisfying all course requirements,
will be eligible to take their state real estate license test and become a real estate agent in the
state of Texas. I am proud to say that Raines Academy is a place where lives are transformed to
support in a hybrid setting higher education, certifications, and real world experiences.

[27:30–28:00]
We work tirelessly to build capacity with our students to reach a future that wasn't always within
their grasp. As Art Williams once said, I'm not telling you it's going to be easy, I'm telling you
it's going to be worth it. So here we have a graduate from every high school we've supported since
we have opened. I'm open to any questions you guys may have. Thank you, Mr. Mayerman. Board, are
there any questions? I have a question. Ms. Kalkin? Specific to",1,0.30643647153783826,0
RELABEL_Katy_ISD-2025-04-22-Board_Meetings - Katy_ISD-2025-04-22-Board_Meetings,38,RELABEL_Katy_ISD-2025-04-22-Board_Meetings - Katy_ISD-2025-04-22-Board_Meetings.csv,1:18:00,1:20:00,"[01:18:00–01:18:30]
this discussion, but we made it very clear from the dais on the workshop the night of the workshop
that we were going to be focusing at this time on elementary. I made it very clear and I think the
board agreed, so I don't know w why that's a why that's news to you, but it you know that's how it
happened. And then there are 46 elementaries and you chose two teachers. And principals out of
seventy out of 46. We tried to make it we tried to choose teachers that have spoken at board
meetings. That's what that and that's who we met with outside.

[01:18:30–01:19:00]
Mr. Perez and I, people that teachers that have come forward and said that hey, I have a problem, we
need help. That's who from the um public comment um sign in. That's their all of their contact
information is there. So that's how we set up this meeting. And there were more than you read them
and say we want to talk more about what you talked about. Right, right. Because they came to the us
and said this is our community and our community is speaking. And so we wanted to let them we wanted
to know more about what they wanted to see, what their problems.

[01:19:00–01:19:30]
Wanted to s what their problems were. So that's all. And then we only had two at the our April fifth
eighth meeting because we didn't have we needed to be. We already met with others and guessed
information. And we wanted to be constructive. Did you want? Did you bring that information? Yes, we
did. We met we brought it to the workshop and we brought it to the April 8th meeting. Yes. And and
you know, it was uh uh my understanding is that the that meeting the the effort was to come up with
a representative like, for example, a couple of elementary principals, a couple of teachers.

[01:19:30–01:20:00]
I think you had great great. Not a meeting with 80 people, but uh you know, ten people or whatever.
Two. Two two teachers and two principals, and they both uh both principals sound like they have
amazing ideas. I I think the report sounds good. It just is very odd to me that when you gather
input from stakeholders, you hand select very small percentage, a very small amount. You did fifty
teachers for the teacher retention survey, fifty to sixty, and",1,0.2949129963436642,0
