transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL NEW_Copy of Spring_Branch_ISD-2025-05-05-Special_Board_Meeting - NEW_Copy of Spring_Branch_ISD-2025-05-05-Special_Board_Meeting,7,RELABEL NEW_Copy of Spring_Branch_ISD-2025-05-05-Special_Board_Meeting - NEW_Copy of Spring_Branch_ISD-2025-05-05-Special_Board_Meeting.csv,0:14:00,0:16:00,"[14:00–14:30]
Secondly, this district has claimed that we were in a fiscal crisis as of last year. This rationale
was the basis for closing six schools on the north side, terminating every librarian position in the
district, and defunding the gifted and talented program, which ultimately required parental funding
to continue. In light of the district's financial crisis and the financial risks rooted in vouchers
passing, as well as your responsibility to wisely use our tax dollars, I ask you to do your job and
adhere to this ruling.

[14:30–15:00]
This is your job. You all campaigned as conservatives. I expect you to be fiscally responsible and
not waste my tax dollars frivolously. Thank you. Gabriel Fuller. Juan Jose Reyes.

[15:00–15:30]
Juan José Reyes, 13910 Miralia Drive, Houston, Texas, 777079. I strongly oppose any decision by the
SBISD Board of Justice to appeal the federal court ruling that found the district's a large election
system violated the Voting Rights Act. This decision confirms what many of us in the community have
seen for years a system that fails to represent the full diversity of our district, especially the
voices of Hispanic families living north of ITE. The court ruling is not just about voting, it's
about fairness, accountability.

[15:30–16:00]
and ensuring that every student and family has a seat at the table. Choosing to appeal this decision
sends the wrong message. The board would rather preserve a flood system than make room for new
voices and fairer representation. I believe public education works best when it reflects the needs
of the entire community, not just the select few. We can claim to support equity in our classrooms
if we ignore ignore inequity on how we choose our leaders.",1,0.4869116356493193,0
RELABEL_Chunk_Katy_ISD-2025-03-20-Special_Board_Meeting - Chunk_Katy_ISD-2025-03-20-Special_Board_Meeting,22,RELABEL_Chunk_Katy_ISD-2025-03-20-Special_Board_Meeting - Chunk_Katy_ISD-2025-03-20-Special_Board_Meeting.csv,0:44:00,0:46:00,"[44:00–44:30]
educational strategies, and whether lessons are tailored to meet the needs of diverse learners.
Teachers are expected to use student data to inform their instruction and to demonstrate a deep
understanding of student needs and effective teaching methods to ensure high levels of learning and
achievement. Lesson activities should engage students and foster higher order thinking. As you are
already aware, teaching is an immensely challenging profession, and we are fortunate to have
teachers in KDIC who value and excel at the work that they do. Mrs. Harper is now going to address
these elements and how.

[44:30–45:00]
they connect to the teacher job description in KDISD. Good evening. I'm Kristen Harper, one of the
three assistant superintendents who support elementary campuses. I have 33 years of experience in
education, including several years as a teacher in a Title I district and 15 years as a campus
principal, both at the elementary and secondary levels. In reviewing the KDISD job description for
teachers, it is evident that planning and preparation are fundamental to both the teacher's success
and

[45:00–45:30]
And more importantly, the success of their students. As outlined in the job description, the core
mission of the teacher's role is to provide students with appropriate learning activities and
experiences that enable them to reach their full potential. As Dr. Coffey mentioned, one of the key
tasks teachers engage in during their planning time is preparing for instruction. The job
description emphasizes that teachers are expected to implement lesson plans that are aligned with
the district curriculum and adhere to the guidelines set by the Texas Education Agency. This
highlights the importance of collaborating.

[45:30–46:00]
Importance of collaborative teamwork among grade level content area teams as they review the KDISD
unit plans and assess the most effective resources and activities to achieve the desired learning
outcomes. Collaboration with special education teachers and other staff members is also crucial.
Teachers must ensure that modifications and accommodations are utilized appropriately to meet the
individual needs of their students. Another important responsibility as described in the KDISD
teacher job description is the continued.",1,0.4805044688406616,0
RELABEL_Chunk_Katy_ISD-2025-07-28-Board_Meetings - Chunk_Katy_ISD-2025-07-28-Board_Meetings,88,RELABEL_Chunk_Katy_ISD-2025-07-28-Board_Meetings - Chunk_Katy_ISD-2025-07-28-Board_Meetings.csv,2:56:00,2:58:00,"[02:56:00–02:56:30]
And the the scores are dumb, the whole process. That's my interpretation, not anyone else's, but
it's just how they all calculate all that. It's a moving target. It's like moving the goalpost while
the ball's in the air, right? Yeah, and it's almost like um you always think like if Katie is a B,
it's like telling your valedictorian they need to be in remedial classes or something. You know,
it's like really? Uh doesn't make a lot of sense. So I kind of agree with you. It's it's a
frustrating system. Thank you, Mr. Cross. And so we did talk about uh so the

[02:56:30–02:57:00]
The Incredibles send us a one-page quarterly summary and it has links that we can each of us can
have access to and we can click on to get all the way drilled down to every document, every data
that you want. District assessments, the dual credit data report, and how many of our children are
really involved in CTE courses in the dual credit and how many are accomplishing at such a high
level. All of that continues to go up. Special ed data report, House Bill 3 early.

[02:57:00–02:57:30]
House Bill Three, Early Childhood Literacy, Academic Focus Udate, and a spotlight on our summer
programs. And it it it just is the time flies by and there's always more you want to know and yet
your brain is too full. So um that's what we do. And then uh policy committee will be meeting
sometime between now and the next board meeting. Uh board, one of those policies we're gonna look at
was is gonna be CW local. Uh was gonna look at we were gonna look at tonight, but we decided to put
it off until we could talk about it on the committee. Uh

[02:57:30–02:58:00]
So if you have any of those anything outside of what was said in the last board meeting that you
would like done with that committee uh with that policy, please uh send that over, uh send it to Dr.
Rowerski. Uh and you can make sure we have all the information. Uh and then 10.2 recap of board
members' request for information. Madam Secretary, we have a capture any requests for tonight. I
didn't hear anything. Did John have any requests for any more requests, or was everything answered?
All right.",1,0.4800902992297316,0
RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting,94,RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting.csv,3:08:00,3:10:00,"[03:08:30–03:09:00]
Or 1,700 teachers in that bucket, 2500 times that goes into this bucket. That total is $38 million
for us. And then we spread it the way we want to spread it. If we want to increase new teacher
salaries by $5,000, we could. But you know, probably not gonna do that. Moving on. All right. Um so
let me let me stop the slides and then show you the spreadsheet, and then we'll be done.

[03:09:00–03:09:30]
Well, I will be done, but I'm not sure what I'm saying.

[03:09:30–03:10:00]
And our assumptions to get a pretty good idea of what the revenue side will be, and even a better
idea of what the expenditure side could be. And um that this is not the budget. This is the
assumptions. And the one thing both Jim and I will say, and Jim more more than anybody, and pretty
soon he will he will say something. Right now is just eye candy. But um for y'all. Okay, you will at
least you",1,0.4588426596366027,0
RELABEL_Houston_ISD-2025-01-16-Board_Meetings - Houston_ISD-2025-01-16-Board_Meetings,47,RELABEL_Houston_ISD-2025-01-16-Board_Meetings - Houston_ISD-2025-01-16-Board_Meetings.csv,1:34:00,1:36:00,"[01:34:00–01:34:30]
Who we're going to meet with, and we get on all you board members' calendars. I think you have the
next one. I think this is my last one. So, um, as it relates to progress monitoring and feedback
meetings, so our goals here are again to share the overview of what happened last year, 23 24 school
year. Um, we want to educate the community on the board's role. Uh, we want to share data on the
progress and then gather community feedback and questions. And these are great ways to um really
talk to the community and and talk to them about how we slice and dice the data, we look at sub.

[01:34:30–01:35:00]
Data, we look at subgroups, we look at lots of different schools across the board, and it's a really
surgical way to see how the changes are improving student outcomes. Again, here's some call-outs of
organizations that have been represented. I mentioned a few of them. Some of them Children at Risk
Ed Trust, Good Reason Houston, Harris County, Urban League, Houston Health Department, Hispanic
Chamber of Commerce, Jewish Federation of Greater Houston, the Social Justice Learning Institute,
Teach for America, Latinos for Education, my brother's keeper, the citywide coalition, the parent-
teacher collaborative.

[01:35:00–01:35:30]
Teacher Collaborative, the Mayor's Hispanic Advisory Council Council, Discovering You and again
Westbury Area Improvement Corporation. Thank you. And before I get started, I want to thank uh Becca
and Ashlyn, who uh I don't know if Becca's here today, but uh thank you to them uh for helping us
out through this process. Uh next step, so student family connection. So one of the things that we
wanted to ensure that we had was as Cassandra mentioned, dialogue, um, authentic dialogue where we
had two-way conversations about uh you know uh their personal experiences or the students'
experiences, but then misconceptions and misperceptions. So

[01:35:30–01:36:00]
So it's all of that. So during the spring of 2024, with regard to the student engagement, I think
there was a report either in June, I think of last year. So as we mentioned, we had breakfast, we
had walk-in talks, and um, and as Cassandra mentioned, this isn't with with just uh parents in the
fluent communities. You you um want us to visit with you. There's the invitation any community
member can can send us an email. Uh and of course we have requested uh",1,0.45080135403699123,0
RELABEL Chunk_Spring_Branch_ISD-2024-12-13-Special_Board_Meetings - Chunk_Spring_Branch_ISD-2024-12-13-Special_Board_Meetings,47,RELABEL Chunk_Spring_Branch_ISD-2024-12-13-Special_Board_Meetings - Chunk_Spring_Branch_ISD-2024-12-13-Special_Board_Meetings.csv,1:34:00,1:36:00,"[01:34:00–01:34:30]
in in Texas is that people parents are encouraged to look elsewhere. Teachers are thinking I need to
be elsewhere if the classroom is not orderly. Safe is you just make an assumption that it's safe.
But I think this business with with teachers leaving and parents leaving is is only addressed
through pretty firm action in chapter 37. And some people have said well Mike are you saying zero
tolerance and I'm saying the

[01:34:30–01:35:00]
And I'm saying because they don't like that word. A lot of people don't like zero tolerance. And I'm
saying, well, I'm saying pretty close. Because if you're if you're not if you're going to permit
teacher in Corsicana, Texas, the first week of school this year got her eye put out by a thrown
chair by a student. Thirty teachers in DeSota High School walked out of school last year because of
lack of control, lack of discipline. Since school started this year, Denton ISD has said seventy two
incidences between a teacher fiscal.

[01:35:00–01:35:30]
Fiscal between a ph a teacher and a student. Garland has had 127. I don't know if y'all are in that
survey that was done or not, but it was it was pretty compelling. I had a visit with um, I'll just I
had a we had a visit with with the chief of staff for the speaker of the house about this subject.
Um it was a very good meeting. And it was it was to help get understanding of of this problem that
that

[01:35:30–01:36:00]
That the schools you're if you're gonna compete with people who are getting vouchers, if you're
gonna compete with private schools, charter schools, whatever, and they can do things you can't do,
you know who's you know who you're gonna be educating, don't you? You're gonna be educating who the
others can't or won't. And I just think what John, you're you're right on if you if you gotta
recognize we we're okay competing. I think you're okay competing. You're superintendent or okay
competing. But if you say you've got to take kids that",1,0.44274686445191125,0
RELABEL_Chunk_Katy_ISD-2025-07-28-Board_Meetings - Chunk_Katy_ISD-2025-07-28-Board_Meetings,18,RELABEL_Chunk_Katy_ISD-2025-07-28-Board_Meetings - Chunk_Katy_ISD-2025-07-28-Board_Meetings.csv,0:36:00,0:38:00,"[36:00–36:30]
just as a simple look at it, 89% of the spend that comes out of the general fund it goes to salary
and benefits. Eighty-nine percent. So we do a whole lot of work uh for the eleven percent uh that of
non payroll. And for example, uh Mr. Veerling, we uh the utility budget, we're adding two new
schools, and the type of things that Mr. Uh Fuchs and and uh Mr. Veerling are doing with our
utilities, budget the utility budget didn't have to rise. We were able to add those two new schools
through reductions that we were saving in kilowatt hours.

[36:30–37:00]
And those are just that's one example of many that what this district's administration is trying to
do to keep that blue section under control, especially in the time of unknowns with tariffs and
inflation. A little bit more detailed really it's only there to show you how that other that uh blue
piece of the pie uh is divided in service and utilities. Uh it's the larger portion of that. That's
that is utilities by and large is the largest portion of that. Utilities is our second largest item
in the budget. Then you would slip

[37:00–37:30]
over to the supplies and materials. That's not school supplies. That's probably fuel for buses is
probably number three. Software also is is up there. It's a software has become a very large portion
of our budget. Food service fund. And I want to go back and and and and uh and make a one comment
about those values that we received. Again the CADS are required to send that to us uh by law uh on
July the twenty-fifth.

[37:30–38:00]
25th. We received them on Thursday, the 24th, and after five o'clock on the 25th, we got we got one
of the CADs. Two hours ago, and we were in this meeting, and uh we got word from one of the CADs
that there's already a mistake and they're sending us reinformation. And that kind of upsets me
because uh Kayla Smith and Jamie Hines spent a large portion of their weekend trying to run these
numbers through, and we find out right before this that that there's an error in one of the CADs.
They always change. There's no way that a week from now, those numbers",1,0.4418043141036857,0
RELABEL_Houston_ISD-2025-01-16-Board_Meetings - Houston_ISD-2025-01-16-Board_Meetings,32,RELABEL_Houston_ISD-2025-01-16-Board_Meetings - Houston_ISD-2025-01-16-Board_Meetings.csv,1:04:00,1:06:00,"[01:04:30–01:05:00]
That I would be able to follow that dream because I am their mother. And I was sure that I would not
fail them the way the adults in my life failed me. I didn't count on you adults. I have another
dream now, though. I have a new dream that parents, moms, dads, students, teachers, and everyone
stand together against this common enemy that we have you. Thank you. Our next speaker is Darcy
LaRoda.

[01:05:00–01:05:30]
All right. The United States spends the most on healthcare, yet produces some of the worst results.
Therefore, it's unsettling that Mike Miles features our inefficient, mostly privatized healthcare
system as a model for public education. Review the data regarding pay-for-performance programs in
hospitals. You'll see that they have mixed success rates, with key studies showing minor and only
short-term improvements. Miles' analogy, teachers are like surgeons, is also off the mark. Teachers
are like nurses. They're both frontline workers, helping people directly.

[01:05:30–01:06:00]
They're both problem solvers who adapt their approaches to meet others where they are, and both do
hard jobs under tremendous pressure for not enough pay. Additionally, in our healthcare system, the
insurance companies control the purse strings, dictate what treatments are performed, and greatly
impact how clinicians work and patient outcomes. It's obvious that Superintendent Miles is more like
a health insurance CEO. Useless and despised by everyone.",1,0.4234209806666086,0
RELABEL_Chunk_Katy_ISD-2025-07-28-Board_Meetings - Chunk_Katy_ISD-2025-07-28-Board_Meetings,23,RELABEL_Chunk_Katy_ISD-2025-07-28-Board_Meetings - Chunk_Katy_ISD-2025-07-28-Board_Meetings.csv,0:46:00,0:48:00,"[46:00–46:30]
uh Office of Management Budget were withholding six billion dollars nationally. That was six hundred
and ninety million dollars ish for the state of Texas or about six million dollars to KDISD. Um kind
of weird all those sixes there. Um but there was optimism that they would back off of that since
those month funds were appropriated by an act of Congress and those have, we found out Friday, been
introduced back in. So that helps our Title II, Title III, Title IV grants. We we had a plan to to
to work off of those. Again we have carry forward which is kind of like fund balance

[47:00–47:30]
But that's gonna continue for this next year. And uh the man the district ma administration between
now and then will try to come up with another plan because it's probably not gonna be added back
this time next year. And so this time next year we may be in a position where we thought we'd be
where we w where we were last week. But that gives those programs to those the us as management to
try to figure out the smallest impact to those children in those programs that that those reductions
are gonna make. So we have we

[47:30–48:00]
got we got a whole year of of planning back. And then of course uh you're gonna see a big uh hit to
our SHARS funding. Uh is that gonna get hit again? I don't know. But it's been hit twelve million
dollars over the last two years and uh it this budget is reflective of that reduction in our general
fund. There's our uh timeline from this point forward. Tonight is Monday the July the twenty eighth
where you're getting your update. Uh you're gonna approve uh the ability for me to publish the
notice in the paper.",1,0.4180124830146786,0
RELABEL_Houston_ISD-2025-03-20-Board_Meetings - Houston_ISD-2025-03-20-Board_Meetings,14,RELABEL_Houston_ISD-2025-03-20-Board_Meetings - Houston_ISD-2025-03-20-Board_Meetings.csv,0:28:00,0:30:00,"[28:00–28:30]
teachers' faces and heard it through our children's experiences. My daughter has spoken to me of the
constant interruptions from administration and the worry that the students experience for their
teachers. Her teacher, Mr. Fernandez, has become the collateral damage of Dr. Saladon's poor
management skills. I implore you all to learn more about the history of Mr. Fernandez's excellent
teaching career and the s and the circumstances of this year with Dr. Saladon that brought him to no
longer be my daughter's teacher. I beg of you to complete a thorough investigation, which I have no
doubt that you will see he should still be in the classroom educating our children. Teacher
attention in schools across the nation is already a most difficult task.

[28:30–29:00]
and what we have seen in HISD in the past two years around teacher retention is grotesque. You all
have the power to help salvage my daughter's school year and a most important. Thank you. Our next
speaker is Dr. Denise Wilburne. Dr. Wilburne. Page eight of the TES guidebook, page 32 32 of the
agenda packet.

[29:00–29:30]
Research has shown that on the spot coaching, also known as in the moment coaching, can be highly
effective in improving teacher practices and student outcomes. From the same referenced and cited
research of Kraft, Blazer and Hogan's meta analysis of 60 studies revised in 2017. One, although
these findings affirm the potential of coaching as a development tool, further analysis illustrates
the challenges of taking coaching programs to scale with maintaining effectiveness.",1,0.4122090558353974,0
