transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings,114,RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings.csv,3:48:00,3:50:00,"[03:48:00–03:48:30]
is we think if we build it they will come. I've seen so many schools, or not just in HIC, I'm
talking about in our profession, where the kids are struggling, they're way behind in proficiency or
the whole community as a whole. There there are some GT kids that you know there's everywhere. Um
and they think if you build an IB program or turn it into an AP, offer AP classes, uh the that will
bring up the achievement. That generally does not work. Um and so one of the reasons

[03:48:30–03:49:00]
probably, and again, this preceded me, and uh and I didn't ask for for Fondrin to come today uh or
to bring the their proposal. Uh one of the things that that concerns me is if if it continues, will
the will the kids come, number one. Um they had they haven't since 2021. Uh so that's way, way
before NES. And uh even if it if we were to continue.

[03:49:00–03:49:30]
it, is the right is it the right program for kids who are that far behind? And Fondrin is that far
behind academically. So those are also things that to consider. It would be great if it was a
successful IB program. We're if if there are kids we we can pay for it, which we we do with other
schools. But that's a that's a that's something to consider and I think that's what the principal is
considering also. Principal Jackson a couple questions.

[03:49:30–03:50:00]
In your current school action plan, um, as written and and and what your team is working on now, is
there any um thread or plan for IB in the existing plan that you are working right now with your
staff? No, ma'am, it is not. Um, again, like I said, IB has not been fully functioning for several
years. Um, we do not have any IB certified teachers, so that would come with a cost. However, what
we are focused on is high quality instruction every single day, and so that's what we're building
our teacher capacity on. So then my question is um",0,0.7850104294477319,1
RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings,133,RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings.csv,4:26:00,4:28:00,"[04:26:00–04:26:30]
lieu of nine so we don't take away three million dollars from the necessary nine million dollar
expense or is it in addition to? That amount um on the proposal for the agenda item is to not exceed
that amount for five years, so that our contribution for travel would be up to nine million, not
that it is going to be nine million. And I can't give you the cost without selecting an agency and
letting them letting us know what that cost will be. But we did propose, like we we to their point
to make sure we're not saying, hey, we want to spend up this much for a student to travel, we make
them tell us what that amount will be. Okay.

[04:26:30–04:27:00]
Okay. I'm just trying to again understand the three million dollars that HI the foundation hopefully
will contribute. So are we saying we're going to spend three million dollars plus on DIA travel a
year? Because that's a c their contribution this year. We're going to ask them for three million
dollars every year plus the RFP amount, the annual. I can only make that call better after the we
have the number of students who who are going, as well as the agency and the cost of the agency. But
it wouldn't be no greater than nine million on the HIST part. Okay. And then I'll ask one last
question, because everything we do has to improve student outcomes. Superintendent, how will this
improve student outcomes?

[04:27:00–04:27:30]
So the the goal for our our students is to uh close the achievement gap, raise the proficiency in
reading, writing, math science, and the other star exams so we get out of DNF status and prepare
kids for a year 2035 environment. Um people talk about fun. We could have that as an outcome too,
because travel is certainly fun. But the more important goal for the travel is gaining perspective.

[04:27:30–04:28:00]
on a broader world and workplace that that our students will have. Um many of our students who
engage in this travel through the Diet program have not been on a plane, do not have passports, and
things like that. And this is just a great opportunity for them to gain gain that perspective. Thank
you. Any more comments or questions? Having none, please vote on the motion to approve item six
approval for vendor awards for purchases, which cost one million or more. We uh excuse me.",0,0.7690229891502597,1
RELABEL_Houston_ISD-2025-08-14-Board_Meetings - Chunk_Houston_ISD-2025-08-14-Board_Meetings,35,RELABEL_Houston_ISD-2025-08-14-Board_Meetings - Chunk_Houston_ISD-2025-08-14-Board_Meetings.csv,1:10:00,1:12:00,"[01:10:00–01:10:30]
understanding in curriculum. This is again that continued focus to help a student understand the why
behind the math as opposed to just the procedure behind the math, which is really important,
especially to your question earlier about around future grades. So if they don't, if you aren't also
building that conceptual understanding as math gets more difficult in future grades, they could
struggle. So again, we have to focus on both here. I have a question.

[01:10:30–01:11:00]
Sorry. For non NES, so for non NES schools, for schools not using HISD curriculum, the strategies,
would it for a school like that, would the strategy just it would be the principal's choice of
strategy of how to how to implement on their campus? Because I some of the the strategies talk about
the curriculum, but if they're using something different, like who's in charge of making sure all
these things are happening? So for in in the PUA schools, uh we gave PUAs multiple options of
curriculum to select.

[01:11:00–01:11:30]
that we would fund centrally. So for math and reading we gave them three options and our curriculum
team did vet those options. So even prior to the start of this administration, some of the campuses
were using Eureka and Carnegie. Those are vetted and approved resources by the state. They do follow
the the thinking behind what makes you know strong math instruction in a strong math curriculum. So
for example they will also focus on building conceptual understanding and procedural understanding.
I think what we've just tried to do with HIST curriculum

[01:11:30–01:12:00]
To do with HISD curriculum is make it really easy for teachers to use. And so that's been our focus.
But there are other options for them that are still deemed by the state of Texas as high quality
resources. Thank you. Okay. Okay. And the last one to report on for today is constraint one, which
is no grow uh not allowing the number of multi year DRF campuses with a prior unacceptable rating to
grow. Mr. Miles spoke on this a little bit today, but a year ago we had 41 DNF campuses, and today.",0,0.7655717453453539,1
RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings,109,RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings.csv,3:38:00,3:40:00,"[03:38:30–03:39:00]
the African American students in the PUA schools, not the bottom 25 that we removed, but in the in
the remaining PUA schools are stronger academically. They start stronger academically. That's what
this says, because the BOI is about achievement, not about growth. So even though our African
American students grew, their achievement is still below the PUA schools and below the African
American students in the PUA schools. So I think that whole that bears out here the same.

[03:39:00–03:39:30]
um the same thing for the most part with his Hispanic students on overall achievement. As far as
will they ever catch up that the second part is is that gap gonna close? Uh I I don't know because
one of the things we want to try to do is move the students in the PUA schools up too. Now we we we
don't want to close the gap by bringing that group down. So we have to move faster in the NES
schools while still moving the PUA schools.

[03:39:30–03:40:00]
schools. And that's going to be hard, but you you notice we we did that a little bit last year. Our
A and B schools went from 93 to 170. So for the most part, you and you can see from this slide here,
those schools did go up. Did the NES go faster? Yes. So that is the way to do it, but we got to do
it several years in a row. Thank you. Any other comments or questions? Do I have a motion to accept
the board",0,0.7606075957833245,1
RELABEL_Houston_ISD-2025-08-14-Board_Meetings - Chunk_Houston_ISD-2025-08-14-Board_Meetings,30,RELABEL_Houston_ISD-2025-08-14-Board_Meetings - Chunk_Houston_ISD-2025-08-14-Board_Meetings.csv,1:00:00,1:02:00,"[01:00:00–01:00:30]
As you get more students to learn and to grow in a particular grade, that will benefit that next
grade's learning. You'll have more students again who are able to meet grade level. And to reach Mr.
Miles's goal of you know A and B campuses in three years, really that means we have to get more
students on grade level and staying on grade level for a in a in a particular course. And so that's
actually the focus. It's and that's why we report on grade level and above all of the time, because
that is actually how you achieve all A and B schools. And if

[01:00:30–01:01:00]
you're picking and supporting kids in kind of first and second and third in reading, it's really,
really critical because as you move forward into the grades, our standards don't actually focus on
as much on teaching how to read. It expects that you know how to read and you actually just now have
to comprehend. So, again, that that's another reason why we expect this to improve over time. If we
get better in these early grades, in future grades, those kids will do better. Same for math. Math
concepts build on each other often vertically from one grade to

[01:01:00–01:01:30]
another. And so if you if you do really well in one grade, the chances you do better in a future
grade are incredibly high. Can you talk about what is happening now without the bond? Yes.

[01:01:30–01:02:00]
Things there's a couple things. Um, one of the really hard things about pre-K is we don't have a way
to reach families to let them know we have high quality pre-K without really significant on the
ground work. Um, because we don't have contact with those families, we don't have their email
addresses, we don't have any way to tell them unless we invest in marketing and really going door to
door in some ways to let people know that we have a service, and for many families that that service
is free. Um and so you can have a a family with a three year old or a four year old where in order
to reach that family they have to know.",0,0.7584725052575585,1
RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings,122,RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings.csv,4:04:00,4:06:00,"[04:04:30–04:05:00]
the GT metrics that we have are from pre-K or first grade. So we have no other way to actually see
what the students, when they're coming in, um, assets where they are. And so that's why we receive
students that actually failed previously for multiple classes, and some even were retained. And we
are seeing this more and more and more. So we uh would like to have the same, uh a more current
identification showing that the students is actually ready to come into the program and the magnet
matrix is uh

[04:05:00–04:05:30]
Is sh um showing all what they did in the seventh grade on their star results, which is much current
than pre-K or first grade. Mm-hmm. So to make sure I understand it, then your your proposal is go to
the magnet matrix. Is that right? No. Well use the magnet. Yes. Use stop using the GT matrix. Use
the magnet matrix. So the GT matrix, so the stud all students in Carnegie have to be identified as
gifted and talented. Yes. So they are now using.

[04:05:30–04:06:00]
They are now usually identified, most of them are identified in HISD and they identified when
they're pre or first grade, and they change that in a few years. But it's always now during
elementary. It's gonna be second grade now. What is happening is that those students in HISD, when
they move, then they automatically they are they have a GT label and then therefore they are
eligible. And we have nothing else than that. Students that are not yet GT.",0,0.7555361014162548,1
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,43,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,1:28:00,1:30:00,"[01:28:00–01:28:30]
implemented that students can GPA exempt the third and fourth course, which those are our Miller
courses. So students are able to GPA exempt those courses. Excuse me to make sure I understood you
said the third and fourth like year of a competency you mean? So it's the third and fourth year of a
CTE program. So you kind of think of it their 11th and 12th grade. The last yeah the last those okay
good because I think it's beautiful the hands-on the the uh uh opportunities to intern as a high
school student hands-on experience

[01:28:30–01:29:00]
Experience, I'd like to attract and have a balance, right, of that high achieving academic student
to be able to get that. Um and I'm not so certain they're attracted to that yet because they're
they're in a GPA game, if you will. Hate to say that, but that's some of our students, not not all.
Okay. Thank you very much. You're welcome. Other questions. Just a quick one. Uh what makes a a um
the TA recognize certain certifications and others like we have earned and then, you know, like out
of out of six thousand, forty four hundred are

[01:29:00–01:29:30]
under our T TEA. And is that are we trying to narrow that gap where we have more TEA or how how's
that what's the goal there? Yes. So TEA they were on a a every two year they were updating that
list. A lot of it was based on lobbying and business and industry input. There were some that we
have business and industry kind of shake their head as to why those are no longer on there. But it
was those were ones where districts were I guess",0,0.7487716454194666,1
RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings,40,RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings.csv,1:20:00,1:22:00,"[01:20:00–01:20:30]
says, well, now anyone can do that. Now there will be rule setting by TEA. It will come with an
application process, and you'll have to go through all of the parameters TEA sets up, but that's
coming in the future. We're not sure what that piece would look like. But what it would look like is
exactly what uh Ms. Hack and the team have explained. We could create um something that's really
fantastic, which we could enroll people and give them a diploma virtually. We've got all the courses
already. I know it went really quick when Emily was scrolling through, but we've got uh a

[01:20:30–01:21:00]
Many courses already set up and more in the works where there's enough in there to go ahead and roll
out a virtual high school where all the courses you want are in there. We could take in-district
kids and we can take out of district kids. Any kid that comes from out of the district, uh, I
believe, um, Leslie, correct me if I'm wrong. Uh in the virtual program, it's a hundred percent ADA.
I think that's what it was. Remember, right now we get a refined ADA based on who's in the seats.
But so every kid we enroll in Texas in this kind of program, we're collecting the full ADA on that
kid.

[01:21:30–01:22:00]
And we believe we can deliver a virtual program because we've got so much in place already to which
it would be a revenue stream. If it's not, then it's probably not worth doing. But we think that
there is revenue out there we can bring in by enrolling folks in a program we have here. Mr.
President, I have a question. Is the motivation uh I think you said it, so I apologize if you need
to repeat, but the is there a true need of of space or we're looking forward, or you know, you
mentioned",0,0.7354162130756241,1
RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings,96,RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings.csv,3:12:00,3:14:00,"[03:12:00–03:12:30]
S orbit went from seven to nineteen on the um on the school progress measure on on METS in uh STAR.
So that suggests that that huge an increase, you know, there is something in, and I can explain what
that is, in the NES orbit, in the instructional model that is helping SPED students. Having said
that, uh special education, the the reason why we're um you know struggling and and

[03:13:00–03:13:30]
by the way almost all districts are struggling with special education that's that's something in our
profession uh and hardly anybody has been able to attack it like this uh with that sort of
difference it relies on two things one is great or very effective IEPs, art meetings, all the
compliance pieces, but it can't be just compliance. So our uh directors um our uh deputy chief of
special education Stacey Venton has put into place a a

[03:13:30–03:14:00]
A really strong compliance metric, but also looking at IEPs to make sure that they're effective. We
have a rubric for it, we're gauging it, TEA is monitoring also, and so we've we're improving that
document, the IEP, to make it more effective, not just checking a box. But more than that, the most
important thing is the instruction, and that goes for special education. So in our profession, we
have we are too easily walking past bed classrooms and not really.",0,0.7318912195325982,1
RELABEL_Houston_ISD-2026-01-15-Board_Meetings - NEW_Copy of Houston_ISD-2026-01-15-Board_Meetings,88,RELABEL_Houston_ISD-2026-01-15-Board_Meetings - NEW_Copy of Houston_ISD-2026-01-15-Board_Meetings.csv,2:56:00,2:58:00,"[02:56:00–02:56:30]
Um this this sets the context, but it has two parts. One is we're focused on both college readiness.
So you see the huge increase in college readiness in this district in just two years, and also
career. And we're not waiting for uh accelerate Houston, but we're already started. And this is just
amazing opportunities for our kids in both college and career, as you can see. And and this is
what's taken place in just two years. And so finally I want to thank uh

[02:56:30–02:57:00]
Uh uh Chief Hole, but also all the people, not not just Jib, but all the other people who work in
academics who are working on this, uh, and then the schools themselves that have put a lot of time
and energy in this. Uh so this is celebrating our success to date, uh, but we also want to talk
about the investment we continue to make moving forward. Uh, there's been some discussion in Mr.
Miles' presentation uh and in previous board meetings about our CTE centers. Uh and as we move
forward, what we're really committed to doing is making sure.

[02:57:00–02:57:30]
all students, 100% of students in HISD, can access high-wage, high demand programs that align to the
future of work. And so these are a set of programs that we believe that if we invest in as a
district, it really sets those students up for success. And these are the programs that we are
launching and expanding in the Barbara Jordan CTE Center. So I want to just talk about a couple of
these because at the heart of these, sometimes we talk about the data behind them. They do lead to
high wage living wage jobs, and there are a number of open jobs.

[02:57:30–02:58:00]
in the space. But what we don't always see is the experience that Barbara Jordan brings to the
students when they go there. And I'm going to give a real example. I was walking a campus a couple
weeks ago and I walked into their HVAC program. And the experience at that campus was the HVAC
program was in a typical classroom. You had a teacher teaching about HVAC, and then on the side
there were three HVAC units about two feet apart. And the students would learn some and they could
go and they could interact with the HVAC units and practice doing what they needed to do with those
units.""
89,02:58:00,03:00:00,""",0,0.7306390400805136,1
