transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings,28,RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings.csv,0:56:00,0:58:00,"[56:00–56:30]
out, I believe, in 2016. Okay. Do we know roughly what the cost of that was, what the cost savings
was by cutting that program? I mean, I know we're going back almost 10 years, so I'm not expecting
you to know that the file. I could go back into the files, but I mean that's what it was. Exactly
what Ms. Fox had said. I understand the expense of it could be um somewhat prohibitive or
burdensome, but when you look at the data, uh I think you have to look at a cost benefit analysis on
that. And again, if

[56:30–57:00]
we're doing this in the name of equity, then how are we doing that? Because there's a dis there's an
obvious distinct advantage after a certain point. I understand the barrier to entry might be a
little high if you're not a native English speaker, but after you clear that hurdle, the advantages
far outweigh the rest of the disadvantages. So I just want to kind of have a cost benefit analysis
of what that looks like to provide that to all of our students whose families would.

[57:00–57:30]
really want to take advantage of that because we've noticed that the emergent bilingual students are
actually in general education. So these aren't AP students. These are they're just learning at the
same there, you can be an AP student, but they're learning at the same rate in general ACA classes
that our English students are. Mrs. Calhoun, I might also add the dual language was very exclusive.
There was only uh there we didn't have we had it at two schools, and you must

[57:30–58:00]
enter as a kindergartner. You must enter as a kindergartner, then you can go all the way through
fifth grade. And the children stayed in two or three years and then they all dropped off. But we had
to keep for the ones who were still there, we had to keep uh bilingual teachers available to teach
every subject all the way through fifth grade. That's how it became so expensive because once
children could speak both languages, that's all the parents wanted, and they pulled their children
out. And so it we didn't know how to prepare how many were going to be there. It was just very
expensive and very exclusive. People who wanted in the",0,0.8852702476359104,1
RELABEL_Houston_ISD-2024-09-12-Board_Meetings - Houston_ISD-2024-09-12-Board_Meetings,88,RELABEL_Houston_ISD-2024-09-12-Board_Meetings - Houston_ISD-2024-09-12-Board_Meetings.csv,2:56:00,2:58:00,"[02:56:00–02:56:30]
for our students who are behind, especially in ninth and tenth grade, which is critical given that
this test occurs in 11th grade. So that's another way in which we're catching up the students who
are behind. Yeah, and if I can add, so we were really happy that our math scores on the STAR
increased pretty significantly this year. And one component of that was we also really had a good
focus on ZERN as an additional supplemental intervention besides the NAS model. And those early.

[02:56:30–02:57:00]
grades will will build so that when we get to 11th grade, we'll we'll do much better. Just following
on that to better understand maybe something I think was asked before, what else can we do for our
students that are already like ready to exit the system? And so they're not they're not at that
level of achievement yet. Um we we want to give them more. Um what other opportunities or maybe what
other asks do we have of our community around things that we can help in addition to that? Um
anything there you could speak to?

[02:57:00–02:57:30]
to elaborate there? Um well the I think the the district wide strategy is ensure full access and
preparation for the SAT because it is we have invested in ensuring all kids can sit for that that
test. We pay for that test for everyone, um, and we actually are moving, uh we we're gonna take that
test at the very end of April uh this year, and that and historically we've taken it in early March.
So we're even gonna give our kids a little bit more time to prepare. Um and so all kids should get
access to SAT preparation and support, but I think.

[02:57:30–02:58:00]
the point here is we don't want to give up on the kids who don't meet the threshold after they take
it in the SAT. So we do a number of things in 12th grade. Um they take the TSI specific College
Bridge course, which specifically focuses on helping them support TSI. Um, and then after they take
the course and complete it, they can sit for this uh assessment again. Uh, and and they can take the
TSI 2.0, which is the Texas version of the SAT. It's faster, it's easier for them to take. We can
offer it a lot more. Uh and so they can we can focus on taking um.",0,0.8612673735379647,1
RELABEL_NEW_Copy of Katy_ISD-2025-10-27-Board_Meetings - NEW_Copy of Katy_ISD-2025-10-27-Board_Meetings,57,RELABEL_NEW_Copy of Katy_ISD-2025-10-27-Board_Meetings - NEW_Copy of Katy_ISD-2025-10-27-Board_Meetings.csv,1:54:00,1:56:00,"[01:54:00–01:54:30]
for payroll withholdings, contributions, and has fulfilled any payroll related obligations required
by the district. And yes, the district has fulfilled all of these obligations. Indicator 5 was re-
implemented last year after five years of not being scored. There were a few adjustments made, and
it was reimplemented to account for changes implemented by GASBE or Governmental Accounting
Standards Board regarding pension liabilities. This indicator, this is a long one.

[01:54:30–01:55:00]
Confirms that the district has a positive net position. And yes, the district passed this indicator.
Indicator 6 measures the percentage and change in fund balance to see whether or not the fund
balance is declining too quickly, and if it is declining, whether the sufficient fund balance
remains to operate for at least 75 days. The district's average change in fund balance over three
years was a 6.7% increase because of our growing enrollment, and there was not a decrease.

[01:55:30–01:56:00]
And because it was an increase, the district automatically passes this indicator. Indicator 7
measures how long in days after the end of the fiscal year the district could have dispersed funds
for its operating expenditures without receiving any new revenues. KDISD scored the maximum 10
points for exceeding 90 days of cash on hand. In fact, Katie had 131 days of cash on hand as of
August 31st, 2024.",0,0.8236642500226722,1
RELABEL_Chunk_Spring_Branch_ISD-2025-10-27-Board_Meetings - Chunk_Spring_Branch_ISD-2025-10-27-Board_Meetings,15,RELABEL_Chunk_Spring_Branch_ISD-2025-10-27-Board_Meetings - Chunk_Spring_Branch_ISD-2025-10-27-Board_Meetings.csv,0:30:00,0:32:00,"[30:00–30:30]
TEA has us look at a three year period. And the question is over the three year period, did you see
a decline of 25% or more in your fund balance? If you did, Spring Branch did not see a 25% decline.
You see on the slide our decline over the three year measurement period was 2%. But if that did
happen, if a district was in a circumstance where they felt it was necessary or they were required
to use a significant amount of fund balance, TEA allows for that. They recognize that as a financial
management choice that can be

[30:30–31:00]
made. They do have a second measure there, and it looks at after the spend down how much fund
balance do you have left? And they said 75 days is the minimal amount of fund balance you should
have. And the district, in fact, had more than that. You see, we had 118.9 million of fund balance
at the end of the year measured versus 75 days would have been 76.5 million. So on both those
counts, I think we're clearly getting reassurance that we have a reasonable amount of fund balance
that we've maintained.

[31:00–31:30]
Can can I ask you a question real quick on that? So am I reading that right that if they don't want
to see a sharp decline in fund balance and they don't want to see it below for us it would be 77
million? Is that right? I mean the score would be lower if either of those two things were true.
Yeah, on the second item, the you know, if there is, to use your words, a sharp decline in fund
balance, their definition is more than twenty-five percent over three years. Okay. So that would be
a cumulative decline of twenty-five percent over three years. And they uh

[31:30–32:00]
to r you know they allow for that. They acknowledge that a district may be in a position to maintain
programs, other choices. You may choose to spend down fund balance. The second part of that
indicator just acknowledges that there is a point at which you have to stop spending fund balance.
And here for the purpose of first, to get the full ten points and score the highest amount possible,
they require you to maintain seventy five days. No, it it's just an interesting point that TEA has a
minimum fund balance that you ought to maintain, and yet some of our legislators use it against us.",0,0.8226302889031222,1
RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings,92,RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings.csv,3:04:00,3:06:00,"[03:04:30–03:05:00]
The budget board uh when they are looking at legislation this just January, they can say how much
they know what the student counts look like, and they can say how much a bill costs or doesn't cost.
They want that to be accurate so they don't shortchange the children of the state by everybody
sandbagging and giving their real high numbers, and then there's not it's too expensive, we can't
afford it, or not giving good enough numbers and uh and and and and it being and and then it being
more expensive than they thought it would be. And so that that they brought.

[03:05:00–03:05:30]
that down to an indicator. So we have to get that crystal ball out uh two years uh in advance, and
we have to be within seven percent. And uh that that goes back to a whole statewide thing. Okay, so
indicator seven or sixteen measures the quality quality of data reported to PEAMS and in your ACFR,
and it makes sure that the two are aligned. Um the total difference between what we reported to PEMS
and what was stated in our ACFAR was all of a couple of hundred dollars on nine hundred and fifty
million.

[03:05:30–03:06:00]
$150 million in expenditures. So and that's just a product of rounding whenever we submit it to PEM.
So we pass this indicator. Indicator 17 asks if the district's independent external auditors found
any material weaknesses in internal controls, which they have not. Indicator 18 measures whether the
district is complying with laws, rules, and regulations related to expenditures of grants, funds,
contracts, and other state and federal funds, and we pass this indicator as well.",0,0.820400623274859,1
RELABEL_Houston_ISD-2024-09-12-Board_Meetings - Houston_ISD-2024-09-12-Board_Meetings,92,RELABEL_Houston_ISD-2024-09-12-Board_Meetings - Houston_ISD-2024-09-12-Board_Meetings.csv,3:04:00,3:06:00,"[03:04:30–03:05:00]
Okay, thank thank you. I think that a lot of times at least it seems like a perception because we
have different subgroups doing different things and it has to be an either or and I and we know
that's not the case. So that's that's great to hear. Um let me see. One other question I just had
about the data on um TSI readiness in the 11th grade, and that reading and math level that's um kind
of lower than what we like. What is are these tests that the students take?

[03:05:00–03:05:30]
in the 11th grade actually 11th grade level proficiencies, or are they, you know, I'm I'm trying to
understand like what grade level do they have to be proficient at to do well on these tests? Is it
11th grade subject matter? Um the it pulls standards from across grades, but the SAT does include
standards from algebra 2, um, which is typically a course students will take in 11th grade, uh,
which is also one reason we pushed it back a little bit this year, but it doesn't exclusively cover
algebra two.

[03:05:30–03:06:00]
Algebra to. And then the SAT thresholds don't change whether you're in 10th, 11th, or 12th grade.
It's a threshold that's set for college readiness. And so for the SAT, for example, they'll set the
score threshold in reading and in math, and that won't change. You have to meet that whether you
take it 10th, 11th, 12th, you know, whatever grade, because it's a it's a college readiness
indicator. And so we really work to support, you know, it's kind of part of why we give students
multiple at baths to be to make sure everyone can take it in preparation in 10th grade, everyone can
take the actual SAT in 11th grade, and then people can still work towards TSS.",0,0.8134684454135783,1
RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings,27,RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings.csv,0:54:00,0:56:00,"[54:00–54:30]
And art and all those things. So I was a big proponent of that and was asking our superintendent,
Dr. Merrill, at that time, how can that work? And here's the answer that I was given. Based on the
rigor of the curriculum that we deliver on a daily basis, there was not time to add one more thing
to a day to do, to add a foreign language in elementary school.

[54:30–55:00]
School. So it's just there's so much packed into every day in order to reach the incredible success
that KDI CD has. And so children who come not knowing English have to have English to succeed in our
school system. Children who speak English get to take a second language starting seventh grade,
eighth grade, and going. And so my children waited and they took it then and they had a foundation
that they were able to build on. But I too was like that. We had a dual language program for a
while.

[55:30–56:00]
While it was quite expensive, and to continue that became financially a hardship for the district.
So we phased it out. So that's I don't know if that answers your question. So we did offer a dual
language program. For how long did we offer that? Rosie, do you remember how long we offered it? It
was, I would say we started it in kinder first, went all the way through, I would say seven, maybe
seven years. And then it was phased out. And then what year was that phased out? 2000, and we
started phasing it.",0,0.8016141853947708,1
RELABEL_Houston_ISD-2024-09-12-Board_Meetings - Houston_ISD-2024-09-12-Board_Meetings,114,RELABEL_Houston_ISD-2024-09-12-Board_Meetings - Houston_ISD-2024-09-12-Board_Meetings.csv,3:48:00,3:50:00,"[03:48:00–03:48:30]
The options are the options are sort of driven in part by what our students at these schools are
capable of based on tests and and the way that we measure what they would be able to do, right? Um
but at the same time, um our DNF campuses we're providing resources and and and and support so that
I again I want to make sure I understand it like what are they getting access to that's that's
letting them earn the point. Maybe I need an example um to to better understand it. So one example.

[03:48:30–03:49:00]
so the foundational programs of study. That's in all of our comprehensive high schools, regardless
of if you're A and B or DNF, they'll have access to high quality programs of study aligned to our
career pathways. And when students participate in that program of study, they're much more likely to
obtain their industry based certification. And so that's one example of how we can ensure all
students have access to those IBC pathways. And IBC is one of the many options in which a student
can get their point.

[03:49:00–03:49:30]
The other example is access to advanced coursework, right? And so if we are doing better at ensuring
that students who are eligible for advanced coursework are enrolling in those courses, then we're
increasing access to those students. And our focus really looks at any student, regardless of what
school they're in, being identified as students who can enroll in those courses in the next grade.
So that should also help across all of our schools. Ms. Arnold? Yes.

[03:49:30–03:50:00]
Yes, um quickly in addition to the success of students and teachers, I would also like to briefly
lift up the vector of using data to drive decision making. Um we all know um it can be very
difficult to to do that. Um and it can be easier to set policies by anecdote. So I just want to
thank um the administration and celebrate the the use of data that um that we're seeing here today.
And so my my so that was a comment, but my question is that said, can we expect any changes from TEA
in the coming year or so with respect to the changing of metrics?",0,0.7935146424022753,1
RELABEL_Houston_ISD-2024-09-12-Board_Meetings - Houston_ISD-2024-09-12-Board_Meetings,115,RELABEL_Houston_ISD-2024-09-12-Board_Meetings - Houston_ISD-2024-09-12-Board_Meetings.csv,3:50:00,3:52:00,"[03:50:00–03:50:30]
or accountability standards that may impact the way in which the ratings are calculated. Of course,
study that in and out to make sure we understand the changes that are coming. Sometimes they publish
changes that are coming in the future and they roll those out over time. So that primary example is
where we've been talking about instead of

[03:51:00–03:51:30]
Um instead of just only having to sit for the IBC, you now have to take the coursework and get the
IBC. Those are things that will impact future accountability, but that they've already communicated
to us. I know they constantly evaluate their system and are looking at things, but I could not
project the future changes, I think, without just waiting for the accountability manual. That's
impacted the whole state this year.

[03:51:30–03:52:00]
Um and that's why you see the the decline in in schools across the the board and probably in uh
decrease in accountability ratings for most of the districts across the state. And then the um the
CCMR or the Couertec ed pathways, uh we have to have three years uh in order to to get an uh IBC
instead of the two years? I mean it increases one course of rigor each year. So in this past year,
in school year twenty three-24, they would have had to sit for 11.",0,0.7899272479916866,1
RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings,21,RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings.csv,0:42:00,0:44:00,"[42:30–43:00]
Literacy. In the dual language classrooms, our students are guided through cross linguistic
connections that bridge English and Spanish to continue that trajectory of bilingualism. At the
secondary level, our newly arrived immigrant students who test as non English speakers are placed in
the newcomer program for one year. The newcomer program consists of specialized English courses,
language development courses, and sheltered content courses that are designed to accelerate their
English proficiency while mastering that.

[43:00–43:30]
grade level content. Students who are at their first three years of attending US schools and are at
the intermediate proficiency of English are placed in the sheltered program. The sheltered program
provides specialized English courses and sheltered content courses commensurate to the general
education curriculum. Students at the advanced and advanced high level of proficiency are placed in
general education courses with an ESL certified English teacher. Students are eligible to receive
linguistic accommodation.

[43:30–44:00]
Linguistic accommodations and all the courses as needed. Some of the resources that we offer at our
secondary level are also supplemental resources provided to our students throughout all content
areas. For beginning emergent bilingual students, we offer Off to Class, Ellie, and Mayan Reader,
which all provide fundamental English, literacy, and academic English lessons. For intermediate
emergent bilingual students, we offer Achieve 3000, which provides lessons and articles recommended
and accommodating.",0,0.7856589989157114,1
