chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
Noting that a quorum is present, I hereby call this regular board meeting of the Board of Trustees
of Katie Independent School District to order. Today is Tuesday, January 20th, 2026, and the time is
5 02 p.m. Dr. Grigorski, will you please verify that we are in compliance with the provisions of the
Texas Open Meetings Act with regards to notice for this meeting? Mr. Edmund, I do confirm we're in
compliance with the provisions of the Texas Open Meeting Act for a meeting tonight.

[00:30–01:00]
Move on to our first uh agenda item: Pledges of Allegiance. Sounds good. We've got a special student
waiting out here to lead us in the pledge, and that's David Cruz, fifth grader over at Franz
Elementary. Principal's Dr. Yvette Sylvan, parents Jennifer and Daniel Miller. He's got a sibling,
Danielle Miller, as well. David enjoys Taekwondo. Currently holds a blue belt. He also likes playing
outside and spending time with his family and his two pet dogs. Favorite subjects are science and
math. A few quotes from his teachers over the years, uh, from former third-grade teacher.

[01:00–01:30]
Former third grade teacher Kaylin McIlack. David was always very helpful to both teachers and
students. He always made sure that everyone was included and was overall a very sweet hard worker.
From his former fourth grade teacher, Katrina Cotton, David was a sweet, kind boy who always a hard
worker and ensured that he completed all of his work on time. And from his current fifth grade
teacher, Don Lee, David is a very hardworking student who is always willing to help others. He has
excellent manners and shows respect to everyone.

[01:30–02:00]
So, but before we bring up our pledge leader, I want to introduce our Katie High School Saxophone
Quartet, who will be performing the national anthem following the pledges. So from Katie High School
over on my left, these folks. Principal's Dr. Rick Hall, the group is Katie High School Saxophone
Quartet. Music director is Terrence Gorton, Alex Askew, Maria Singer, and Blake Bishop, and the
students performing today Stephen Tusi, Caden Espinoza, Evan Olson, and Caleb Caldwell. Quote from
the music director, Terrence Gordon.",0,5
1,0:02:00,0:04:00,"[02:00–02:30]
Stephen, Caden, Evan, and Caleb are absolute joys to watch work and perform. Members of this group
have earned recognition at the UIL State Solo and Ensemble Contest, UIL Region Solo and Ensemble
Contest, and Outstanding Woodwin Performer Selection at the KDI St's Young Arts Contest Artist
Contest, and all region and all-area recognitions for both the TMEA concert bands and jazz bands.
For the last four years, the Katie High School Saxophone Quartet has served as ambassadors for
instrumental music.

[02:30–03:00]
traveling, and performing for the junior high band classes sharing their love of chamber music. Go
Tigers. So we will go ahead and bring up our pledge leader to do the pledges, then we'll do the
national anthem, and then we are going to hear from our pledge leader. And to the Republic for which
it stands one nation under God, indivisible, with liberty and justice for all.

[03:00–03:30]
Honor of the Texas Flags TV. Texas, one state under God, one and indivisible.",0,5
2,0:04:00,0:06:00,"[05:00–05:30]
And David, you have some prepared remarks you'd like to share? Come on out.

[05:30–06:00]
Good evening, President Redmond, board members and superintendent Gugorski. My name is David Cruz,
and I am a fifth grade student at France Elementary. I have been a student at France since
kindergarten. One of the reasons why I love France so much is because I get to be part of so many
different activities. I enjoy being part of choir, serving on safety patrol, and being a house
leader for Omicstar, the best house, by the way. I also participate in Bredeen Am Run, which allows
me to stay active and",0,5
3,0:06:00,0:08:00,"[06:00–06:30]
Active while helping others and improving my reading skills. The activities are great, but my
favorite things about France are the teachers. They are very nice and they really care about us.
They help us when we struggle and never give up on us. For example, I sometimes have difficulty
writing, and my teacher, Miss Lee, helps me through different tools. She cares about me s and wants
me to do my best. Lastly, I love that I can say that France has the best mascot ever Sparky.

[06:30–07:00]
Sparky, the Firebird. I think France Elementary is the best school and I am proud to be a France
Firebird. I'm very Ellen Casella. You did a fantastic job. Thanks for being here. I also present to
you to get a wonderful search out of this. And only students who come to our board meetings and do
something like reticular.

[07:00–07:30]
Two three, two, one.",0,5
4,0:08:00,0:10:00,"[08:30–09:00]
So when you hear the next answer, it's hard to cover it. You hear it. And we weren't afraid to work
all the time. So we're still very proud of you on our system to go find the

[09:00–09:30]
Oh right. Yeah, maybe. All right. Three, two, one. And one more. Three, two, one.

[09:30–10:00]
Mr. President. May I please say something? I wanna I wanna say something about the saxophone quartet
real quick. I I'm an alto saxophone player and so yeah, I I even still was playing it. When my kids
were in Exley, I was doing like one-person concerts um at Christmas time. So I really understand the
beauty of that uh instrument and I thought y'all did such a fabulous job. And I hope you keep on
with that because a lot of times, you know, like me, you quit kind of after high school. So maybe
you'll find an opportunity to continue on. Thank you for being",0,5
5,0:10:00,0:12:00,"[10:00–10:30]
here. Thank you. We will now move on to our next item recognitions. Dr. Gorgorski. Yeah, at this
time I'd like to introduce uh Brandon Webb, our director of communications, for the recognitions
portion of our meeting. Tonight we celebrate the vital volunteer.

[10:30–11:00]
work of school board members who guide public education and shape our school community. You are an
instrumental force in providing governance and oversight as you serve the never ending needs of
students, staff, and families. This January, in observance of School Board Recognition Month,
communities across Texas are celebrating trustees for their leadership, service, and community
engagement. At this time, please welcome City of Katie Mayor Dusty Teal, along with Mayor Pro Tem
Chris Harris and Councilmembers.

[11:00–11:30]
And Council Members Janet Court, Rory Robertson, and Gina Hicks, who have joined us tonight to
present a proclamation in honor of School Board Recognition Month. So uh Mr. President, school board
members and

[11:30–12:00]
uh Superintendent Grigorski, it is an honor for us to be here tonight. We all have a little uh bit
of history with uh public schools. Both my parents were retired uh school teachers for the state of
Texas. Uh Mayor Pro Tim Chris Harris's mother is on the school board in Navasota, retired teacher,
and as is her father, as is his father. Uh Councilmember Hicks has taught uh elementary school. We
have uh councilmember Court, who has a sister who has taught in public school, and then we also have
Councilmember Robert.",0,5
6,0:12:00,0:14:00,"[12:00–12:30]
Have Councilmember Robertson, who is a Katie ISD school teacher, as is his wife. So it's really an
honor for us to be here and we really respect public schools. Now, one thing I have noticed up here
is next time we come, we may have to uh change our dress code a little. I see how y'all are dressed.
We don't do this at City Council, so uh y'all look sharp. So anyway, we'll go ahead and begin. Uh
City of Katie proclamation, uh school board recognition month, January 2026. Whereas the mission of
public schools is to meet the educational needs of all children.

[13:00–13:30]
children and to empower them to become competent, productive contributors to a democratic society
and an ever-changing world. And whereas the 2026 school board recognition theme is our future is
public, highlighting how public education and local school boards help shape the lives of students,
strengthen our communities, and contribute to the state's economic vitality while recognizing
accomplishments and expressing gratitude to our dedicated school board trustees. Whereas local
school board members are elected by their community members to do what's best

[13:30–14:00]
for students. And whereas local school board members work closely with parents, educational
professionals, and other community members to create the educational vision we want for our
students. And whereas local school board members are responsible for ensuring the structure that
provides a solid foundation for our school system. And whereas local school board members are strong
advocates for public education and responsible for communicating the needs of the school district to
the public and the public's expectations to the district. Now, therefore, I, Dusty Thiel, mayor of
the",0,5
7,0:14:00,0:16:00,"[14:00–14:30]
City of Katy do hereby declare the City of Caty's appreciation to the members of the Katy
Independent School District School Board of Trustees and proclaim the month of January 2026 a school
board recognition month in the City of Katy. I urge all citizens to join me in recognizing the
dedication and hard work of local school board members and in working with them to mold an education
system that meets the needs of both today's and tomorrow's children. In witness whereof, I have
hereunto set my hand in call to seal the city.

[14:30–15:00]
And call Cecil, the city of Katy, Texas, to be affixed this twentieth day of January 2026, signed
William H. Dusty Thiel, Mayor. So we all once again want to thank y'all. Because we know our type of
work y'all do. I think it's harder than what we do. So and we get paid, y'all don't. So uh anyway,
but no, I really do appreciate all that y'all do for the city and for the surrounding area. Thank
you very much. Now where do we go get our backpacks? Thank you.

[15:00–15:30]
All right. Uh, we could have some of y'all step forward. And some in the back. Yes. Yeah. Okay.
Okay.

[15:30–16:00]
Okay. Yes, there we go. And uh we can create two lines. There we go. Perfect. All right. All right,
in three, two, one. And one more three, two, one. All right.",0,5
8,0:16:00,0:18:00,"[16:00–16:30]
I think you're not gonna be able to find it.

[17:00–17:30]
Thank you, Mayor Thiel, Mayor Pro Tim Harris, and Council Members Court, Robertson, and Hicks. I'd
like now to introduce Ms. Carenza Murdoch, President of the KDISD Council of PTAs, for a special
presentation. Tonight, in appreciation of your steadfast leadership and the partnership we share.

[17:30–18:00]
our local PTAs have come together to honor you in a special way. Each of our local PTA units has
selected and donated a book to their respective campus library to their respective campus libraries
in your names. These donations serve as a lasting tribute to your dedication, to our students, and a
reminder of the 72 PTAs working alongside you to make every child's potential a reality. We are
proud to see your names associated with the stories and knowledge that will inspire.",0,5
9,0:18:00,0:20:00,"[18:00–18:30]
KDISD students for years to come. Thank you for your service and for your continued support to the
PTA mission. And I wanted to thank my PTA presidents. I have one here. If you guys will stand up.
It's a busy night for everybody, so we had one show up. But they do a lot of work behind the scenes
to make sure that the PTAs run smoothly. And without their effort, you know, council couldn't even
do what they do. So thank you guys so much for everything you do and for your support of our
community.

[18:30–19:00]
and our students and families. Thank you very much. Mr. President, Mr. President, may I say
something? I would like to say something real quick about the uh PTAs. So um the schools could not
also they they could not run without you either. So I was an active member of PTA being on the board
I think for 15 years or something like that. And I know that the schools and the parents and and the
students really appreciate all of your work too.

[19:00–19:30]
So it it it kind of goes back and forth. And so I I'm just telling you from my heart, I really
appreciate all that you all do because you don't get paid either. So there's my ultimate

[19:30–20:00]
Thank you, Ms. Murdoch, and to the wonderful parents who volunteer by partnering with campuses and
the district to support educational excellence. It's now my pleasure to introduce a special
presentation from the Girl Scouts.",0,5
10,0:20:00,0:22:00,"[20:00–20:30]
Please welcome from Troop No. 127015, Miss Ada, Miss Michaela, and Miss Persephone, along with Ms.
Hazel from Troop 127135. They're joined by their leaders Ariana and Ceisi, as well as Community
Engagement Manager Grace Fife.

[20:30–21:00]
Hello, KDISD School District, uh school board. My name is Ariana, and I am the troop leader of uh
Troop 127015 and 127135. Um My name is Hazel and I am a cadet with Troop 127135 from KD Junior High.
I am being being a girl.

[21:30–22:00]
Scout is one of the things I am most proud of. And it has allowed me to make many cool new
experiences, help me help my community, and make some awesome friends along the way.",0,5
11,0:22:00,0:24:00,"[22:00–22:30]
From Hudson. My favorite thing to do in Girl Scouts is to help my country cut community and go
camping. Hello. Hello? Katie I F D board. Board. My name is Ada Stephens. I am

[22:30–23:00]
a brownie with troop one two seven zero one five from being a gold gold scout is one of the things
wait from Hustle Montreal being a girl s a gold scout is one of the things I am most proud of and it
has allowed me

[23:00–23:30]
me to have so many cool new experiences experiences h help my community and make some awesome
friends along the way. Thank you Katie I F D. Thank you, Katie I S D. And we have Girl Scout cookies
for you. We have cookies for you. And we have Girl Scout cookies for you.

[23:30–24:00]
Mr. President. I'm so sorry I have a lot to say tonight. But I was a Girl Scout leader for eleven
years. Uh both of my daughters are Gold Award people. I really admired the Girl Scout. And girls,
I'm really proud of you for coming and speaking to us tonight. And I hope you all go all the way. If
you need help, let me know. Yes. Thank you very much. You did a great job.",0,5
12,0:24:00,0:26:00,"[24:30–25:00]
Ladies, thank you so much for being here tonight. Trustees campuses have also sent notes of
appreciation for each of you. We are grateful for your time and your dedication on behalf of KDISD,
our students, and our staff. This year marks a special milestone for one of our most impactful
student programs, our Keys Mentoring Program.

[25:30–26:00]
Keyes Mentoring Program. Please welcome Karen Lewis, Executive Director for Community Partnerships.
Good evening, President Redmond, Trustees, and Superintendent Grigorsky. This evening we are
recognizing the 30th anniversary of the Keyes program in KDISD. Keyes began in the 1995-96 school
year with just four mentors. Today, it serves students on every campus, engages more than 650.",0,5
13,0:26:00,0:28:00,"[26:00–26:30]
650 mentors and quietly makes a profound impact through countless success stories. On behalf of
Partners in Education and KDISD, thank you to the board for your continuous support of this
important program, and to everyone who has given the gift of time to our students. I'd like to ask
the keys mentors and liaisons who are here tonight to please join us at the dais for a photo.

[27:00–27:30]
All righty, in three, two, one. And one more three, two, one. All right.

[27:30–28:00]
Thank you, Ms. Lewis. And to our keys mentors, you have our deepest appreciation for the difference
you're making in the lives of our students. This concludes our recognition portion for this
evening's meeting, and I'll now hand it over to Board President Redmond for the Morton Ranch High
School recognition. Thank you. As we continue tonight to highlight each of our high schools, tonight
trustees are celebrating the mavericks of Morton Ranch High School. There you go. And their
remarkable achievements in campus community.",0,5
14,0:28:00,0:30:00,"[28:00–28:30]
Uh trustee Mary Ellen Kazella fulfills the important role as the liaison for Morton Ranch High
School. And she will take over from here. Okay. Thank you, uh, President Redmond. I see a lot of
you. Would you please stand so we could recognize you again? All of you that came, teachers,
country. Thank you very much for your presence here tonight. I'm gonna read a little bit about the
history and just a few uh

[28:30–29:00]
fun comments. Morton Ranch High School is named in honor of the Morton family who moved to the Katy
area in 1896. That's almost 130 years ago. They were rice farmers and early members of the Katy
community. The Morton Ranch High School campus was named and built in 2004 and serves just over
2,800 students. They embrace the motto: be purple, be proud. It's the Maverick way. The school
offers comprehensive academics, AP courses, honors courses, STEM.

[29:00–29:30]
career and technology pathways, just like all of our high schools. They have an array of clubs from
academic decathlon, which I learned they've placed at state numerous times, more than 10 times I
think. They have a National Art Honor Society, FFA of course, theater, band and choir, and I'm sure
much more. The school boasts a wonderful musical culture through their orchestra and mariachi group.
I happen to really love the mariachis.",0,5
