transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings,24,RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings.csv,0:48:00,0:50:00,"[48:00–48:30]
college and succeed beyond the classroom. We must remember that school is where our children are
supposed to fall in love with learning. They develop this love by visits to the library, reading
novels, and engaging in lessons that encourage questions and further discussion. This has been
stripped from our schools and replaced with PowerPoint slides, excerpts from books, worksheets, and
quiz after quiz, none of which are fun or engaging. We cannot expect our children to succeed if they
aren't given the tools to do so. Bring back libraries, librarians, literacy programs, and allow our

[48:30–49:00]
children to read novels. Show them you care about their progress and not just a measly test score.
No books, no. Thank you, ma'am. Our next speaker is Lee Kiefer. Lee Kiefer? Miss Kiefer? I believe
she was here. Lee Kiefer. Last call. Okay. Oh, okay, thank you. All right. Yen Lee.

[49:00–49:30]
My name is Dr. Yenshi Li. I am a mother of an HISC student who luckily scores high on your test
scores and receives special education services. I share a statement by a certified special education
teacher with more than 21 years of experience and a master's degree who left their NES elementary
school for private school. They shared the spot scores were always low since it's impossible to stop
every four minutes.

[49:30–50:00]
for one, two, or three minutes. The strategies became the lesson and the content got lost. In my
words, when the measurement system is flawed and not based on evidence, the data is flawed. It is
fake news. Without good data and valid measurement, there can be no trust. No trust, no bond.",0,0.99783355,1
RELABEL_Katy_ISD-2025-08-25-Board_Meetings - Katy_ISD-2025-08-25-Board_Meetings,51,RELABEL_Katy_ISD-2025-08-25-Board_Meetings - Katy_ISD-2025-08-25-Board_Meetings.csv,1:42:00,1:44:00,"[01:42:30–01:43:00]
and it's not not KDISD or anybody in management here doing that. That's all coming from from the
Texas. Thank you. Yeah. And I I think it warrants some questions. And and and I'll t I'll tell you
what drives the the calculations in that notice is um a third party uh uh organization who provides
that template to ISDs across the state to make that calculation. I think it's right. What if it's
not? I I I mean, I I I I don't know. I I I do think it's right and and um it's it's

[01:43:00–01:43:30]
it's a wonderful tool that we use. Um it is extremely confusing. And I can go through it uh and my
staff has gone through it uh in details and we trace it and everything in there is correct. It just
gives a wacky result. I think another thing to look at, uh Ms. Cazello, that maybe it's uh something
that could that benefit you, if you take the numbers to the right of that and you add them together,
they're gonna presume they're gonna normally uh uh the local portion, the dollar amount.

[01:43:30–01:44:00]
uh and uh uh per student and then the state amount per student if you add those together
historically those are very similar from the top one to the bottom with the rate to maintain and the
proposed all three of them are very similar if you add them together they just shift money from the
state and local in this case if you added them together you're gonna see that the the bottom one's
gonna produce more money the the the the middle one the one that you're questioning is probably and
I'm I'm going off of memory on this",0,0.99365294,1
RELABEL_Katy_ISD-2025-12-08-Board_Meetings - Houston_ISD-2025-12-08-Board_Meetings,68,RELABEL_Katy_ISD-2025-12-08-Board_Meetings - Houston_ISD-2025-12-08-Board_Meetings.csv,2:16:00,2:18:00,"[02:16:00–02:16:30]
read lots and lots and lots and lots of pages and pages of things that master um educators have
spent lots of time researching the the way voters vote and so forth. But I will like to clarify, I
did say low low information or whatever, but that is what they're known, that's what you know
they're referred to. Some pe you know, some scholars refer, but I will say it's low really what it
is is low information about certain candidates in the lower level of uh on the ballot. So it's not
necessarily

[02:17:00–02:17:30]
that they're low informed. It's just that they have lower information about these certain
candidates. So what I've written is that you want to change our elections to November so though so
that more community members have a vote in our electoral process, which by the way, I would love to
have also. I'd love to have more, you know, higher voter turnout. However, turnout alone is not the
only important measure of an electoral system's success. Voters might participate in elections, but
may

[02:17:30–02:18:00]
not understand the choices they are making, particularly in the low the lower on the ballot that
they go. And by the way, voter fatigue is also referred to in a lot of these studies and they're
talking about the voter fatigue with such a long ballot. So the further they go down on the ballot,
you know, kind of the more exhausted they are and the less that they know about people. The decision
to vote in election cycle does not lead to equal attention across all positions. Lower level
positions do not have the same attraction as more prominent positions and potential voters may not
pay",0,0.9924972,1
RELABEL_Katy_ISD-2025-12-08-Board_Meetings - Houston_ISD-2025-12-08-Board_Meetings,65,RELABEL_Katy_ISD-2025-12-08-Board_Meetings - Houston_ISD-2025-12-08-Board_Meetings.csv,2:10:00,2:12:00,"[02:10:00–02:10:30]
Here. It's not just myself, Teamy, and Calhoun. Or it would be a one and a half to two and a half
year extension in our terms if we had vote if we vote on a November of an odd year election. And
that's something I detailed in a document that I shared with the board. This is just in the
transition from a yearly May election to every other year November election. And then moving
forward, any new board member that were elected, it'd be just a simple four-year term instead of a
three-year term. And we'd have elections every other year.

[02:10:30–02:11:00]
We heard some of that from our speakers. In our past May school board elections, many voters were
confused which poll to go to. When KDISD administers the elections, the voters are required to use
our polls, which are our schools, and that is totally different than where many of the county polls
are, so they're confused. We had uh when we had if we had were to have a joint November election,
this confusion would go away because the polls would then be the regular county polls that they're
already familiar with. Um there's also voter fatigue to consider in addition.

[02:11:00–02:11:30]
to voter confusion. Next year, as it stands, voters are going to be asked to turn out for three
elections the primary in March, in May for school board, and then again in November. So let's do our
part to streamline the election timeline for the voters and keep it to just March and November and
simplify the poll sites to the county polls. And then definitely costs. We need to talk costs. I did
some additional analysis given the election costs that were shared with the board from the district.
We all have five costs, excuse me, costs for five different elections.

[02:11:30–02:12:00]
Elections, the November 2020 bond election, the November 2023 bond election, and the last three May
board elections, 2023, 24, and last year, 2025. So I added a few columns on this spreadsheet that
you have a copy of, and you also received electronically from Dr. Grigorsky. And what I added was
what's in purple, it's highlighted. Because what we need to do when we look at the cost in comparing
these November elections to our May elections, we need a yearly.",0,0.99209595,1
RELABEL_Katy_ISD-2025-12-08-Board_Meetings - Houston_ISD-2025-12-08-Board_Meetings,20,RELABEL_Katy_ISD-2025-12-08-Board_Meetings - Houston_ISD-2025-12-08-Board_Meetings.csv,0:40:00,0:42:00,"[40:00–40:30]
School board elections should reflect that reality. Candidates should be expected to campaign across
the entire district to reach out to all voters and to earn the trust of every community, not just a
small circle of consistent May voters or familiar insiders. Some call that group informed voters.
Many in the public see something very different. And I want to raise one additional concern. Last
month, Trustee Kazella proposed creating an ad hoc committee to seriously study this issue.
President Redmond, you said you would consider it. To date, there has been no update that I've

[40:30–41:00]
seen or heard about, and the community deserves transparency and a clear answer. Has this request
been acted on, or is it being quietly swept aside? The community deserves transparency and a clear
answer. Thank you. Thank you. Next will be Ms. Claudia Turkoff. Good evening, trustees and Dr.
Grigorsky. I'm here tonight to advocate for moving May school board elections to the month of
November. KDISD has historically had a bid.

[41:00–41:30]
Historically had abysmally low voter turnout. Last year was the highest turnout ever at 7.5%, with
the exception of 2020, which was a November election, also. That means basically 93% of the
electorate are unrepresented. KDISD should be doing everything possible to ensure the broadest
participation of its citizens. In contrast, most bond elections do take place in November. I find
that odd. Why wouldn't the people who we elect to approve said bond packages not also be afforded
the same accessibility and visibility that an

[41:30–42:00]
Visibility that a November election would offer. Also, and I'm truly asking this question because I
don't know, would it not be more cost effective given that November elections take place every other
year instead of the annual May elections? And I also feel like I need to say that if Ms. Cuzella's
idea of an ad hoc committee had been followed through on maybe there could have been ways that y'all
could have discussed bringing that into a reasonable budget or a comparable budget to the May
elections. I've listened to some of the discussion on this topic in previous meetings. I have yet to
hear a",0,0.9917059,1
RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings,92,RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings.csv,3:04:00,3:06:00,"[03:04:30–03:05:00]
The budget board uh when they are looking at legislation this just January, they can say how much
they know what the student counts look like, and they can say how much a bill costs or doesn't cost.
They want that to be accurate so they don't shortchange the children of the state by everybody
sandbagging and giving their real high numbers, and then there's not it's too expensive, we can't
afford it, or not giving good enough numbers and uh and and and and it being and and then it being
more expensive than they thought it would be. And so that that they brought.

[03:05:00–03:05:30]
that down to an indicator. So we have to get that crystal ball out uh two years uh in advance, and
we have to be within seven percent. And uh that that goes back to a whole statewide thing. Okay, so
indicator seven or sixteen measures the quality quality of data reported to PEAMS and in your ACFR,
and it makes sure that the two are aligned. Um the total difference between what we reported to PEMS
and what was stated in our ACFAR was all of a couple of hundred dollars on nine hundred and fifty
million.

[03:05:30–03:06:00]
$150 million in expenditures. So and that's just a product of rounding whenever we submit it to PEM.
So we pass this indicator. Indicator 17 asks if the district's independent external auditors found
any material weaknesses in internal controls, which they have not. Indicator 18 measures whether the
district is complying with laws, rules, and regulations related to expenditures of grants, funds,
contracts, and other state and federal funds, and we pass this indicator as well.",0,0.9287548,1
RELABEL_Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings - Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings,21,RELABEL_Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings - Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings.csv,0:42:00,0:44:00,"[42:30–43:00]
Spring Branch ISD. Very proud. From Spring Branch Middle School, Victor Matutez, Spanish for Native
Speakers. From Memorial High School, Gabriela Cruz, Spanish natives. So at this point, teachers, if
you're here, and campus leaders as well, principals of this campus, memory high school, Stratford
High School, Spring Branch Middle, if you're here, Springwood High School.

[43:00–43:30]
please join us.

[43:30–44:00]
Thank you, everyone. Spring Branch ISD continues to set the bar for academic achievement, with eight
of its schools earning a place on the Educational Results Partnerships, or ERP, annual honor roll.
The honor roll program is part of a national effort to identify high-performing schools that are",0,0.91811657,1
RELABEL Spring_Branch_ISD-2025-06-23-Board_Meetings - Spring_Branch_ISD-2025-06-23-Board_Meetings,17,RELABEL Spring_Branch_ISD-2025-06-23-Board_Meetings - Spring_Branch_ISD-2025-06-23-Board_Meetings.csv,0:34:00,0:36:00,"[34:00–34:30]
staff support allotment. So you'll see a lot of acronyms, which we'll get we'll all get used to as
we go through this. But we did work on that. Jennifer and Christina and I met and we talked about
it. The recommendation on that is a 2% for those teachers, as well as our other support staff that
can be paid through that allotment. There were some individuals that they made it very clear could
not be paid either through the teacher.

[34:30–35:00]
retention allotment or the staff support allotment and uh we also recommended a 2% for those
individuals that are professional or administrators for our paras and our auxiliary folks to stay
competitive we've asked for a 3% raise for them I know that you all we had the TASB Amy Campbell
came from TASBE and presented to you all earlier they made recommendations we also

[35:00–35:30]
implemented those recommendations into our plan. But I just wanted to make sure we are pushing for a
raise for everyone. It's for the teacher, it's as it is stated in the package you receive for the
$2,500 or the $5,000. For the zero to two years, 2%. For auxiliary and paras, a 3%. And for
administrators and other professionals that cannot be paid through these funds, we're recommending a
2% raise.

[35:30–36:00]
Raise. Any questions? Thank you. All right. All those in favor say aye. Aye. All those opposed say
no. The motion is approved by a vote of seven to zero that we approve the twenty-five-26
compensation plan. The next item is a request for approval of a student for",0,0.89965343,1
RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings,93,RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings.csv,3:06:00,3:08:00,"[03:06:00–03:06:30]
Um indicator 19 measures whether the district is complying with legal requirements related to
financial transparency by posting all of our required information and the district fully complies
with this. And I'm going to pass it over to Mr. Heinz. Okay, and indicator number twenty confirms
whether the school board had the opportunity to discuss and consider the finances of the district as
they relate to property value and funding changes. As you all know, Mr. Smith presented on and
discussed state funding and property values many times leading up to the budget.

[03:06:30–03:07:00]
uh adoption with this board. So, yes, we passed this indicator. And the one we've been looking for,
indicator number 21, is a new indicator for this year and ensures that the district hasn't asked TEA
for an adjusted repayment schedule in consecutive years for overpayment of foundation school program
funds due to financial hardship. The answer to this is no, uh, but that means that yes, the district
passes this. And just so you know, uh, in in our history, we have never had to do that. Uh, we have
to do that.

[03:07:00–03:07:30]
So this brings us to what is KDISD's rating. KDISD for 22 years in a row has passed all critical
indicators, received 96 of 100 points, and had it if they had an A plus, would have gotten an A
plus, but it got a superior rating and an A, and it's the highest the highest rating given by the
state for first. So now I'll pass it on to Mr. Smith. Okay, as as part of this presentation, you all
have a package. We're required to do this. And by the way, uh notice of

[03:07:30–03:08:00]
this meeting was posted in the paper twice by law, by by the law that that requires this. And uh in
your package uh after the presentation or the slides that you just saw, it actually has a printout
of the ratings and wit that we just went over right off the TEA website. Anybody can find that on
the TA website and it has them for the prior year as well. So somebody can look at this and look at
it from uh the prior year's ratings as well. Again, that's on TEA's website and our school
district's website. Uh this presentation and this information is on the on both uh",0,0.8993069,1
RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings,14,RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings.csv,0:28:00,0:30:00,"[28:00–28:30]
Having district leaders who enable this level of instability in the workforce, along with a lack of
transparency and accountability regarding district finances, this erodes my confidence in HISD's
ability to manage the proposed bonds effectively. For now, I'm voting no to the proposed bonds until
HISD implements internal reforms that promote workforce stability and financial accountability.
Thank you. Our next speaker is Maria Benzon. Ms. Benzon.

[28:30–29:00]
Hi, my name is Dr. Maria Benz on. I'm speaking on item one. Let's be real. The conclusions in the
analysis of GPM 3.2 are seriously flawed. First, it oversimplifies the reason students leave CTE
programs. Academic pressures aren't the only issue. Personal circumstances, socioeconomic factors,
and school culture all play a huge role. Ignoring these facts is just short sighted. Second, where
are the student voices? How can anyone fix problems without asking students why they're leaving in
the first place?

[29:00–29:30]
It's ridiculous to think you can solve something without hearing from the people directly affected.
Third, the focus on aligning course sequences misses the point entirely. If the programs are
irrelevant or boring, students won't stay, no matter how organized the courses are. Structure is
worthless without quality content that speaks to students' interests and aspirations. In short, the
analysis is missing the mark on every level. It's time to stop oversimplifying. Fire Mike, no trust,
no non",0,0.887415,1
