transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings,24,RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings.csv,0:48:00,0:50:00,"[48:00–48:30]
college and succeed beyond the classroom. We must remember that school is where our children are
supposed to fall in love with learning. They develop this love by visits to the library, reading
novels, and engaging in lessons that encourage questions and further discussion. This has been
stripped from our schools and replaced with PowerPoint slides, excerpts from books, worksheets, and
quiz after quiz, none of which are fun or engaging. We cannot expect our children to succeed if they
aren't given the tools to do so. Bring back libraries, librarians, literacy programs, and allow our

[48:30–49:00]
children to read novels. Show them you care about their progress and not just a measly test score.
No books, no. Thank you, ma'am. Our next speaker is Lee Kiefer. Lee Kiefer? Miss Kiefer? I believe
she was here. Lee Kiefer. Last call. Okay. Oh, okay, thank you. All right. Yen Lee.

[49:00–49:30]
My name is Dr. Yenshi Li. I am a mother of an HISC student who luckily scores high on your test
scores and receives special education services. I share a statement by a certified special education
teacher with more than 21 years of experience and a master's degree who left their NES elementary
school for private school. They shared the spot scores were always low since it's impossible to stop
every four minutes.

[49:30–50:00]
for one, two, or three minutes. The strategies became the lesson and the content got lost. In my
words, when the measurement system is flawed and not based on evidence, the data is flawed. It is
fake news. Without good data and valid measurement, there can be no trust. No trust, no bond.",0,0.946924340297496,1
RELABEL_Katy_ISD-2025-08-25-Board_Meetings - Katy_ISD-2025-08-25-Board_Meetings,51,RELABEL_Katy_ISD-2025-08-25-Board_Meetings - Katy_ISD-2025-08-25-Board_Meetings.csv,1:42:00,1:44:00,"[01:42:30–01:43:00]
and it's not not KDISD or anybody in management here doing that. That's all coming from from the
Texas. Thank you. Yeah. And I I think it warrants some questions. And and and I'll t I'll tell you
what drives the the calculations in that notice is um a third party uh uh organization who provides
that template to ISDs across the state to make that calculation. I think it's right. What if it's
not? I I I mean, I I I I don't know. I I I do think it's right and and um it's it's

[01:43:00–01:43:30]
it's a wonderful tool that we use. Um it is extremely confusing. And I can go through it uh and my
staff has gone through it uh in details and we trace it and everything in there is correct. It just
gives a wacky result. I think another thing to look at, uh Ms. Cazello, that maybe it's uh something
that could that benefit you, if you take the numbers to the right of that and you add them together,
they're gonna presume they're gonna normally uh uh the local portion, the dollar amount.

[01:43:30–01:44:00]
uh and uh uh per student and then the state amount per student if you add those together
historically those are very similar from the top one to the bottom with the rate to maintain and the
proposed all three of them are very similar if you add them together they just shift money from the
state and local in this case if you added them together you're gonna see that the the bottom one's
gonna produce more money the the the the middle one the one that you're questioning is probably and
I'm I'm going off of memory on this",0,0.9337137961250389,1
RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings,92,RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings.csv,3:04:00,3:06:00,"[03:04:30–03:05:00]
The budget board uh when they are looking at legislation this just January, they can say how much
they know what the student counts look like, and they can say how much a bill costs or doesn't cost.
They want that to be accurate so they don't shortchange the children of the state by everybody
sandbagging and giving their real high numbers, and then there's not it's too expensive, we can't
afford it, or not giving good enough numbers and uh and and and and it being and and then it being
more expensive than they thought it would be. And so that that they brought.

[03:05:00–03:05:30]
that down to an indicator. So we have to get that crystal ball out uh two years uh in advance, and
we have to be within seven percent. And uh that that goes back to a whole statewide thing. Okay, so
indicator seven or sixteen measures the quality quality of data reported to PEAMS and in your ACFR,
and it makes sure that the two are aligned. Um the total difference between what we reported to PEMS
and what was stated in our ACFAR was all of a couple of hundred dollars on nine hundred and fifty
million.

[03:05:30–03:06:00]
$150 million in expenditures. So and that's just a product of rounding whenever we submit it to PEM.
So we pass this indicator. Indicator 17 asks if the district's independent external auditors found
any material weaknesses in internal controls, which they have not. Indicator 18 measures whether the
district is complying with laws, rules, and regulations related to expenditures of grants, funds,
contracts, and other state and federal funds, and we pass this indicator as well.",0,0.9317439166597846,1
RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings,93,RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings.csv,3:06:00,3:08:00,"[03:06:00–03:06:30]
Um indicator 19 measures whether the district is complying with legal requirements related to
financial transparency by posting all of our required information and the district fully complies
with this. And I'm going to pass it over to Mr. Heinz. Okay, and indicator number twenty confirms
whether the school board had the opportunity to discuss and consider the finances of the district as
they relate to property value and funding changes. As you all know, Mr. Smith presented on and
discussed state funding and property values many times leading up to the budget.

[03:06:30–03:07:00]
uh adoption with this board. So, yes, we passed this indicator. And the one we've been looking for,
indicator number 21, is a new indicator for this year and ensures that the district hasn't asked TEA
for an adjusted repayment schedule in consecutive years for overpayment of foundation school program
funds due to financial hardship. The answer to this is no, uh, but that means that yes, the district
passes this. And just so you know, uh, in in our history, we have never had to do that. Uh, we have
to do that.

[03:07:00–03:07:30]
So this brings us to what is KDISD's rating. KDISD for 22 years in a row has passed all critical
indicators, received 96 of 100 points, and had it if they had an A plus, would have gotten an A
plus, but it got a superior rating and an A, and it's the highest the highest rating given by the
state for first. So now I'll pass it on to Mr. Smith. Okay, as as part of this presentation, you all
have a package. We're required to do this. And by the way, uh notice of

[03:07:30–03:08:00]
this meeting was posted in the paper twice by law, by by the law that that requires this. And uh in
your package uh after the presentation or the slides that you just saw, it actually has a printout
of the ratings and wit that we just went over right off the TEA website. Anybody can find that on
the TA website and it has them for the prior year as well. So somebody can look at this and look at
it from uh the prior year's ratings as well. Again, that's on TEA's website and our school
district's website. Uh this presentation and this information is on the on both uh",0,0.884381405811348,1
RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings,43,RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings.csv,1:26:00,1:28:00,"[01:26:00–01:26:30]
The last one to one initiative is a key part of KDISD long term strategy to enhance learning and
support online testing. It extends beyond a one time device rollout. The district is committed to
gathering feedback from students, teachers, and parents each school year, ensuring the program
evolves year after year. However, with over 96,000 students, 150,000 parents, and

[01:26:30–01:27:00]
And 15,000 staff. Change must be carefully planned and executed to ensure a smooth transition and
prevent any disruptive impact across the district. And with that, I'll be happy to take any
questions you may have. Thank you so much for those comments. I really appreciate that. I know it's
been it's uh we're just uh early in this process, if you will. Is there anything any

[01:27:00–01:27:30]
takeaways so far that that you care to share based on the the early feedback, I guess, over the last
uh two or three months? Uh yeah absolutely. I mean some of the the things that were shared with us
by parents and students uh were the weight of the device uh that was uh uh uh that was mentioned uh
by students uh often. And uh so our standard in the past, we focused on performance of the device.
Now of

[01:27:30–01:28:00]
Now Chromebooks, as I mentioned, they weigh about half as much as a laptop. But yet I think we are
gonna invest more to make sure we buy those ultra-thin Chromebooks that still weigh even less than
the average Chromebook. We're gonna put more emphasis on uh on that. Um and also you know making
sure that we watch closely, you know, when when we introduce this massive influx of devices.",0,0.8491730829438288,1
RELABEL_Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings - Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings,3,RELABEL_Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings - Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings.csv,0:06:00,0:08:00,"[06:00–06:30]
billion dollar price tag. This is the largest initial voucher bill in the country, and it is moved
to the governor's desk for signing. We continue to monitor the puck monitor the public education
funding bills, which we expect to go to conference committee sometime in the next week. As we shared
recently, the Texas House of Representatives passed House Bill 2, its public education funding bill.
The House promotes or as promotes proposes $8.1 billion for public education, including a $5.1
billion for increased investment in public education.

[06:30–07:00]
including a $395 student increase in the basic allotment or per student, and $3 billion for specific
schools or programs, and including $700 million for smaller mid-sized districts, $1.6 billion for
increased compensatory education and early childhood allotments that would fund our full pre-K
system. Currently it's not fully funded, and $750 million for teacher performance pay. The Senate,
on their side, does not include an increase in the basic allotment, which is something that we have
advocated for.

[07:00–07:30]
in their plan to date, with a $5.6 billion allocated for public education. Of this total, $4.4
billion is for increases in teacher pay, $700 million is for special education services, and $500
million is for an increase in safety and security. The concern that we have right now is that with
the passage of the voucher bill, there is speculation that the attitude for funding public schools
is diminished both in urgency and inadequacy, meaning that the Senate may now be less likely to
budge on a compromise with

[07:30–08:00]
the House with the school funding bill, even if that's what they proposed that they were going to
do. So it's time for our community members to be reaching out, like only SBISD can do, and we know
we can advocate, and let our elected officials know that how critical increased funding for public
education is for our students, our district, and the 5.5 million Texas public school students who
are the future of our great state. Thank you. Thank you, Dr. Blaine. The next item on the agenda is
public comment on special presentations.",0,0.8246302403970105,1
RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings,26,RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings.csv,0:52:00,0:54:00,"[52:00–52:30]
by observation and performance tasks because that is what is developmentally appropriate at this
age. The state of Texas does not require kindergarten, so why is HISD requiring percentages?
Teachers are very concerned that requiring percentage grades will lead to instructional practices
and assessments that are not developmentally appropriate for five and six-year-olds. Are three and
four three and four-year-olds next? The grading change just goes against everything that early
childhood stands for. Children are not developed at this rate, and they should not be graded at such
some young age.

[52:30–53:00]
At such young ages. Please reverse this this decision before the next grading cycle comes and goes.
No trust. Our next speaker is Dakshina Moody Jandayala. Yes. My name is Moody Jandiyala. I am a
father of HISD student. And it's not just this isn't really about me, of course, this is about my
child and thousands of others. I'm going to read us some statements by various teachers that have
left the district.

[53:00–53:30]
Um the principal was inexperienced. He yelled at children's faces and wouldn't listen to teachers or
answer questions. Our school was amazing. We were truly a family until the takeover and pressure
from the ED pushed onto the campus administration. The IN program was not allowed and it ruined
everything. Over 25 staff members left, and out of six admins, only the principal and one AP
returned.

[53:30–54:00]
And provided us with three ish weeks to find another job before the school year started. I retired
early because I did not feel our leadership cared about the well being of our students. Thank you.
Our next speaker is Katie Morgan. Yes, ma'am. Hi, Katie Morgan, HISD parent. I am reading a
statement by a certified bilingual educator with over 11 years' experience. They left HISD.",0,0.8161241495172767,1
RELABEL_Katy_ISD-2025-08-25-Board_Meetings - Katy_ISD-2025-08-25-Board_Meetings,47,RELABEL_Katy_ISD-2025-08-25-Board_Meetings - Katy_ISD-2025-08-25-Board_Meetings.csv,1:34:00,1:36:00,"[01:34:00–01:34:30]
Revenue and to pay debt service would actually be 1.06 rounded up. So five cent difference, which is
kind of significant in the tax world. And I had asked the question like, so we're not raising the
tax rate, that's great. It's always great, but we're not lowering it. And do we have an opportunity
to lower it? And I remember I remember you explaining well, we have more right, the state has this
year as everyone.

[01:34:30–01:35:00]
knows, hopefully, that the state has come through big time to pay for raises for most of the
teaching staff, teaching staff. So it it it seems backwards. Like I would think that if if we've
we've got funding this year, then we shouldn't need to raise as much this year. It's my simple
logic. Um so then I looked back last year to see well, would this look like last year? And there was
no change, it was fairly a wash.

[01:35:00–01:35:30]
To rate maintain the same maintenance and operation. So didn't jump out to me. The year prior
though, in 2023, there was quite a big jump, and that was when it was ratcheted down quite a bit.
From uh I think it was 1.30 in 2023. And we lowered it at to 1.11 at that point. So maybe if you
could help me, and I'm asking this for to be able to clarify to the to the taxpayer, the voters,
people who who asked me questions so I can explain it well, and maybe they're listening.

[01:35:30–01:36:00]
But maybe in 2023, could you describe what was going on that we could lower it? I don't have that.
You can give me a minute, I'll look for it. But I don't have what uh what you're specifically
speaking of in 2023. The the big decrease. But it's in 2023, our legislation put the mil billions of
dollars towards buying down our tax rate that year. Right. Okay. Thank you. Which they did not do
this year. Sure. But they did pay for uh teacher salaries, if you will. The raises. Excuse me.",0,0.8067375542443667,1
RELABEL_Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings - Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings,21,RELABEL_Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings - Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings.csv,0:42:00,0:44:00,"[42:30–43:00]
Spring Branch ISD. Very proud. From Spring Branch Middle School, Victor Matutez, Spanish for Native
Speakers. From Memorial High School, Gabriela Cruz, Spanish natives. So at this point, teachers, if
you're here, and campus leaders as well, principals of this campus, memory high school, Stratford
High School, Spring Branch Middle, if you're here, Springwood High School.

[43:00–43:30]
please join us.

[43:30–44:00]
Thank you, everyone. Spring Branch ISD continues to set the bar for academic achievement, with eight
of its schools earning a place on the Educational Results Partnerships, or ERP, annual honor roll.
The honor roll program is part of a national effort to identify high-performing schools that are",0,0.7925925190418539,1
RELABEL_Katy_ISD-2025-08-25-Board_Meetings - Katy_ISD-2025-08-25-Board_Meetings,48,RELABEL_Katy_ISD-2025-08-25-Board_Meetings - Katy_ISD-2025-08-25-Board_Meetings.csv,1:36:00,1:38:00,"[01:36:00–01:36:30]
the raises. Okay. I'll start from the beginning. Thank you. Um when the legislature passed House
Bill two, they provided additional funds. Um well let me back up a little bit more. TEA sets our tax
rate. Let's just call it what it is. TEA sets our maximum compressed tax rate. We fill in a form
that they post in the summertime, probably July, they posted it. Uh those we filled it in. Most
districts have the same.

[01:36:30–01:37:00]
MCR maximum compressed rate that we do. And then you add on the local enrichment pennies. Okay, on
top of that. That's what we're publishing as the rate anticipated. So we really don't have any say
in that with the rate anticipated. Why that's showing a decrease in the rate is because the amount
to maintain what we made in the 24-25 school year com when you just put in the new funding amounts

[01:37:00–01:37:30]
amounts drives that rate down. But those new funding amounts are what's driving that rate down. But
you have to you have to have that rate that the state uh uh requires us to have in order to raise
that kind the same amount of money as we raised locally as we can raise locally. I'm sorry, I'm I'm
fumbling for words because I'm thinking too fast. So essentially

[01:37:30–01:38:00]
that that mac that maximum compressed rate, I said it better last week. Um that maximum compressed
rate is set for us, and that advertised amount is only getting pushed down because of the new money
we're getting from the state. It just takes that it doesn't take anything else into account, it just
says you're getting new money, and because you're getting new money, that's what your rate should be
in order to maintain the same amount as you read last year. Period. Well, we're spending that new
money. Okay? So if we didn't have to spend that money, uh and there was no string.",0,0.7819297701524963,1
