chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
I call this special meeting of the Spring Branch Independent School District Board of Trustees to
order. Let the record show that the time is now 5 01 and a quorum of board members is present. This
meeting has been duly called and the notice for this meeting has been posted in accordance with the
Texas Open Meetings Act, Texas Government Code Chapter 551041. The first item is public comment on
agenda items. At board meetings, public comment time is set aside for individuals who wish to
address the board. During special meetings, workshops, and retreats, comments regarding

[00:30–01:00]
agenda items. While at regular meetings, individuals can comment on both agenda and non-agenda
items. Since no one has signed up to speak, we will now move on to the next agenda item. The next
item on the agenda is a discussion on maintaining pride, maintaining excellence, our team of eight
training. I would like to welcome Dr. Mike Moses and thank him for joining us this evening. Dr.
Moses.

[01:00–01:30]
Most people really are happy when they can't hear me. You know, I I think when I've been asked to
speak before, I'll always say something. Can you hear me in the back? And they say no, but it's
okay, it'll probably be just as good. Go ahead. And uh but anyway, pleasure to be here, always uh
fun to be in this district. Um I've had the opportunity to work with uh uh most of you here. I think
uh maybe uh haven't had time with everybody, but I enjoy the association with the school district,
appreciate it very

[01:30–02:00]
very much. Really admire Jennifer and appreciate the time that we spend talking about the challenges
that this district faces. But I'd have to say that you were meeting those challenges. And I was just
talking to Chris a minute ago about the bond issue that you had this last year and just the
phenomenal success with that. And and and and I know the as you try to compete with districts that
are your neighbors, and I and I listened to the presentation last.",0,
1,0:02:00,0:04:00,"[02:00–02:30]
just about a year ago I think Jennifer about uh efforts that you make to compete with neighboring
districts and what you need to be able to do that and uh kind of wondered about that uh because I
thought it was a bold step that you took and it was it was successful and I I congratulate you
heartily I think everybody probably knows a little bit about me but I I'm uh former teacher
principal uh I was uh Walker asked me if I

[02:30–03:00]
was superintendent of a couple of districts. I said, Yeah, I was in four districts and I I actually
got to stay and leave them voluntarily, but uh uh in a district of a thousand kids, a district of
about five thousand kids down uh in Galveston County, and then about thirty-five thousand kids in uh
Lubbock and about a hundred and sixty thousand kids in Dallas. Uh that was the job I always said
that's when I'd go to work every morning and drive down the North Dallas tollway thinking, well
there's twenty-one thousand people working here, and I wonder who's gonna mess up today that I'm
gonna get to talk to Channel 8, Channel 4, or Channel 11.

[03:00–03:30]
about today, but uh and I was blessed to be able to work as commissioner of education uh for about
five and a half years. Um a couple years as deputy chancellor at Texas Tech. And uh my wife's a
former teacher, and uh her mother and dad were teachers, her dad was a superintendent, my mother and
father were both teachers, my dad was a administrator, a college professor. So I tell everybody we
we come by it kind of naturally. Uh education means a lot to us. I know it means a lot to you, uh,
or you would not be.

[03:30–04:00]
doing this. Uh we have a couple of boys that uh five grandkids. Uh my youngest son's been on the
school board in Round Rock. I think I've shared that with all of you. So he's had a little bit of
the uh the the the pleasure of public service uh and I think he has enjoyed that, but I think he uh
uh also has seen some of the difficulty that goes with that as well. Um and my oldest son's an
attorney in Fort Worth, and he is also uh most of his practice is is in oil and gas and in
commercial real estate.",0,
2,0:04:00,0:06:00,"[04:30–05:00]
but he does do some schoolwork and so uh again when we get together at Thanksgiving we talk a whole
lot about about education um I think that the uh this evening we'll we can have our we'll have our
team of eight training it's a three hour training we'll do it and we're gonna speed it up because
y'all are so quick we're gonna do this in in two and a half hours uh and we'll we'll take a break at
some point in time and Madam President if you see that uh it's it's time for a break let me know I'm
thinking

[05:00–05:30]
about uh 6 15 or so. We'll probably uh pause. Uh what I'd like to do this evening is for you to do a
lot of the talking and I'll ask some of the questions. And if you've looked at the PowerPoint, I
don't intend to necessarily try to get through all of that. What I really try to want to try to do
is get some uh discussion and get you to talk about some things that uh you think that that are
important in your service as a board and as a member of a board of trustees. Um I I've also told
most of you, I think uh Walker, you may

[05:30–06:00]
not have heard this, but I think maybe everybody had this this team of eight training came about
because I uh there was a goofy commissioner that could not understand why all the training that we
were doing with board members would go to TASA, TASB, or go to uh uh SLI and go to the training
sessions and it'd be on asbestos removal or on school finance or on personnel or teachers, whatever.
And uh I thought, why don't we train together as a team instead",0,
3,0:06:00,0:08:00,"[06:00–06:30]
theme instead of everybody going off on their individual um I guess areas are uh the word I'm
looking for is escaping me but I thought training would be better if we did it together. So if
you're looking for somebody to blame I've told this group before blame me we we put in the code that
we would do this. Primarily because what you do is so highly visible. It it is so highly visible and
you know that especially in a

[06:30–07:00]
district like Spring Branch ISD. And sometimes you may get more visibility than you want, but in any
event, I like y'all are a district that that has excellence, you want to maintain it. And you want
to maintain the pride. And I think I've said this to you before. You will never get in trouble by
talking about academic excellence. There are a lot of other subjects that can you can drug into to
talk about that can cause problems.

[07:00–07:30]
Pursuing academic excellence, I I would if you think there's a subject that your constituents could
agree on, I hope it would be act that they would like to see academic excellence. Now we may have
disagreements about a lot of other things, but I I think uh having watched Spring Branch, having
having been in the district, and I think once upon a time, I told I told y'all this once upon a time
I was offered a job here. Um and I kind of always wondered what would have happened in my career had
I taken the assistant principal's job that I was offered in Spring Branch. But this this

[07:30–08:00]
district has such a great legacy and it's it's pretty rich. But the pride and the excellence that
you have here, I know you're working as trustees to maintain that. You probably saw this if you
happened to look at it. You know, I did get the high scale, high score on my scale today, and I'm
working on trying to get that go the the other way. But uh having a sense of humor uh in this work
is not a bad thing. Uh a sense of a healthy sense of life, healthy sense of humor is really good. Um",0,
4,0:08:00,0:10:00,"[08:30–09:00]
In a word. How you feeling? Somebody give me a give me a word. It could be about the evening, about
the service, it can be your board service, about the training. What's what's your word for the day?
Surprisingly chill. Surprisingly chill. Okay. Anyone else got a word? I could I'd probably say
refreshed. Refreshed?

[09:00–09:30]
After after having a break. Good. That's a good thing. Anybody else thinking what you're thinking
today? I would say appreciative um coming off the holiday, but also for our staff in particular.
We've had a lot of changes the past few years and I think they are really stepping up and and facing
them and adjusting to them um regardless of how pleased they may be with the changes. Yeah. But
they've stuck with it and I appreciate that. Anyone else want to share a thought, a word?

[09:30–10:00]
I would say just coming in in the parking this evening, about four or four fifteen. I saw these
buses come rolling around the corner. And it was kind of interesting because I also saw a lot of
parents in cars. And I thought the bus drivers did a remarkable job of being deferential to cars
trying to pull in front of them while they were trying to get in line and move out. I thought your
employees and the bus drivers did a really nice job out there this afternoon of what I I think could
have been kind.",0,
5,0:10:00,0:12:00,"[10:00–10:30]
of a wild chaotic scene they they kind of keep it keep it pretty cool out there but uh uh in any
event um why are you on the board anybody want to tell me why are they why they why are you doing
this to be a good you gotta stop think about it yeah to to be a good steward of our resources here
okay and Spring Branch know that we have something special and we want this school district to still
be you know have academic excellence

[10:30–11:00]
Fifty years from now when we're all six feet under, right? Absolutely. You gotta keep it going.
Yeah. Anyone else thought about why why don't I why don't I why don't I keep showing up? Why don't I
keep doing this? For the kids in our district. Kids. Yeah, to maintain excellence in all the areas,
but mostly for our kids. Anybody else? Um I think I speak for several of us who um have a long
history in the district and had have had past family. Um I personally

[11:00–11:30]
went here, my kids are still in the district and um wanting to continue that and and improve the
academic excellence moving forward I think is a big motivator for for many of us. Fantastic. Anybody
else have a thought? Same. I mean, you know, all I've known is Spring Branch pretty much and um I
think the academic excellence, we all agree on that, like you said, and I think making sure that
there are some places in our district that we need to make sure we get up um on that level of
excellence, and I think that

[11:30–12:00]
Excellence and I think that's a big push of all of us here on this board. Yeah, Mike, it seems like
you've been doing this a long time. I don't know if too many school districts of thirty plus
thousand students where the majority of their school board members are also graduates of that school
district. It shows that we have something special here in Spring Branch. I'll just tell you I love
it. I love it and it yeah, it shows that uh there's a strong sense of community here. Um I don't
like to talk about this too much, but I'll I'll talk about it just for a minute. I I uh I told",0,
6,0:12:00,0:14:00,"[12:00–12:30]
you my father was a public school administrator, moved to Stephen F. Austin State University and was
the head of the College of Education there, and he put us put us in my brother and I in school
there. From we moved there from uh suburban community in Dallas County. I thought he'd moved us to
the uh I didn't know where he had moved us to, but uh we wound up going to Nakadosis High School and
uh and their big rivals down the road was Lufkin. All the school board members in Lufkin that are on
the board there today are all graduates of Lufkin High School.

[13:00–13:30]
School. None of the graduates at Nacadosis, none of the board members at Nacadochas High School are
graduates of or Nacadochas ISD or graduates of that high school. If you were to take a look at the
performance of those two districts, you would note a big difference. I'm sorry to say.

[13:30–14:00]
That you're, you know, you want to continue excellence here. And Spring Branch, you know, I I I saw
Spring Branch, I've seen Spring Branch go through some challenging moments. I think there at one
time weren't there six high schools here? How many are we having? We have five in a charter, but
Westchester used to be a high school and now it's a charter school. So it closed and then it
reopened to something else. Well, I I years ago I saw some consolidations and saw some moments that
were were pretty difficult. But this district.",0,
7,0:14:00,0:16:00,"[14:00–14:30]
has uh sustained high performance for a long, long time. So yeah, Walker, I've seen a lot. I don't
see m probably many this size that everybody's graduated from a uh Yeah, you might see it in in
Lufton, but not in Houston, Texas. Uh keep it a family oriented kind of a system, I think. Uh y'all
may not see it that way, but I think it kinda keeps keeps it like we're family. The school district
keeps it in it and it kinda

[14:30–15:00]
And it kind of um it's large but it doesn't operate in an impersonal way. Mm, at least from what I
could see. Uh anybody else giving any thought to what am I doing here?'Cause I think all of you have
s uh I have signed up for I thought told Chris, I think for twelve years on sir board service, so uh
I'm kidding, Jennifer. Uh but but I hope you're finding I I hope you're finding it fulfilling and
rewarding that

[15:00–15:30]
that uh working with children, working on behalf of children, working on behalf of your
constituents, your parents, the subscribers to the district. I hope you find that fulfilling and
rewarding. So you got a lot going on, a lot going on in this district. How do you like what's going
on? We're not we're not necessarily evaluating Jennifer tonight, but you know, how do you how do you
feel about what's going on? Whether it's here in your district, maybe it might even be in Austin,
but how how do you feel about what what the environment is the

[15:30–16:00]
climate is right now for for success of the district, for your success as a board. I've watched some
of your meetings on TV. I mean I've I've listened to y'all visit and talk. I mean you got y'all are
very capable. I I'm very excited about some of the things that are going on in the schools. And I
mean the the piece that Linda sent out that was in the chronicle boy if you don't get sparked by
that was a whole series",0,
8,0:16:00,0:18:00,"[16:00–16:30]
of little snippets of writings that one of the journalism teachers had his students do and it was
all based what are you thankful for? And the Chronicle picked it up in their editorial section and
published what was it a dozen or more of those about ten or twelve. And it was just it was just
wonderful to see that. But we've we've got a great community. We've classes in programming that the
private schools around us can't even consider offering. And I don't think I mean I think the
community knows that it's coming, but I do think the community will be

[17:00–17:30]
shocked actually by what is actually offered by the Guthrie Center once it's running in about a year
or so. Um so I I think that actually is gonna be exciting. There's not a single person that I've
described that to that doesn't get fired up, even if it may be kids that are probably not likely to
use it, it's still amazing that we're offering it. And then the other thing I think with the
athletic uh changes that we'll make over the next four years, it sounds like. I mean, I I I I still
stick to the kind of that narrative of when we were going through that whole thing.

[17:30–18:00]
I mean you look at Springwoods and their change from six A to five A and actually competing in
sports and sort of the sense of community and bringing people out and coming to events that they're
actually winning and competing in. They won district in I think four or five different sports a year
ago. Um I I just think it communicates and it draws the community in even closer. So we've heard a
lot about community and I don't think there's anything that we do that brings in more people from
our community together than sporting events. And I think people will touch it and see it and I think
it will bring",0,
9,0:18:00,0:20:00,"[18:00–18:30]
new, renewed confidence and excitement to everything that we're offering because that's what people
will actually see. Um Chris, to add on that real quick, I like that the spring with band enrollment
is up, I think I heard 10-15% this year. Well the their sports team's exciting where it's sports.
Yeah. And they're winning. It's been great for that community. Uh I hope Northwork is to drop to 5A.
I think it would be phenomenal for them as well. And they're gonna be right on the edge. But you
look at that, and I mean I mean the Memorial KD football game last week was packed on both sides.
But I've I've I went to that Memorial game, I've never seen

[18:30–19:00]
so many people that don't go to our schools at that game. Yeah. And so it was just like that's what
draws people in. So it just gave me a renewed excitement of, you know, I mean, we're we'll have
first class facilities to match our first class district, and I think it'll draw more people in.
Good. Good. Do you Jennifer and I have talked about this before I'm I'm I'm not trying to play stump
the stars with you or surprise you but but I I know about what it is. Do you have any about what
percentage of the students in the uh say in the high schools or in UIL or

[19:00–19:30]
Or either academic or music uh programs. I've probably I've I've still I've been. In the past I have
known that. I've done a bad thing. I've modeled a bad thing. I should not be. It was presented at um
all the bond meetings. I think they said it was like Do you remember the slides? Seven to it was
between seven and eight thousand, I think, kids involved in band and like the fine arts. It was
relevant to the to the fine arts and school students too. I don't know. I'd have to go. The reason I
asked Jennifer about

[19:30–20:00]
swimming is that I hadn't thought of something you you had when we were talking about all of that,
and Jennifer was a swimmer. She didn't tell you that she was a state champion, actually, which I
didn't know at Stratford. But sh I I didn't think about when we were talking about that natatorium,
I when way back when we were when we were looking at those four propositions, um, I was worried
about the natatorium at first because I thought, well, what if you they people don't know what a
natatorium is? You know, if you don't have that many swimmers in the school district. But I think
you were the one who said, but there's all these kids swimming in the neighborhood.",0,
