transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL Spring_Branch_ISD-2025-03-24-Board_Meetings - Spring_Branch_ISD-2025-03-24-Board_Meetings,43,RELABEL Spring_Branch_ISD-2025-03-24-Board_Meetings - Spring_Branch_ISD-2025-03-24-Board_Meetings.csv,1:26:00,1:28:00,"[01:26:00–01:26:30]
Not necessarily an indictment of the product proposed or selected, it's just really I think more of
an indictment on the process and not so much whether it was opaque or transparent. You know,
recently I bought a computer and it took me months to spec up my computer. But in buying my
computer, what I did is like, you know, what do I want on my computer? Uh which brand. I created a
comparison matrix, I talked to folks, super users, um, you know, Power BI, you know, I'm probably
gonna be doing some more heavier.

[01:26:30–01:27:00]
uh AI data set analysis. And I guess along the way, I kept kind of creating and modifying this
comparison matrix. And I think I was expecting that type of interaction uh not just with the board,
but certainly with the trustees that were on the team and with all the members of LCAT. Um kind of
along the way, uh, for example, UFLY, I understand what you're saying about UFLI, um, but initially
when the charter was set out, it was K through two. Um, UFLY would certainly stay in the running uh.

[01:27:00–01:27:30]
The running a bit differently if you didn't expand it to K through A. And I'm not here to say
there's one size that fits all, because I think what I've realized in my research is there really
isn't. And where I've landed is I don't understand why we can't, and I'm not saying dismiss this
work, that's not what I'm saying. But why can't we adopt more of a hybrid approach where, for
example, something like UFLY that demonstrably works better for all students, including dyslexics
and dysgraphics? Uh, because when you actually throw dyslexics and dysgraphics in your analysis.

[01:27:30–01:28:00]
Graphics in your analysis, that is the one differentiator I found that really shifts the analysis.
Okay, when I kind of look at everything, it's when you throw in all students, not dismissing a
subset. And so when you throw in dyslexics and dysgraphics, UFLY really rises for K through two, and
then it throws actually it throws out Amplify as probably the one that works next best when you
start going three through eight. And I understand that you don't like Amplify because we keep
hearing about wokeism and things like that. But what was interesting is, you know, I was taking
people's word for that. No, the reason.",1,0.4972993872266671,0
RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,12,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings.csv,0:24:00,0:26:00,"[24:00–24:30]
They didn't just support him, they believed in him. They taught him how to regulate, communicate,
and advocate. Pairs don't just assist instruction, they change lives. And because their role is so
critical, we also have to acknowledge something uncomfortable. Across Texas, we've seen news stories
where vulnerable nonverbal children were harmed by adults in support roles. When a district
underpays a position, when turnover is constant, when the applicant pool shrinks and standards are
lowered just to keep classrooms staffed, the risk to children increases, as does the legal exposure
and

[24:30–25:00]
settlement costs. It's more than fairness, it's about student safety. So let's talk about the
budget. Every month this board approves expenses that might be nice to have, but they're nowhere
near as essential as the people working directly with our kids. In the December amendment being
presented tonight, I noticed proposed spending for items such as a $23,000 vinyl wrapped namesake
dedication wall, thousands for staff travel and consultants, awards and incentives, equipment
upgrades, specialty training, even water bottle filling stations.

[25:30–26:00]
All of which will likely be approved tonight without question. So let's look at what we haven't
funded. KDISD's general fund is projected to end the year with a $332 million fund balance. That's
the district's savings account. TEA recommends $190 to $285 million in reserve. We are $50 to $140
million above that range. A meaningful raise for all paraprofessionals, even just two or three
dollars an hour, brings them closer to what Bucky's pays as a minimum. Would cost the district only
six to nine million dollars a year. That's a",1,0.4857673362670123,0
RELABEL_Houston_ISD-2025-06-12-Board_Meetings - Houston_ISD-2025-06-12-Board_Meetings,48,RELABEL_Houston_ISD-2025-06-12-Board_Meetings - Houston_ISD-2025-06-12-Board_Meetings.csv,1:36:00,1:38:00,"[01:36:00–01:36:30]
Five schools have lost access to print and digital books, technology, literacy and research support,
study space, and more. These independently, thank you. After Speaker 10, could we have number 11
through 20 move to the front row, please? Okay. Just state your name first, please. I'm Lisa
Robinson.

[01:36:30–01:37:00]
retired HISD Media Specialist and ELA teacher. During COVID, HISD applied for and received more than
$19 million in federal ESSER funds to revitalize its libraries. The district used those funds to
stock its libraries with much needed resources, including new books and technology. Since the
takeover, this administration has overseen the loss of more than 175 HISD libraries. Now more than
10 million dollars worth of the new resources are no longer accessible to

[01:37:00–01:37:30]
HISD students. The total will continue to grow as more libraries are closed. I implore you restore
certified staff to all campus libraries so that these ESSER funded resources can again be available
to HIS students. All students deserve access to these resources and to the unique expertise that
librarians provide. This is an equity issue that must be rectified now as part of your budget
discussions. Thank you.

[01:37:30–01:38:00]
Dorcas Hand. The NES extreme focus on science of reading does a huge disservice to students seeking
strong literacy. SOR skills, phonics, decoding, site recognition, are not useful in isolation from
content knowledge. Education Week recently reported it's not just about the phonics. Sadly, NES
version of SOR ignores the requirements of background knowledge, vocabulary, and language structure,
not to mention disciplinary literacy, meaning science, history, etc.",1,0.47918928438622416,0
RELABEL_Houston_ISD-2025-05-08-Board_Meetings - Houston_ISD-2025-05-08-Board_Meetings,33,RELABEL_Houston_ISD-2025-05-08-Board_Meetings - Houston_ISD-2025-05-08-Board_Meetings.csv,1:06:00,1:08:00,"[01:06:00–01:06:30]
but they are ashamed to admit that they need help with food, clothing, or shelter. Even the youngest
children know this. Thank you. Thank you. Brandy Dowda, Angry Taxpayer. The Kinder Institute's
recently released study reinforces what we have all been saying for the past two years. Sunrise
centers don't cut it. Most teachers do not even know they exist. Telling a hungry third grader their
parents can get food or shell shoes for them at a sunrise center is not going to help.

[01:06:30–01:07:00]
that child today. If ever, a campus-based wraparound specialist can meet the child's family at
pickup with a pair of shoes and food staples today and can register the child for backpack buddies
programs to make sure food is going home this weekend. Requiring kids to go to another location who
don't have a driver's license, by the way, to receive services puts the responsibility for getting
the most basic needs met on the child. And that is just wrong. Thank you.

[01:07:00–01:07:30]
Kelly Blickery, disheartened parent. Telehealth services are important, and having multiple
locations for families to access social services is a good thing. But these locations cannot provide
the same support as school-based specialists. The genius of the school-based specialist is that they
are in the same place as the kid every day. They develop relationships, they establish trust.
Sunrise Center employees can't tell.

[01:07:30–01:08:00]
you which kids wrap up their classmates' uneaten lunch portions to take home. They can't tell you
which children are teased by classmates when they come to school dirty. They can't name the children
who have already lost permanent teeth to decay, because they are not in the same place as the
students every day. Sunrise centers should be provided in addition to campus based specialists, not
in place of them.",1,0.4704521260270728,0
RELABEL Spring_Branch_ISD-2025-03-24-Board_Meetings - Spring_Branch_ISD-2025-03-24-Board_Meetings,42,RELABEL Spring_Branch_ISD-2025-03-24-Board_Meetings - Spring_Branch_ISD-2025-03-24-Board_Meetings.csv,1:24:00,1:26:00,"[01:24:00–01:24:30]
Do we want to take around comprehensive versus not? We knew we didn't have the staff to easily try
and piecemeal things together. In fact, that's what our audit report told us we needed to stop
trying to do, that it wasn't sustainable. I know there's been a lot of talk about UFLY. Um so, and I
know we do use UFLY in certain circumstances and to supplement and things like that. Um, but can you
speak to UFLI and whether or not it's aligned to TEAKS?

[01:24:30–01:25:00]
It's primarily focused on the foundational skills teak. So when I talked about the phonics
components being about the 20 to 25% of what we're required to teach, that piece is UFLI. We think
it's a great resource. We use a lot of the decodables from UFLY that are free. We also implemented
the Val Valley, which really was a catalyst to get us thinking more about our sound walls. And those
were implemented this year as well while we were in the middle of this process. But UFLY, I believe,
is only through second grade. We still are required to teach phonics in third grade. It doesn't come
in spam.

[01:25:30–01:26:00]
It doesn't come in Spanish. So those were some of just a couple of the things when we thought we
would have to then figure out how we're gonna continue that scope and sequence through third, how
we're gonna do the Spanish components, and what about the other 75% of the standards we have to
teach.",1,0.4644647211731001,0
RELABEL_Chunk_Spring_Branch_ISD-2025-10-27-Board_Meetings - Chunk_Spring_Branch_ISD-2025-10-27-Board_Meetings,30,RELABEL_Chunk_Spring_Branch_ISD-2025-10-27-Board_Meetings - Chunk_Spring_Branch_ISD-2025-10-27-Board_Meetings.csv,1:00:00,1:02:00,"[01:00:00–01:00:30]
Groups with high school principals, focus groups with Title I elementary school principals, focus
groups with non-elementary, I mean non-Title I elementary folks and middle school principals. And
when we showed them, we actually had the uh this vendor on walking them through what the process
would be and how much easier it would be. And I think the the feedback was excellent, that they were
very excited. Can I guarantee that no principal is ever going to send a message through Skyward? I
can't guarantee that, but what I can tell you is would they have 24 hours 7 tech support, which no
one else has.

[01:00:30–01:01:00]
Which no one else had to that same degree, a robust training opportunity. And so we have the next
six months to really get that website where we want, get all the training, get all the pieces in
place, and make sure that everybody is ready so that when we turn this on for the t next school
year, everyone will have all the information they need to be able to use it easily and hopefully
it's gonna save everybody a lot of time. Well and Linda, I want to say thank you for uh actively
looking and saving us money every year. Because we, you know, as a board, we've said

[01:01:00–01:01:30]
Said we've had budget cuts everywhere and we've asked everyone to go back and tighten their belt.
And so not only is this more efficient, it sounds like, you know, for users, but it's gonna save us
money every year. So absolutely. That was critical for us that we found economies of scale, not only
in the user experience, but significantly in the bottom line. One quick question. Um, I'm assuming
this will also apply to um messages from transportation. Like we won't be you know how remind goes
out about transportation. Like my hope is that everything goes out okay through

[01:01:30–01:02:00]
out through this one um opportunity using aptog in their messaging tool they have an email um tool
they have newsletter tool so that people don't have to have s'more and all the different and when I
tell you the 84,418 number that doesn't count all the little contracts that campuses may be using
for SMOR or other things that are working for them. So our our aim is everybody's in one place.
Everything is in one place. I think that will be very well received by the community. We certainly
hope so we're gonna do everything in our power to make sure it's a fabulous um implementation and a
really great boost for everyone",1,0.4495950538750467,0
RELABEL_Houston_ISD-2025-06-12-Board_Meetings - Houston_ISD-2025-06-12-Board_Meetings,58,RELABEL_Houston_ISD-2025-06-12-Board_Meetings - Houston_ISD-2025-06-12-Board_Meetings.csv,1:56:00,1:58:00,"[01:56:00–01:56:30]
culture is significant. You've heard all the stats already. I'm not gonna repeat them, but they're
well above district averages. These results are no accident. They are the testament to Miss Garcia's
dedication and the hard work of our entire teaching staff at Harvard. Thanks to Mrs. Garcia, our
school is a place where kids don't learn to read. They learn how to love reading. My name is Laura
Wellcock.

[01:56:30–01:57:00]
My name is Laura Wilcox, and I am a parent to three elementary school kids at Harvard Elementary.
Yet another wonderful program Miss Garcia brings to our school is the Scholastic Book Fair. While
many are familiar with book fairs, what makes ours special is the way she runs it. She's created a
culture of young readers. My own children spend their birthday money at the fair because they love
reading so much. This spring, thousands of books went home with students, and 25% of proceeds go
straight back into our library and classrooms for new books. When campus budgets are being slashed,
these funds are invaluable.

[01:57:00–01:57:30]
Valuable. But what truly sets Miss Garcia apart is her care for every student. She ensures that no
child leaves empty handed, regardless of their ability to pay. She fundraises in advance to create a
reserve for those in need, and she gives discreet, thoughtful support. Knowing each student
personally, she'll quietly tap one on the shoulder and say, Hey, pick out a couple of books. Thanks
to Miss Garcia, the book fair is more than an event. It's a celebration of reading, inclusion. Every
student deserves a library. Thank you.

[01:57:30–01:58:00]
Good evening, Leah Kiefer, Harvard Parent. For the last nine years, Ms. Garcia has dedicated an
average of 20 extra hours a year after school and on weekends, selecting tryout books, preparing
study aids, and hosting practices for the Name That Book competition. I was an athlete in college,
Mr. Miles, I know you were as well. Like football or baseball, name that book is a team sport, a
literary showdown, a competition that teaches commitment, communication under pressure, and valuable
lessons on working together and recovering from mistakes. Especially valuable for kids who are not
athletically gifted, inclined.",1,0.42258012885342233,0
RELABEL Spring_Branch_ISD-2025-08-25-Board_Meetings - Spring_Branch_ISD-2025-08-25-Board_Meetings,9,RELABEL Spring_Branch_ISD-2025-08-25-Board_Meetings - Spring_Branch_ISD-2025-08-25-Board_Meetings.csv,0:18:00,0:20:00,"[18:00–18:30]
opportunity. Thank you, Courtney. Thank you, trustees, and Dr. Blaine, for having us here tonight. I
am so excited to be the president this year for the Council of PTAs that was awarded an outstanding
gold level award from Texas PTA this year. I'm going to give you just a quick overview of some of
the awards that we won because we're really proud. So thanks for giving us time to go over these. We
earned nine membership awards plus five spotlight and initiative awards from Texas PTA this year.
First and foremost, our biggest one, we earned a council in

[18:30–19:00]
We earned a council increase, which means we increased our members from 24-25 or 23-24 to 24-25 with
a 101% membership increase. We've set a lofty goal to do that again this year, so we're hoping that
everyone will join this. We had over 15,000 PTA members districtwide. We also earned the Voice for
Every Child Silver Award. 58% of SBISD students are represented by a PTA member. Another way to view
this is that more than one in two students has a voice actively advocating for them and their
interests as a result.

[19:00–19:30]
of PTA and its advocacy efforts. We also won the KE Award. This recognizes councils that have grown
membership for three consecutive years, but we've grown it for five. We also won the best of three,
recognizes our highest membership since 2122. The Head Start Advocate Silver Award, 50% of our PTAs
achieved 75% of their prior year membership total by August 2024. We won the Golden Apple Award.
100% of district level administrators are PTA members.

[19:30–20:00]
We also won the Spring Community Builder Award for submitting angel memberships to Texas PTA. In
addition to membership awards, we won the Advocacy Impact Award. We were one of only two districts
in the entire state of Texas to be recognized for our outstanding advocacy efforts. And all of this
couldn't have been possible without our local units, who racked up over 90 individual awards from
Texas PTA. Our success as a council is a direct result of our local campus PTAs. And last thing I
want to touch on is just the amazing volunteer efforts of all these people. We have 5,000.",1,0.42026394001068773,0
RELABEL_Houston_ISD-2025-06-12-Board_Meetings - Houston_ISD-2025-06-12-Board_Meetings,108,RELABEL_Houston_ISD-2025-06-12-Board_Meetings - Houston_ISD-2025-06-12-Board_Meetings.csv,3:36:00,3:38:00,"[03:36:00–03:36:30]
Y'all hear me? Yep. In the 50 HISD schools with the fewest low-income families, 88% have libraries.
In the 50 HISD schools with the most low-income families, 10% have libraries.

[03:36:30–03:37:00]
88%, 10%. In Brownview Board, 1954, the Supreme Court determined where a state provides education in
its public schools, such an opportunity is a right which must be made available to all on equal
terms. 88%, 10%. Sound like equal terms? The 14th Amendment of the U.S. Constitution says no state
shall deny to any person the equal protection of the laws.

[03:37:00–03:37:30]
88%? 10%. Sound like equal protection? I have a hunch every individual on this board might need a
lawyer. I am every school needs a library. Thank you. Well, I'm Isaiah Martin, and I decided for the
last school board meeting in a long time, I wanted to give you guys

[03:37:30–03:38:00]
a report card. You get an F. Nobody voted for you. Nobody voted for you. And you stand here today. I
watched you. As many of you sat on your phones, as so many people came on and to talk to you today.
And the reason is because you already know exactly how you're going to vote. Nobody voted for you.
And you forget that in this country, you guys have to go and be accountable to the people of our
country. What we have right now is taxation without representation. You forget that. You forget that
you're the ones that serve us.",1,0.4045872412387605,0
RELABEL_Houston_ISD-2024-09-12-Board_Meetings - Houston_ISD-2024-09-12-Board_Meetings,10,RELABEL_Houston_ISD-2024-09-12-Board_Meetings - Houston_ISD-2024-09-12-Board_Meetings.csv,0:20:00,0:22:00,"[20:00–20:30]
Thank you. Thank you. And one more thing. Our next speaker is Lisa Weiss. My name is Lisa Weiss.
Lisa Weiss, and I'm a physician and an HISD parent. Unfortunately, it took a tragedy to reveal that
over 170 AEDs in the district are not working, and that some of the

[20:30–21:00]
schools lack personnel trained in CPR. There's a dose response relationship with bystander CPR and
survival. According to recent statistics, 22% of individuals receiving bystander CPR within the
first minute survive to hospital discharge. However, after 10 minutes, that number drops to 10%. Not
everyone that receives CPR needs defibrillation. However, if warranted, early defibrillation in less
than two minutes increases your survival to 60%. However, that number drops to only 35% after five
minutes. It is unacceptable that there are non-functioning.

[21:30–22:00]
That there are non functioning AEDs on campuses. We need transparency and accountability to ensure
that our children are safe. It is imperative that non working AEDs are serviced immediately and that
there are individuals on each campus that are CPR trained. We need to fill our nurse vacancies now.
Our children deserve better. Thank you. Our next speaker, Ms. Eagleton. So I'm speaking about agenda
item 14, about uh this policy change. So we're gonna have a big yard sale, sell off property to pay
for.",1,0.3696251105915726,0
