chunk_id,window_start,window_end,text,,,,,,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
Good evening. This meeting is now convened at 5 08 p.m. I'd like uh ask everyone to please silence
your cell phones. Uh quorum of the board members uh is uh present in the board board auditorium. I
don't see any elected officials here.

[00:30–01:00]
Here. We'll welcome them when they get here. We'll now begin. We'll be joined by a member of the
junior reserve officer training corps to lead our pledges. I'd like to ask board member Cassandro
Zan Bandy to uh introduce tonight's pledge leader. Thank you. Cadet Lieutenant Colonel Christy
Roselle Lenares, a senior from the High School for Law and Justice, is the battalion commander of
the 15th Battalion overseeing 208 cadets in the program. She maintains

[01:00–01:30]
a 4.0 grade point average and is enrolled in college level classes. While being actively involved
with her school, she's a cheerleader, a school ambassador, co captain of the girls' flag football
team, and captain of the girls' soccer team. Her hobbies include playing sports, going to the gym,
and planning events. When she graduates, she would like to enlist in the Air Force, pursue a
master's degree, and be an FBI special agent. Cadet Roselle Lenares.

[01:30–02:00]
Please stand for the Pledge of Allegiance. And to the Republic which it stands on God and your God.
Indivisible with liberty and justice for all. Now for the Texas Pledge. Honor the Texas fire. I
pledge allegiance to the Texas.",,,,,,0,5
1,0:02:00,0:04:00,"[02:00–02:30]
Texas. One state under God, one and indivisible. You may be seated. Thank you, Cadet Lenaris.
Appreciate that and continued success. We now have recognitions and superintendent reports to share.
Superintendent Miles, you have the floor. Yes, sir. Each month we take a moment to spotlight the
incredible achievements happening across Houston ISD. And the students, teachers, and staff.

[02:30–03:00]
who are learning, leading, breaking barriers, and setting records. For the month of May, we are
proud to highlight our educators, a stellar athletic achievement, and an elementary spelling whiz.
So we'll start with the first one: Teacher Appreciation Month. The first week of May is National
Teacher Appreciation Week. And I want to start our May board meeting by saying a heartfelt thanks to
the 10,600 teachers who spend their days educating the over 170,000.

[03:00–03:30]
170,000 students in 273 schools. And just going off script for a moment, um, I've been in a lot of
our schools at this point, probably about 180 of them, and I see teachers all the time. Today I was
at Shadydale, for example, like go to schools almost every every week. And uh just like at Shady
Dale, the teachers across this district are working really hard for the kids, and they're improving
in their effectiveness. I'm very proud of them.

[03:30–04:00]
Um, this is May, and you know, in many places it's the time to coast a little bit, not here. Um,
they are still doing everything they can to get the kids the best education possible. It's showing
in the results for the kids, and when the kids excel and do well, that's because teachers are doing
well. So really appreciate the teachers. And um, we also have um, Alex, you're gonna say or show
something about our teachers as well.",,,,,,0,5
2,0:04:00,0:06:00,"[04:30–05:00]
Okay, well, Chief Alex Elizando Hales, Chief of Public Affairs and Communications. The slides just
need to be up, though. One of the things that we have done this year, board members, is to really
make sure that we're not just thinking about teacher recognition the week of teacher appreciation
week, but to be thinking about that all year long. So the public affairs team launched a couple
initiatives.

[05:00–05:30]
And high quality instruction. The second was to build our capacity to create greats and unique
celebration spaces for teachers to connect and be recognized. And we partnered with Houston Loves
Teachers on that initiative, which is a good reason Houston initiative. And then this month we're
gonna be running a special social media campaign all month long called Thank a Teacher. And people
throughout the city are sending in messages to thank teachers. So just a couple beats on each of
these.

[05:30–06:00]
Attendance were for the division this one school in each division with the highest teacher
attendance. And then for high quality instruction, it was the schools that had the highest scores
for instructional walks. And we are glad to say that over 1,200 teachers have been appreciated so
far, and we started this initiative mid-year. And the schools that um had incredible attendance and
incredible high high quality instruction are listed on the slide behind you. So big congrats to
those 33 campuses.",,,,,,0,5
3,0:06:00,0:08:00,"[06:00–06:30]
And we're very thankful to our partner Good Reason Houston and Houston Loves Teachers for making um
special celebrations for teachers across the city to this month where gate Dave and Buster's game
night and Rock House Kitchen. So this is um Houstonians pouring into our incredible teachers. And
that's um that's a wrap on that and I will make way for the next super exciting update. Yes, um as a
person who ran tracking cross country the the next um celebration

[06:30–07:00]
Celebration is special. We want to highlight or spotlight Lamar High School track and field, the
four by four hundred record breakers. Um, I think that's a very important thing.

[07:00–07:30]
So the the names of the the the winners were Ryan Johnson, Bailey Hashmi, Devin Carpenter, and
Jordan Godfrey, and they have set a national high school record for the boys four by four hundred
relay. Um of course um no team excels that well unless you have great coaches. We have Derek Green
as a head coach.

[07:30–08:00]
Green as the head coach and the athletic coordinator is Michael Lindsay and Rita Gray, the the
principal. So we have the video. Check this out. Lane four.",,,,,,0,5
4,0:08:00,0:10:00,"[08:30–09:00]
I'm so fellow to say there is no ways. I've got the light being inside me. This is how legends are
made. This is how legends are made. This is how legends are made.

[09:00–09:30]
I'm cranking up on the throttle. Three is mine. Show you the heart of the battle, harder I fight.
I've come so far the clay. Sat back and go with me. I'm cranking up on the throttle. This is how
legends are made.

[09:30–10:00]
This is how legends are made. This is how legends are legends are made.",,,,,,0,5
5,0:10:00,0:12:00,"[10:00–10:30]
This is how legends made. This is how legends are made. This is how legends are made.

[11:30–12:00]
Very exciting. Um and all the work that went into it, just amazing. And for um now for our last uh
spotlight or actually second to last and ultimately um we have another type of champion, a lot
younger though. The regional spelling bee champion is Zachary Teo.",,,,,,0,5
6,0:12:00,0:14:00,"[12:00–12:30]
TOSESTION STER So Zachary with Zachary, we highlight

[13:00–13:30]
an exceptional academic achievement from one of our youngest scholars. He's a second grader, and
he's from River Oaks Elementary, and he's a regional spelling bee champion. Now, Zachary's talent,
composure, and passion for learning is what set him apart. Uh, and just at seven years old. His
accomplishments bring great pride not only to River Oaks Elementary, but to the entire HISD family.
And the fun fact, Zachary's winning word was canasta, which is a card game that originated in
Uruguay.

[13:30–14:00]
and became popular in the United States in the 1950s. And we'd also, Zach, you're here, and if your
family's here, we invite them to stand and be recognized also. And Principal DJ Williams.",,,,,,0,5
7,0:14:00,0:16:00,"[14:00–14:30]
Okay, and then finally, um a lot of celebrations this month. Um it is that time of year, in both in
a happy and sad way, when leaders retire or announce that they are moving on to their next
professional adventure. And um to recognize several of our principals, um I asked Chief Sandy Mann.

[14:30–15:00]
Ask Chief Sandy Massey to share something about the leaders. Superintendent Miles and board members,
thank you for giving me a few minutes to recognize four principals within HISD. These principals
have served the students, staff, and communities of Houston for a combined total of 76 years. Their
dedication to our district started well before the transformation two years ago, but they stayed to
continue serving those communities through the changes and adversity. As Chief of Schools

[15:00–15:30]
I realize that Houston is not the only place where students need the best possible opportunity to
reach their educational potential. So some of these leaders are at the end of their race, but some
of them are continuing on and transitioning to a new journey in a new community, and that brings me
great joy. So I'd like to start by bringing up Trevor Carr. Trevor, Trevor came to us from Michigan
eight years ago and has dedicated his time to lead in HISD at Briar Grove.

[15:30–16:00]
Elementary, Pew Elementary, and Field Elementary, where he is completing his ninth year in the
district. Trevor has taken a very high performing campus, Field Elementary, and maintained the A
letter grade in state accountability. But Michigan is calling him back home. And so thank you,
Trevor, for your contribution and the commitment to the Houston community. We thank you. And as
something that we've gotten used to doing, just so you guys know, we like to make these",,,,,,0,5
8,0:16:00,0:18:00,"[16:00–16:30]
magazine covers for our principals. And so this is one of our gifts to our principals that are
leaving us. Next, I'd like to have Devin Adams come up. You may recognize him from the year-long
story produced by KPRC, where Fleming Middle School shared their story of transformation in the new
education system. Devin started in the district as a student at AA.

[17:00–17:30]
At A.A. Milne Elementary. He then attended as a middle school student at Welch. And then his first
year teaching, he went right back to Welch. As a math teacher, he then moved to Hilliard Elementary
as a teacher specialist and assistant principal until he finally took the principalship at Fleming
Middle School for the last three years. Last year, Principal Adams helped Fleming achieve a jump in
state accountability from an F to a B.

[17:30–18:00]
Now Devin will be moving to Boston, Massachusetts to fulfill one of his dreams to earn his doctorate
at Harvard University. Devin, we want to thank you for your service in HISD as a student and as a
principal.",,,,,,0,5
9,0:18:00,0:20:00,"[18:00–18:30]
Would like to honor is David Niddle. Current principal at Burbank Middle School. David started his
first job in HISD in 1996 as a teacher aide. There he was at Sharpstown Middle, which I don't even
know actually exists as Sharpstown Middle anymore. And then he was at Lee High School, which is now
Wisdom High School, and as an ESL teacher. He took his first admin role.

[18:30–19:00]
at Burbank Middle School as an assistant principal, and he has spent the last seven and a half years
there as principal, where they have held a strong B in state accountability. David has selected to
finish his race in HISD, and I want to wish him the very best of whatever he chooses to do beyond
this point. But Niddle, we thank you so much for your contribution to HISD in this in the community.

[19:00–19:30]
And finally, Sabrina Kubiking. Sabrina is the current principal of Phyllis Wheatley High School. The
Phyllis Wheatley. Sabrina has worked in HISD since nineteen ninety-five, her entire educational
career. She has served as principal in HISD since twenty eleven.

[19:30–20:00]
Since 2011, except for one year where she decided to serve as an SSO for eight principals. And then
she went right back to the principalship. She served, she served at Stir Ross Shaw Sterling High
School, Fleming Middle School, and of course ending her career at Phyllis Wheatley High School. In
her 30 years in HISD, she has withstood and suffered the changes of eight superintendents. Sabrina
has run.",,,,,,0,5
10,0:20:00,0:22:00,"[20:00–20:30]
through the finish line in her HISD career and will be leaving us June 6th. I especially want to
thank Sabrina, who had to go through the re-interview process for the Wheatley High School. She got
the job, she did the job, and she took Wheatley from a D to a B in one year. One more hand for our
four principals.

[20:30–21:00]
Thank you guys. I appreciate it. Should I go on, sir? Yeah. Superintendent's report. Yes. Mr.
President, members of the board, um, I'll move right into the superintendent's report then if it's
okay. Um I'm gonna ask two staff members to share updates about how we are supporting the whole
child.

[21:30–22:00]
Dr. Ina Myers, Deputy Chief of Strategic Initiatives, will share a report on the co-curricular
experiences on NAS campuses, including the NAS student travel opportunities. But first, before Ina
Myers, Naja Calendar, Deputy Chief of Family and Community Partnerships, we'll provide an overview
of HISD's continuum of care, which is how the district structures our support for students' non
academic needs. Naja.",,,,,,0,5
11,0:22:00,0:24:00,"[22:00–22:30]
Thank you, sir. Can you hear me? Good evening, board members. So I'm going to talk a little bit
about the Continuum of Care. We launched a continuum care framework just about a year ago. It's an
internal effort to improve how our departments have been working together and better organize around
how we want to provide services to students and families in the district. The framework focuses on
identifying student needs, meeting those needs, and either doing that on the

[22:30–23:00]
campus immediately, or in the case of more complex or longer term needs, referring that student to a
Sunrise Center or an outside community partner. The continuum of care really is about acknowledging
the fact that our work within the district across departments should be aligned, and that we need to
ensure to do that to ensure that our students get what they need so that they can focus on learning.
Today we're launching a continuum of care explainer video with the idea to just

[23:00–23:30]
help families understand what the continuum of care is, what we mean when we say that, and how they
can best access support. This is just the beginning of how we're going to communicate with families
more and more about how they reach services in HISD. I'm gonna uh take a moment to thank all of my
colleagues that participated in this project. You're gonna see and hear from quite a few different
people. And so with that, I'm gonna start the video.

[23:30–24:00]
At Houston ISC, we believe that success in the classroom requires care beyond the classroom. That's
why we're committed to meeting every student's needs every step of the way. Over the past two years,
we've built a strong continuum of care. This continuum is a network of services designed to meet the
academic, physical, emotional, and social needs of every student. Whether it's access to school
supplies, health care, mental health services, or family support, we're committed to ensuring every
student and family gets what they need to thrive. If a student ever needs help,",,,,,,0,5
12,0:24:00,0:26:00,"[24:00–24:30]
anyone, a teacher, a parent, or even the student themselves, can submit a student assistance form
for a staff to connect with the right support. Now let's hear more from one of our principals about
how HISD campuses provide these critical needs every day. At every HISD campus, we make sure
students have everything they need to succeed. That starts with creating a strong foundation.
Students have access to rich after school programs that keep them learning, exploring, and
connecting with their peers. We also make sure that every child has what they need to come to school
ready to learn.

[24:30–25:00]
from transportation to school supplies and uniforms to nutritious meals served every day. But
support isn't just about materials. Our teachers, administrators, and staff work closely with
students every day. They are checking in, listening carefully, and building relationships. When a
student is facing a challenge, whether it's needing a warm jacket, help with homework, or emotional
support, we work to connect them with the right resources. It's all part of making sure every
student feels seen, supported, and empowered to succeed. When it comes to physical health, we have
nurses that can help. When students feel their best, they can do their best. We're here

[25:30–26:00]
to make sure that access to health care never becomes a barrier to learning or success. Thanks to
Hazel Health, we now have telehealth services available right on campus. Hazel connects students to
licensed health care providers through telemedicine. This helps offer faster access to medical care
and even over the counter medication, all at no cost to families. Hazel Health has helped thousands
of students stay in school and avoid unnecessary absences. Physical health is just one part of a
student's well being. Students' emotions and mental health.",,,,,,0,5
