transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings,24,RELABEL_Houston_ISD-2024-10-10-Board_Meetings - Chunk_Houston_ISD-2024-10-10-Board_Meetings.csv,0:48:00,0:50:00,"[48:00–48:30]
college and succeed beyond the classroom. We must remember that school is where our children are
supposed to fall in love with learning. They develop this love by visits to the library, reading
novels, and engaging in lessons that encourage questions and further discussion. This has been
stripped from our schools and replaced with PowerPoint slides, excerpts from books, worksheets, and
quiz after quiz, none of which are fun or engaging. We cannot expect our children to succeed if they
aren't given the tools to do so. Bring back libraries, librarians, literacy programs, and allow our

[48:30–49:00]
children to read novels. Show them you care about their progress and not just a measly test score.
No books, no. Thank you, ma'am. Our next speaker is Lee Kiefer. Lee Kiefer? Miss Kiefer? I believe
she was here. Lee Kiefer. Last call. Okay. Oh, okay, thank you. All right. Yen Lee.

[49:00–49:30]
My name is Dr. Yenshi Li. I am a mother of an HISC student who luckily scores high on your test
scores and receives special education services. I share a statement by a certified special education
teacher with more than 21 years of experience and a master's degree who left their NES elementary
school for private school. They shared the spot scores were always low since it's impossible to stop
every four minutes.

[49:30–50:00]
for one, two, or three minutes. The strategies became the lesson and the content got lost. In my
words, when the measurement system is flawed and not based on evidence, the data is flawed. It is
fake news. Without good data and valid measurement, there can be no trust. No trust, no bond.",0,0.982453275134774,1
RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting,8,RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting.csv,0:16:00,0:18:00,"[16:00–16:30]
have certain needs, and whether there are actual funds at the campus level to meet the students'
needs. To do right by our 174,000 students on our 273 campuses, we need to look deeper. We are in
this intervention because aggregate numbers bury the hard truths that student, campus level, and
subpopulation data reveal. It will allow for true comparison and understanding of the per pupil
spending on NES and PUA and SUS campuses.

[17:00–17:30]
Comparing that per pupil rate with the actual enrollment trends on individual campuses is vital to
making sure that we're building an equitable and sustainable model for the district as a whole.
Comparing our actual spending trends against budgeting projections and trueing it up is crucial. And
so is right-sizing this district. The task before us is huge, but students are counting on us to get
it right. Let us build a detailed recipe. Thank you.

[17:30–18:00]
Sean Leader, followed by Brooke Longoria. Tracy Riley, followed by Flor Vivar. Good afternoon. I'm
Brooke Longoria, and thank you for today's budget workshop. As you enter today's budget workshop, I
want you to think about what you're funding. Currently, you're funding an unsustainable NES model.",0,0.979219591672458,1
RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting,41,RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting.csv,1:22:00,1:24:00,"[01:22:00–01:22:30]
I mean, it I mean, I look at the numbers and I and I ask myself, is it rigorous enough? Because we
start off at 51. Is four percentage points pushing pushing it? We asked that question too. I think
we've got two things. One, the goal of the progress measure is to be predictive of the goal. And so
it does far exceed the predictability of the goal. It increases ab above that. But even in these
measures that we're setting, when we actually look at growth even across the state, for example, it
takes many, many years for the state to even grow one point. So

[01:22:30–01:23:00]
from a rigor level, really everything that we see is rigorous compared to all urban school districts
and the entire state across the board, and and considerably more so, I would say, even than that. I
need to jump on that because you're helping me formulate a better question, I hope, which is there's
something about we are not the typical urban district right now. We're not a we're trying to set a
new standard, right? So if I flip the

[01:23:00–01:23:30]
I flip these a different way and and and we accept that these targets and in a year or as we run
through the schedule, run through the calendar, and these numbers come and we're not hitting the
target. Let's say we don't hit it. Um I'm trying to imagine what would the superintendent
explanation be about why we didn't hit it? And what are we thinking about now to say, well, if if
that if that's why we didn't hit that goal, then what are we doing right now to make sure we are
gonna hit that goal? I hope I'm being clear. I think so, because I I've also been thinking about
that too. Um

[01:23:30–01:24:00]
Um look, last year, for example, just to put your question in context, um this this goal setting um
across the state usually is not as rigorous as what this board is is looking for, and and rightly
so, because we are in intervention status. Last year, almost every single district in the state of
Texas went down, and especially the large urban in Texas went down. And you've you've seen the
graphs. And so the goals that they set.",0,0.9791940552838168,1
RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting,48,RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting.csv,1:36:00,1:38:00,"[01:36:00–01:36:30]
Attain because at the they're only gonna have a beginning of the year number if they've gotten
credit in previous years. And so we both pay attention when we're monitoring that. We're both even
in the last school progress measure, we pulled both course enrollment so that we could make sure
students who were supposed to be in those courses were actively getting in those courses and making
sure that it was growing. And then we were also looking at making sure students were doing it as
early as possible for what made sense with the course sequences. So it actually will take into
account a strong focus on 9th and 10th in the in progress reporting, especially at that beginning of
the

[01:36:30–01:37:00]
year report. Member Martinez, just to clarify also, hi over here. Um, in LSG, we really want to keep
our goal metrics focused on outcomes, not inputs or outputs, right? So the number of students that
are enrolled in the course is an input, because you obviously have to be enrolled in it if you're
gonna earn credit, but we're challenging the organization to actually improve our number of students
who earn the credit, who achieve the outcome. I have kind of a excuse me, follow up question.

[01:37:00–01:37:30]
I was thinking the same thing about, for instance, eighth grade algebra and biology. For instance,
right? How do we because when I look at the proposed 3.4 and 3.5, when I think about eighth graders,
I I think that we are, if we're looking at where they are in eighth grade, then perhaps we've maybe
missed something again, up to that algebra or potentially biology class, which I guess I'm not clear
on advanced coursework because I thought.

[01:37:30–01:38:00]
if you were eighth grader taking algebra, that was advanced coursework. So advanced coursework from
the goal progress measure perspective, we define as AP, IB, dual credit, and dual enrollment. So
where you actually get credit, so if you are taking Algebra One in eighth grade, you are on an
advanced track, but you're not actually getting college credit for that algebra one course. And so
college credit, if you're actually getting college credit with an institution, then we would count
you as getting college credit. But what's really important that I think we",0,0.9748825007096058,1
RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting,35,RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting.csv,1:10:00,1:12:00,"[01:10:00–01:10:30]
likely to be meets or masters they've included the the learning loss of the students in the study.
Thank you. Anybody else? Go ahead. Thank you. Something that this discussion has helped me wonder is
the targets that you're proposing here in 1.3 do they do they assume or take into account the impact
or how do I want to ask this? What about the impacts of um improving our evaluation system for
teachers and what assumptions do we

[01:10:30–01:11:00]
have in these targets with that evaluation system? Or really, or was the thinking done separately?
Because if we think about this over five years, did we think about what impact an evaluation system
improvement would have on our on our student outcomes? Yeah, this is a separate process, but I can
tell you that ensuring that the evaluation system has NWA as part of it, that teachers will do
better on the NWA assessment.

[01:11:00–01:11:30]
Uh assessment or their students will do better on the NWA because of the connection, the tight
alignment between evaluation and assessment. But these uh progress monitoring targets was not part
of that system. So it would help us sort of ensure, provided like assurance that we would be helping
to make sure we're pushing towards these targets with it's a benefit, but it's not um a dependency
here. We're aiming for these targets anyway. That's right. These these progress monitoring t uh
targets are mostly

[01:11:30–01:12:00]
mostly the boards and mine. Um the the teachers have uh different ones. For example they have met
expected growth and um the percentile versus this. Thank you. Adam just one last note. Um as as
you've clarified the two thousand students um one thing that I would just caution you with is it's a
different set of students but um",0,0.9719085019364936,1
RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting,87,RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting.csv,2:54:00,2:56:00,"[02:54:00–02:54:30]
increases, and we're going to show you what that is. Again, that's gonna change probably, but uh
again, uh not it wasn't just a meeting with Rick. We I don't I think we had seven different meetings
that day. Um, but we've had other meetings, and I've been in Austin a couple other times, and Jim
has just got back today from Austin. So we're talking to people all the time to see what the
temperature is. The the the good news here on the revenue side is that um you know it's it's
political, and the Republicans are proposing um increases in

[02:54:30–02:55:00]
revenue for schools, yes, also vouchers, but for the uh traditional public education, they're
they're proposing increases to entitlements and the basic allotment, and we don't think the
Democrats are going to oppose that this year. Um and so, and that and that's a fairly good bet. How
much is the question? And we'll, you know, we'll make some assumptions about that. Revenue
decreases. Um we're estimating a decrease in enrollment. We hired a demographer to help us with
that, and we're

[02:55:30–02:56:00]
I think this is a conservative estimate but uh we'll see the demographer is is the person who you
know spends all day looking at enrollment trends demographic trends and is telling us where uh where
we're gonna see declines and so we think with that better accurate information we'll have a a
prediction and that's still a lot of kids so that's still a lot of money 67 million uh and we'll
we'll show you that so that's an assumption of",0,0.9572583979018308,1
RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings,92,RELABEL_Katy_ISD-2024-10-28-Board_Meetings - Katy_ISD-2024-10-28-Board_Meetings.csv,3:04:00,3:06:00,"[03:04:30–03:05:00]
The budget board uh when they are looking at legislation this just January, they can say how much
they know what the student counts look like, and they can say how much a bill costs or doesn't cost.
They want that to be accurate so they don't shortchange the children of the state by everybody
sandbagging and giving their real high numbers, and then there's not it's too expensive, we can't
afford it, or not giving good enough numbers and uh and and and and it being and and then it being
more expensive than they thought it would be. And so that that they brought.

[03:05:00–03:05:30]
that down to an indicator. So we have to get that crystal ball out uh two years uh in advance, and
we have to be within seven percent. And uh that that goes back to a whole statewide thing. Okay, so
indicator seven or sixteen measures the quality quality of data reported to PEAMS and in your ACFR,
and it makes sure that the two are aligned. Um the total difference between what we reported to PEMS
and what was stated in our ACFAR was all of a couple of hundred dollars on nine hundred and fifty
million.

[03:05:30–03:06:00]
$150 million in expenditures. So and that's just a product of rounding whenever we submit it to PEM.
So we pass this indicator. Indicator 17 asks if the district's independent external auditors found
any material weaknesses in internal controls, which they have not. Indicator 18 measures whether the
district is complying with laws, rules, and regulations related to expenditures of grants, funds,
contracts, and other state and federal funds, and we pass this indicator as well.",0,0.9484888914128692,1
RELABEL_Houston_ISD-2024-09-12-Board_Meetings - Houston_ISD-2024-09-12-Board_Meetings,111,RELABEL_Houston_ISD-2024-09-12-Board_Meetings - Houston_ISD-2024-09-12-Board_Meetings.csv,3:42:00,3:44:00,"[03:42:30–03:43:00]
behind the numbers. We need to celebrate that. Everybody needs to celebrate that because it is our
kids that deserve all the credit and the teachers. So anyway, there you go. Thanks. Okay, ladies,
Ms. Flowers. Again, congratulations. It is an incredible feat that our teachers and our students
achieved together.

[03:43:00–03:43:30]
Of worms. I'm wondering if you have the data or if you're going to be looking at any point at the
data. In terms of our curriculum choices, at some point will you start looking at the efficacy or
groupings of it? Looks like this curriculum is doing really great for this group or that group. I
understand that schools have choices, but even with principals, I would think they would want to
know what works. Yeah, I love it. Hadn't thought about it.

[03:43:30–03:44:00]
To do. So let's do some work on that. Give us a little bit of time to do some work on that because I
think we we can uh get some data around that. And now that we're in the second year, we'll have even
more data. So come mid year on the NWA, for example, we can also tie that to curricular choices. Ms.
Linder. Thanks for setting my question up. What uh if you would go to um the constraint progress
measure 1.3. I was hoping for um just a some understanding.",0,0.9462066749890612,1
RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings,39,RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings.csv,1:24:00,1:26:00,"[01:24:00–01:24:30]
Texas government code 551.071 551.074 551.076 and 551.129 the board will now reconvene an open
meeting today is Tuesday January 20th 2026 and the time is 751 p.m on behalf of my colleagues I
welcome everyone to this evening's regular board meeting each board member received the agenda and
documentation for this meeting on Wednesday January 14th 2026 the board will receive information and
recommendations

[01:24:30–01:25:00]
from staff, administration, and the superintendent on the agenda these agenda items at tonight's
meeting. Board members will be able to ask questions, receive answers, and should be prepared to
take action. The board has just reconvened from closed meeting. In accordance with Chapter 551 of
the Texas Government Code, any action arising from discussions in the closed meeting must be taken
in an open meeting. We do not have any actions to take from closed meeting, so we'll move on to
agenda item 7.1 present presentation of the annual report to include the Texas Academic Performance
Report tapper of

[01:25:30–01:26:00]
twenty twenty-four and twenty twenty-five. Our presenter will be Natalie Martinez, our Executive
Director of School Improvement. Thank you. Good evening, President Redbin, school board members, and
Dr. Grigorsky. Tonight I am here to guide you through the annual report and hold a public hearing.
Although this may seem a bit outdated, the annual report is regarding the year of 2024-25 school
year. The timing of this report is driven by the release of the taper, which was in January. There
are eight major components of the report, which at the large",0,0.9458073282374424,1
RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting,20,RELABEL_Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting - Chunk_Houston_ISD-2025-02-27-Special_Board_Meeting.csv,0:40:00,0:42:00,"[40:00–40:30]
want students to drop below if they've already grown, and we still think it's a really important to
pay attention to the collective body of HISD students as well. So that's also you'll see that
represented in the goal. So this is how this metric is would actually be calculated. The way you can
read this graph is starting on the far left, what we would look at is where a student starts on the
their beginning of the year score. So let's say they are starting at does not meet, which is the
first column on the far left in the first row.

[40:30–41:00]
we would then look at where they end on their end of year score. So, and those are the columns
across the right. So, if they went from does not meet and at the end of the year they were still at
does not meet, that they would land in that gray box and they would not get a point. But if they
started at does not meet and they move to approaches or meets or masters, then they would get a
point because they've demonstrated an increase in that proficiency level. Similarly, we'll take the
second row, they start at approaches. If at the end of the year

[41:00–41:30]
they drop to does not meet, or they only maintain at approaches, they would not get that growth
point. But if they improved to meets or to masters, then they would get the point. Similar approach
to meets. And then even masters wanted to just call out that if a student starts at masters and ends
at master's, they get the point. But if they start at master's and they drop to meets, they actually
don't get the point. Because we want them to be able to maintain that proficiency level from
wherever they were. So that's how we would read the table. Here's just a quick example.

[41:30–42:00]
Student one scores does not meet at the beginning of the year, and they grow to approaches. They
land in the green, so they would be counted as a point, versus student two, who actually starts at
master's but ends at meets, they'd end up dropping one, so they would not get the point. And so we
would look at the percentage of the students who are growing. One of the things again, I think this
is a reason why we chose second grade instead of third grade, is in our 1.1 and 2.1, we were already
looking",0,0.9406479021927562,1
