chunk_id,window_start,window_end,text,0ld_binary_hit,confidence,binary_hit
0,0:00:00,0:02:00,"[00:00–00:30]
Noting that a quorum is present, I hereby call this regular board meeting of the Board of Trustees
of KD Independent School District to order. Today is Monday, August 25th, 2025, and the time is 5
p.m. Dr. Gorski, will you verify that we are in compliance with the provisions of the Texas Open
Meetings Act with regard to the notice for this meeting? Mr. Riven, I do confirm we're in compliance
with the provisions, Texas Open Meeting Act, for our meeting tonight. Thank you. We will now uh say
our pledges of allegiance. KDIC Police Officer Robert Lister will lead us in those pledges.

[00:30–01:00]
I pledge allegiance to the flag of the United States of America and to the Republic for which it
stands, one nation under God, indivisible, with liberty and justice for all. Honor the Texas flag. I
pledge allegiance to the Texas, one state under God, one and indivisible.

[01:00–01:30]
Thank you. For those here in the board meeting tonight, you may notice that we're all wearing the
same colors. Not something that we have normally done in the past. Uh but tonight, uh, as a show of
our unity and support, our trustees and uh surprisingly, many of the staff joined in in wearing uh
the colors red and white for Katie High School. Um, not only focusing on Katie High School. Tonight
we are, but for the entire year. Uh throughout the school year, you're gonna see us here at the Dais
wearing uh different colors to support each of our school.

[01:30–02:00]
To support each of our schools. Across our elementary and junior campuses, where they finish their K
through 12 journey. I want to share that each of our trustees play a key part in those connections
with those schools and the board. Over the course of the year, inviting each trustee to have the
opportunity to share some background on each of the schools that they represent. And so tonight, uh
Miss Rebecca Fox serves as our KDIC board liaison for Katie High School, and I welcome her to share
a few words, Ms. Fox. Thank you, Mr. Redmond. What a wonderful opportunity.",0,5,0
1,0:02:00,0:04:00,"[02:00–02:30]
to share the rich history and traditions of our high schools and their feeder patterns with our
community. I want to recognize that some of the educators, coaches, fine arts, and other staff who
helped build Katie High School's legacy are here with us. It's so good to see you. On behalf of the
board, I want to thank each of you for the decades of service you have dedicated to our students and
families. Your impact is lasting, and we're so grateful to see you and to honor you. Katie High
School.

[02:30–03:00]
founded in 1898, has grown from a small school for the children of local rice farmers into a proud
and vibrant part of the Katy community. It's known as the Home of Champions for a reason. It serves
more than 3,300 students. Currently, 34 of its active staff members are graduates of the high
school. As you might imagine, the school has a strong tradition of excellence, with nine

[03:00–03:30]
Nine state football titles, two in softball, and one of the largest and most decorated FFA chapters
in all of Texas. Katy High School also prides itself on academic achievement, offering a
comprehensive curriculum, complete with a wide range of advanced placement and dual credit courses,
and consistently producing high performing, successful graduates. With deep roots and a strong
spirit, the school continues to lead.

[03:30–04:00]
in academics, fine arts, athletics, and agricultural education. Please join me in giving our
educators and staff a round of applause. Thank you, Miss Fox. I selfishly uh 1999 graduated Katie
High School. Uh get to experience all the things she said when we walk our kids through to classes
and see classmates that are there that are teaching as I look at this uh",0,5,0
2,0:04:00,0:06:00,"[04:30–05:00]
This group of people over here, coaches that I had, classmates that were there, teachers that I
didn't have, but that were there that I feel like shaped me as a young man growing up, and am
honored that uh they get to shape my kids as well. So thank y'all very much. Um, for everybody else,
as we we will have to take this opportunity for each of our high schools throughout this year to
represent them and recognize them for the the difference they're making in kids' lives. So again,
thank you, Ms. Fox. Uh we'll now move on. Uh do we have any scouts in the audience this evening?

[05:00–05:30]
We do not. There being no scouts, we'll move on to item four point one, public comment. At this
time, the Board of Trustees will give members of the public an opportunity to speak in accordance
with KDICD board policy, BED local, as defined by board policy. Speakers who signed up by 2 p.m. on
Monday, August 25th, 2025, provided their first and last name, and signed in 15 minutes prior to 5
p.m. will be allowed to address the board. Speakers who signed up to speak on posted agenda items
will be allowed three minutes to speak. Speakers that signed

[05:30–06:00]
up to speak on non agenda items will be allowed three minutes to speak. If a speaker is not finished
speaking at the end of their allotted time, the audio will turn off. The board shall not tolerate
disruption of the meeting by members of the audience. If after at least one warning from the
presiding officer, any person continues to disrupt the meeting by his or her words or actions, the
presiding officer or his or her designee may request assistance from law enforcement officials to
have the person removed from the meeting. If speakers wish to share written material with the board,
please provide ten copies to the Secretary for Board Services before the meeting begins for board
members, the superintendents,",0,5,0
3,0:06:00,0:08:00,"[06:00–06:30]
Members, the superintendent, the chief communications officer, and permanent records. If a speaker
is not attempted to solve a matter administratively through the proper channels as stated in board
policy, the presiding officer's designee shall advise the speaker to seek resolution through the
appropriate policy. Finally, pursuant to the Texas Government Code, sections 551.074 and 551.0821,
the Board will not permit the presentation of personally identifiable information regarding a
student and will not discuss the appointment, employment, evaluation, reassignment, duties,
discipline, or dismissal of a public office.

[06:30–07:00]
Of a public officer or employee, or to hear a complaint or charge against an officer or employee.
Should a speaker wish to address one of these issues, they must do so through the appropriate local
grievances, policies FNGE local, DGBA local, CKE local, or GF local. Our speakers will be called
forward in the order that they signed of the speak. We'll be starting with agenda items. And the
first speaker is Adrien Moore, followed by Julie Johnson.

[07:00–07:30]
Welcome. Hi, uh let me see. Can you guys hear me with my mask on? Thank you. My name is Adrienne
Moore. I am a senior student at Morton Ranch High School, and I am here today to talk about the
district interpretation of SB12. You all make it very difficult to say that my school board cares
about me. You've shown time and time again that you care more about the money in your pockets and
the votes you receive each year than you care about the health and wellness of KDISD students. The
fact that you would rather jump through hoops.

[07:30–08:00]
to try and interpret the law in a way that allows you to further oppress and dehumanize trans
students shows just how little you view your queer students as human beings. I've been recognized by
both the school district and my family as Adrian for half a decade now. The entirety of my teenage
life, this has been my name, my identity, both to myself and others. Isn't a name one of the most
fundamental rights a human being is owed? Stripping away someone's name strips away their identity,
and we all know who else liked to take away other people's rights to their names. You may think",0,5,0
4,0:08:00,0:10:00,"[08:30–09:00]
this law serves to protect parents' rights, but it does the very opposite. Two years ago, my mother
signed Britain permission in meeting with my principal authorizing the school's use of my name. It
was bad enough for you all to require that, but now to remove that option from us entirely goes
against the law's ideals of protecting parents' rights. This isn't about protecting students or
parents or teachers or anyone. This is about you all wanting to eradicate queer identities. And we
aren't going anywhere. I was a trans child. I am a trans.

[09:00–09:30]
teen. I will be a trans adult. I'm trans in sickness and in health for better or for worse for as
long as my name, Adrian Moore, is spoken on this earth. And I hope you take some of those words to
heart and reconsider your interpretation of SB12. Thank you. Thank you. Next up, Julie Johnson,
followed by Bill Frasier.

[09:30–10:00]
Good evening, Superintendent Grigorsky and Board President Redbon. My name is Julie Johnson. I am
the parent of Adrian Moore, who's a student at Morton Ranch High School. And I reside within the
Katie School District. Obviously, a little bit emotional for me, and I'm I'm very, very proud of
Adrian, who you can tell is a very well-spoken and strong member and an asset to your district
academically and socially. Adrian has been recognized as Adrian since seventh grade.",0,5,0
5,0:10:00,0:12:00,"[10:00–10:30]
within this district. I have many, many documents, including 504 plans, including theater or music
ledgers that stay Adrian is the name. I also signed documentation with administration of the school
district so that my child could be addressed as Adrian. But I'm here not only to speak on behalf of
my child. I'm here about parent rights. Your interpretation or how you choose today, after today to
interpret Senate Bill 12 is important.

[10:30–11:00]
Important. Senate Bill 12 does not restrict you from respecting parent rights. In fact, Section
1.009, which I already shared with you by letter, states that infringement of parental rights is
prohibited. Nothing in the law, about five pages in when it talks about facilitation, mentions at
all that you cannot, or the school district cannot address a student by a chosen name. So the simple
fact that the district has not yet honored my requester for continuation.

[11:00–11:30]
To refer to continue referring to my child as Adrian or any other parent in this district who is in
the same situation and made the same request means that you are in violation of the paramount idea
of Senate Bill 12. And that is what I'm here to advocate for. I have said in my letters, and I will
say now, no member of KDISD has facilitated the conversation. No member has given me guidance on how
to address or advocate for my child. Because I have read the law and I agree that it is very tricky.
I respect the fact that you guys are.

[11:30–12:00]
all in a very delicate situation with the language of facilitation. That is why, when I made my
requests, I was very explicit that I am asking as a parent under the parental rights section of the
law, and I also absolved the district of any kind of facilitation. I do believe that there are
routes that should be respected for parent rights in the case of this law. I am well aware that you
cannot facilitate parents by putting it out there and telling us how to go about this because you'd
be.",0,5,0
6,0:12:00,0:14:00,"[12:00–12:30]
in violation of the facilitation clause. I fully understand that. But if a parent is smart enough to
figure it out and make the request, the law states our rights should not be infringed upon. And that
is all I'm asking for myself. Thank you. Next will be Bill Frazier. Followed by Paul Van Helm. Good
evening. My name is Bill Frazier. Thank you for allowing me to come

[13:00–13:30]
I am here to uh to follow up on an email I sent each of you about a pending appointment to the
Harris Central Appraisal District for an open position on the board for somebody who recently
resigned. I feel like I am uniquely qualified for this position, and uh I ask that tonight that you
nominate me or put me in my name and nomination for a vote to be held later on. All the small
cities, not Houston cities and school districts, get to pick uh vote.

[13:30–14:00]
vote on one replacement candidate. That term will be remaining term is about three years. It ends in
in 2028. So I'm a CPA. I have been a CPA for almost 50 years. I was president of the Houston CPA
Society. I served as the Chief Financial Officer for subsidiary of CBRE. I was CFO for their capital
markets group. We originated $20 billion of commercial mortgages a year. We managed over $150
billion loan administration. So it is very valuation oriented position.",0,5,0
7,0:14:00,0:16:00,"[14:00–14:30]
The board at Harris Central Appraisal District picks the chief appraiser and they manage the chief
appraiser. They review and adopt the budget every year. They pick the appraisal review board
members. The appraisal review board members are the ones that hear your protests every year. So it
is a very important position. It's important that those activities remain very transparent and that
you have a fair hearing and that it is governed by people who are not appraisers, but people who are
citizens.

[14:30–15:00]
but but but I I have uh unique qualifications and experience for this. Uh I'm gonna hang around
after after uh after I speak, and uh I'll be outside during the break. If you have any other
questions, I'd be more than happy to answer them. Thank you very much. Thank you. Next up is Paul
Van Helman, followed by Haley Summerfeld. Good evening. Um thank you for allowing me the time to
address you, uh the opportunity, I should say. Um my name is Paul Van Helm.

[15:00–15:30]
My name is Paul Van Helmond. I'm an engineer working in the chemical industry and a KD resident. I'm
the father of three children, one of them a transgender daughter. They've all graduated high school.
In the last session, the Texas legislature adopted several new laws that affect LGBTQ people
negatively. One, SB12, is specifically directed to bully LGBTQ students. This bill, which is
supposedly a parental rights bill, does a few things. It forbids public

[15:30–16:00]
schools from authorizing or sponsoring student clubs like Gay Straight Alliance or Proud Clubs.
These clubs do great work in anti bullying and provide a space for students that are isolated and or
do not feel safe. S B twelve also prevents teachers or school staff from using a transgender
student's chosen name and requires them to use their dead name instead, even when a parent asks the
school to use the chosen name, so much for parental rights.",0,5,0
8,0:16:00,0:18:00,"[16:00–16:30]
Educators have expressed that making students feel safe is a prerequisite for learning. This bill
hampers the ability of teachers to be effective, and they are being micromanaged in a very unhelpful
way. So much for reducing governmental overreach. As superintendents and trustees, you are required
to follow Texas law, and I'm not here to ask you to do anything different. But I don't want you to
be quiet. You are not powerless, and you have a leadership position that you need to use.

[17:00–17:30]
Speak up in private and in public to students, teachers, and to legislatures. Let them know that you
support all KDISD students. Maybe we can help students start GSA clubs outside the school settings.
KD students, KDISD students and teachers need to hear from you. They need to know that you are
supporting them. Maybe as a start, as a sign of protest, you should not adopt the Sham SB twelve
resolution.

[17:30–18:00]
Resolution today. I know that doesn't change the law, you still have to follow the law, but you
don't have to adopt a resolution. To KDISD, LGBTQ students, teachers, and allies, I'd like to say
I'm heartbroken that the Texas legislature is so ignorant and hateful to you. This is born from fear
and ignorance. Know that there are people that will fight for your rights. Don't give up, and please
call on your allies when you need help. Thank you. Thank you. Next is Haley Somerville.",0,5,0
9,0:18:00,0:20:00,"[18:00–18:30]
This is Haley Somerville, followed by Ann Russian. Hello, board members and fellow community
members. I'm here to oppose this board's resolution of SB12. I'm a sophomore student at Katy High
School. SB12 is a harmful bill that negatively impacts an already group of marginalized youth, LGBTQ
youth. I know you guys cannot do anything about the passage of this bill. However, you can choose to
vote no on this resolution and show other queer students like me that you support.

[18:30–19:00]
us and want us in your schools. Youth that identify as queer are four times more likely to attempt
suicide than their heterosexual peers. There are ways to alleviate and lower these rates that we
have methods to change. When LGBTQ students feel accepted at home and at school, their suicide risk
significantly decreases. This resolution effectively communicates to queer students that we are not
warranted or accepted in this district. Additionally, 50%

[19:00–19:30]
50% of LGBTQ teenagers, that's half of them, experience bullying related to their identity. And this
bullying can lead to a 3% three times increase in suicide attempts. If we truly care about our
students, we will choose to not pass this resolution and instead focus on matters that help improve
our education. Agenda number 9.1, if passed, will cause a lot of harm that could be easily avoided.
I urge you to vote no to this resolution. Thank you.

[19:30–20:00]
Next up is Ann Russi, followed by Marshall Romero. Hi, my name's Ann Russi. I am asking you to pull
item 9.1 from the consent agenda, discuss it further, and vote no on the Senate Bill 12 resolution.
There is nothing in SB twelve that requires school districts to adopt a public resolution. Choosing
to do so without meaningful discussion sends a message, and it's not a good one. The few minutes
spent on this last week were simply not enough.",1,5,1
